regiao,uf,cod_ibge,municipio,ano_diagnostico,Branca,Preta,Amarela,Parda,Indígena,Ignorado,2023,analfabeto,1ª a 4ª série incompleta,4ª série completa,5ª a 8ª série incompleta,fundamental completo,médio incompleto,médio completo,superior incompleto,superior completo,nao_informado
NORTE,AC,120001.0,Acrelândia,2015,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120017.0,Capixaba,2015,0.0,0.0,,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2015,0.0,0.0,,2.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2015,13.0,2.0,,45.0,0.0,2.0,,,,,,,,,,,0.0
NORTE,AC,120043.0,Santa Rosa do Purus,2015,0.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2015,0.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120070.0,Xapuri,2015,0.0,0.0,,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120013.0,Bujari,2016,0.0,0.0,,1.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2016,0.0,0.0,,1.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120038.0,Plácido de Castro,2016,0.0,1.0,,0.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2016,10.0,4.0,,38.0,1.0,,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2016,0.0,0.0,,2.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2016,1.0,0.0,,0.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120001.0,Acrelândia,2017,1.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120010.0,Brasiléia,2017,1.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120017.0,Capixaba,2017,0.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120034.0,Manoel Urbano,2017,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,0.0
NORTE,AC,120080.0,Porto Acre,2017,0.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2017,6.0,,1.0,43.0,1.0,2.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2017,0.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120001.0,Acrelândia,2018,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120013.0,Bujari,2018,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2018,0.0,0.0,0.0,2.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120033.0,Mâncio Lima,2018,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120034.0,Manoel Urbano,2018,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120038.0,Plácido de Castro,2018,1.0,0.0,0.0,2.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2018,11.0,1.0,1.0,75.0,,3.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2018,1.0,0.0,0.0,4.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2018,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120070.0,Xapuri,2018,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120001.0,Acrelândia,2019,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120005.0,Assis Brasil,2019,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2019,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120034.0,Manoel Urbano,2019,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120080.0,Porto Acre,2019,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2019,10.0,1.0,2.0,52.0,1.0,2.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2019,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2019,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120033.0,Mâncio Lima,2020,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2020,10.0,1.0,1.0,34.0,,,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2020,0.0,0.0,0.0,1.0,,,,,,,,,,,,,0.0
NORTE,AC,120010.0,Brasiléia,2021,0.0,,,2.0,1.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2021,1.0,,,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120038.0,Plácido de Castro,2021,0.0,,,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2021,17.0,,,82.0,0.0,1.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2021,1.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120045.0,Senador Guiomard,2021,0.0,,,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2021,0.0,,,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120005.0,Assis Brasil,2022,0.0,0.0,,0.0,1.0,,,,,,,,,,,,0.0
NORTE,AC,120010.0,Brasiléia,2022,0.0,0.0,,5.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2022,1.0,1.0,,6.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120025.0,Epitaciolândia,2022,0.0,0.0,,1.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120080.0,Porto Acre,2022,0.0,0.0,,1.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2022,11.0,1.0,,92.0,2.0,,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2022,0.0,0.0,,2.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2022,0.0,0.0,,1.0,0.0,,,,,,,,,,,,0.0
NORTE,AC,120005.0,Assis Brasil,2023,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120010.0,Brasiléia,2023,1.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120013.0,Bujari,2023,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2023,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120025.0,Epitaciolândia,2023,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120038.0,Plácido de Castro,2023,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2023,10.0,3.0,2.0,97.0,0.0,1.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2023,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2023,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120010.0,Brasiléia,2024,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2024,1.0,1.0,0.0,3.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120025.0,Epitaciolândia,2024,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2024,14.0,0.0,1.0,94.0,1.0,4.0,,,,,,,,,,,0.0
NORTE,AC,120043.0,Santa Rosa do Purus,2024,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120050.0,Sena Madureira,2024,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2024,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120070.0,Xapuri,2024,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,0.0
NORTE,AC,120005.0,Assis Brasil,2025,1.0,0.0,,0.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120010.0,Brasiléia,2025,0.0,0.0,,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120020.0,Cruzeiro do Sul,2025,2.0,0.0,,3.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120025.0,Epitaciolândia,2025,0.0,0.0,,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120033.0,Mâncio Lima,2025,0.0,0.0,,1.0,,0.0,,,,,,,,,,,0.0
NORTE,AC,120040.0,Rio Branco,2025,4.0,3.0,,60.0,,5.0,,,,,,,,,,,0.0
NORTE,AC,120060.0,Tarauacá,2025,0.0,0.0,,2.0,,0.0,,,,,,,,,,,0.0
NORDESTE,AL,270020.0,Anadia,2015,0.0,0.0,0.0,2.0,,0.0,,,,,,,,,,,0.0
NORDESTE,AL,270030.0,Arapiraca,2015,1.0,0.0,0.0,12.0,,0.0,,,,,,,,,,,0.0
NORDESTE,AL,270060.0,Barra de São Miguel,2015,0.0,0.0,0.0,1.0,,0.0,,,,,,,,,,,0.0
