 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Goiás
Período:2020
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"520010 Abadiânia";0;0;0;0;1;0;0;0;0;1
"520025 Águas Lindas de Goiás";0;1;0;0;0;2;1;1;0;5
"520110 Anápolis";0;1;2;0;3;16;20;1;5;48
"520140 Aparecida de Goiânia";2;5;2;11;7;12;33;3;6;81
"520170 Aragarças";0;0;0;1;0;0;0;0;0;1
"520250 Aruanã";0;0;0;0;1;0;0;0;0;1
"520330 Bela Vista de Goiás";0;0;0;1;0;1;0;0;0;2
"520340 Bom Jardim de Goiás";0;0;0;0;0;0;1;0;0;1
"520425 Cachoeira Dourada";0;0;0;0;0;0;1;0;0;1
"520440 Caiapônia";0;1;0;1;1;0;0;0;0;3
"520450 Caldas Novas";1;0;0;3;0;4;2;0;2;12
"520490 Campos Belos";0;1;0;0;0;0;0;0;0;1
"520510 Catalão";0;1;0;0;2;1;5;0;3;12
"520520 Caturaí";0;0;0;1;0;0;0;0;1;2
"520540 Ceres";0;0;0;0;0;0;0;0;1;1
"520547 Chapadão do Céu";0;0;1;1;0;0;0;0;0;2
"520549 Cidade Ocidental";0;0;0;0;0;1;5;2;3;11
"520551 Cocalzinho de Goiás";0;0;0;0;0;1;1;0;0;2
"520620 Cristalina";0;0;1;0;0;0;0;0;0;1
"520640 Crixás";0;1;0;0;0;0;0;0;0;1
"520800 Formosa";0;0;0;0;0;0;1;0;0;1
"520860 Goianésia";0;2;0;0;0;0;2;0;0;4
"520870 Goiânia";4;10;13;42;24;40;116;25;56;330
"520880 Goianira";0;0;0;1;0;0;1;0;0;2
"520890 Goiás";1;0;0;0;0;0;2;1;1;5
"521000 Inhumas";0;0;0;2;0;1;1;0;0;4
"521020 Iporá";0;0;0;2;1;3;2;0;0;8
"521040 Itaberaí";0;0;1;0;0;0;0;0;0;1
"521056 Itaguari";0;0;1;0;0;0;0;0;0;1
"521080 Itajá";0;1;0;0;0;0;0;0;0;1
"521090 Itapaci";0;0;0;1;1;0;0;0;0;2
"521140 Itauçu";0;0;0;0;0;1;0;0;0;1
"521150 Itumbiara";0;1;0;1;0;3;3;0;1;9
"521180 Jaraguá";1;0;0;0;0;0;0;0;1;2
"521190 Jataí";0;3;0;4;3;0;1;2;0;13
"521230 Leopoldo de Bulhões";0;0;0;0;0;1;0;0;0;1
"521250 Luziânia";0;1;0;3;1;0;3;0;3;11
"521300 Maurilândia";0;0;0;0;0;1;0;0;0;1
"521310 Mineiros";0;0;0;1;0;1;1;0;0;3
"521350 Monte Alegre de Goiás";0;1;0;1;0;0;0;0;0;2
"521370 Montes Claros de Goiás";0;0;0;0;0;0;1;0;0;1
"521380 Morrinhos";0;0;0;1;0;1;1;0;0;3
"521450 Nerópolis";0;0;0;1;0;0;0;0;0;1
"521460 Niquelândia";0;0;0;0;0;0;0;0;1;1
"521523 Novo Gama";0;0;0;0;0;1;0;1;0;2
"521570 Palmeiras de Goiás";0;1;0;0;0;0;0;0;0;1
"521710 Piracanjuba";0;0;0;0;0;1;0;0;0;1
"521720 Piranhas";0;0;0;0;1;0;0;0;0;1
"521760 Planaltina";0;0;0;0;0;1;1;0;0;2
"521800 Porangatu";0;0;1;0;0;0;0;1;0;2
"521805 Porteirão";0;0;1;0;0;0;0;0;0;1
"521850 Quirinópolis";0;0;0;0;0;0;0;0;2;2
"521860 Rialma";0;1;0;0;0;0;0;0;0;1
"521880 Rio Verde";1;1;0;3;2;3;4;4;7;25
"521890 Rubiataba";0;0;0;1;0;0;0;0;0;1
"521930 Santa Helena de Goiás";0;1;0;0;0;1;0;0;1;3
"521935 Santa Isabel";0;0;0;0;0;0;0;1;0;1
"521950 Santa Rosa de Goiás";0;0;0;0;0;0;1;0;0;1
"521970 Santa Terezinha de Goiás";1;0;0;0;0;0;0;0;0;1
"521975 Santo Antônio do Descoberto";1;1;0;0;0;2;0;0;0;4
"522005 São João da Paraúna";0;0;0;0;1;0;0;0;0;1
"522020 São Miguel do Araguaia";0;0;0;2;0;0;0;0;0;2
"522045 Senador Canedo";0;1;0;1;1;3;7;2;2;17
"522060 Silvânia";0;0;0;0;0;0;1;0;0;1
"522130 Três Ranchos";0;0;0;2;0;0;0;0;0;2
"522140 Trindade";0;0;0;3;0;2;1;0;2;8
"522157 Uirapuru";0;1;0;0;0;0;0;0;0;1
"522160 Uruaçu";0;0;0;1;0;1;0;0;0;2
"522185 Valparaíso de Goiás";0;0;0;0;0;1;4;1;1;7
"522205 Vicentinópolis";0;0;0;0;0;0;1;0;0;1
"522220 Vila Boa";0;1;0;0;0;0;0;0;0;1
"Total";12;38;23;92;50;106;224;45;99;689
