 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Goiás
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"520013 Acreúna";0;0;0;1;0;0;1
"520025 Águas Lindas de Goiás";0;0;0;7;0;0;7
"520030 Alexânia";0;0;0;1;0;0;1
"520055 Alto Horizonte";0;0;0;1;0;0;1
"520060 Alto Paraíso de Goiás";0;0;0;1;0;0;1
"520080 Alvorada do Norte";0;0;0;2;0;0;2
"520110 Anápolis";17;2;2;81;0;0;102
"520130 Anicuns";0;0;0;2;0;0;2
"520140 Aparecida de Goiânia";36;7;3;69;0;0;115
"520150 Aporé";0;0;0;1;0;0;1
"520170 Aragarças";0;1;0;1;0;0;2
"520330 Bela Vista de Goiás";0;0;0;1;0;0;1
"520390 Buriti Alegre";1;0;0;1;0;0;2
"520393 Buriti de Goiás";1;0;0;0;0;0;1
"520440 Caiapônia";1;1;0;0;0;0;2
"520450 Caldas Novas";7;2;1;11;0;0;21
"520480 Campo Alegre de Goiás";0;0;0;1;0;0;1
"520490 Campos Belos";0;0;0;4;0;0;4
"520510 Catalão";13;3;0;14;0;0;30
"520540 Ceres";0;0;0;1;0;0;1
"520549 Cidade Ocidental";3;0;0;9;0;0;12
"520551 Cocalzinho de Goiás";1;0;0;0;0;0;1
"520590 Corumbaíba";1;0;0;0;0;0;1
"520620 Cristalina";2;0;1;2;0;0;5
"520630 Cristianópolis";1;0;0;0;0;0;1
"520740 Edéia";0;0;0;1;0;0;1
"520780 Firminópolis";0;0;0;1;0;0;1
"520790 Flores de Goiás";0;0;0;1;0;0;1
"520800 Formosa";0;0;1;3;0;1;5
"520860 Goianésia";3;0;0;5;0;0;8
"520870 Goiânia";156;39;5;317;1;0;518
"520880 Goianira";2;2;0;1;0;0;5
"520890 Goiás";0;1;0;1;0;0;2
"520910 Goiatuba";2;0;0;4;0;0;6
"520920 Guapó";0;0;0;1;0;0;1
"520970 Hidrolândia";1;0;0;1;0;0;2
"520995 Indiara";1;0;0;0;0;0;1
"521000 Inhumas";2;0;0;3;0;0;5
"521010 Ipameri";1;0;0;0;0;0;1
"521020 Iporá";3;1;0;5;0;0;9
"521030 Israelândia";0;0;0;1;0;0;1
"521040 Itaberaí";0;0;0;3;0;0;3
"521090 Itapaci";0;0;0;1;0;0;1
"521100 Itapirapuã";2;0;0;0;0;0;2
"521120 Itapuranga";0;0;0;1;0;0;1
"521130 Itarumã";0;1;0;0;0;0;1
"521140 Itauçu";1;1;0;1;0;0;3
"521150 Itumbiara";18;3;0;12;0;0;33
"521180 Jaraguá";1;0;0;1;0;0;2
"521190 Jataí";11;0;1;21;0;0;33
"521200 Jaupaci";1;0;0;0;0;0;1
"521220 Jussara";1;0;0;1;0;0;2
"521230 Leopoldo de Bulhões";0;0;0;1;0;0;1
"521250 Luziânia";4;0;0;5;0;0;9
"521308 Minaçu";0;1;0;0;0;0;1
"521310 Mineiros";3;1;1;2;0;0;7
"521370 Montes Claros de Goiás";2;0;0;0;0;0;2
"521375 Montividiu";0;0;0;1;0;0;1
"521380 Morrinhos";3;0;0;3;0;0;6
"521405 Mundo Novo";0;0;0;4;0;0;4
"521440 Nazário";0;0;0;1;0;0;1
"521450 Nerópolis";2;1;0;0;0;0;3
"521460 Niquelândia";1;0;0;0;0;0;1
"521483 Nova Crixás";0;0;0;1;0;0;1
"521490 Nova Roma";0;0;0;1;0;0;1
"521523 Novo Gama";1;0;0;2;0;0;3
"521530 Orizona";0;0;0;1;0;0;1
"521550 Ouvidor";3;0;0;0;0;0;3
"521560 Padre Bernardo";0;1;0;1;0;0;2
"521580 Palmelo";1;0;0;0;0;0;1
"521710 Piracanjuba";3;0;0;1;0;0;4
"521740 Pires do Rio";1;0;0;3;0;0;4
"521760 Planaltina";1;1;0;4;0;0;6
"521770 Pontalina";0;0;0;1;0;0;1
"521800 Porangatu";1;0;0;4;0;0;5
"521805 Porteirão";0;0;0;1;0;0;1
"521830 Posse";1;0;0;0;0;0;1
"521850 Quirinópolis";0;1;0;2;0;0;3
"521860 Rialma";0;0;0;1;0;0;1
"521880 Rio Verde";14;1;1;62;0;0;78
"521930 Santa Helena de Goiás";0;0;0;2;0;0;2
"521950 Santa Rosa de Goiás";1;0;0;0;0;0;1
"521973 Santo Antônio de Goiás";1;0;0;0;0;0;1
"521975 Santo Antônio do Descoberto";0;0;0;10;0;0;10
"521980 São Domingos";0;0;0;1;0;0;1
"522000 São João d'Aliança";0;1;0;1;0;0;2
"522010 São Luís de Montes Belos";2;0;0;1;0;0;3
"522015 São Luíz do Norte";0;0;0;1;0;0;1
"522020 São Miguel do Araguaia";0;0;0;4;0;1;5
"522045 Senador Canedo";6;1;0;32;0;0;39
"522050 Serranópolis";1;0;0;0;0;0;1
"522060 Silvânia";0;0;0;3;0;0;3
"522119 Terezópolis de Goiás";0;0;0;3;0;0;3
"522140 Trindade";4;1;0;11;0;0;16
"522155 Turvelândia";1;0;0;0;0;0;1
"522160 Uruaçu";3;1;0;12;1;0;17
"522185 Valparaíso de Goiás";17;3;1;29;0;0;50
"522205 Vicentinópolis";0;0;0;2;0;0;2
"522230 Vila Propício";0;0;0;2;0;0;2
"520000 Município ignorado - GO";0;1;0;1;0;0;2
"Total";367;79;17;814;2;2;1281
