 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Goiás
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"520005 Abadia de Goiás";1;0;0;0;0;1
"520010 Abadiânia";1;0;0;0;0;1
"520025 Águas Lindas de Goiás";0;0;0;6;0;6
"520030 Alexânia";0;0;0;2;0;2
"520060 Alto Paraíso de Goiás";0;0;0;1;0;1
"520085 Americano do Brasil";0;0;0;2;0;2
"520110 Anápolis";15;2;0;41;0;58
"520140 Aparecida de Goiânia";22;3;3;35;0;63
"520170 Aragarças";0;0;0;2;0;2
"520250 Aruanã";0;0;0;1;0;1
"520330 Bela Vista de Goiás";1;0;0;0;0;1
"520340 Bom Jardim de Goiás";1;0;0;1;0;2
"520355 Bonfinópolis";1;0;0;1;0;2
"520360 Brazabrantes";0;0;0;1;0;1
"520425 Cachoeira Dourada";0;0;0;1;0;1
"520450 Caldas Novas";10;4;0;11;0;25
"520510 Catalão";8;3;0;9;0;20
"520549 Cidade Ocidental";1;3;0;10;0;14
"520620 Cristalina";0;0;0;2;0;2
"520640 Crixás";0;0;0;1;0;1
"520680 Damolândia";0;1;0;0;0;1
"520780 Firminópolis";1;0;0;0;0;1
"520800 Formosa";0;0;0;3;0;3
"520860 Goianésia";1;0;0;1;0;2
"520870 Goiânia";84;27;7;191;2;311
"520880 Goianira";0;0;1;3;0;4
"520890 Goiás";0;0;0;3;0;3
"520910 Goiatuba";2;0;0;0;0;2
"520920 Guapó";1;0;0;2;0;3
"520993 Inaciolândia";0;0;0;1;0;1
"521000 Inhumas";2;0;0;0;0;2
"521015 Ipiranga de Goiás";0;0;0;1;0;1
"521020 Iporá";4;0;0;4;0;8
"521090 Itapaci";1;0;0;1;0;2
"521120 Itapuranga";0;0;0;1;0;1
"521150 Itumbiara";9;2;0;11;0;22
"521180 Jaraguá";1;0;0;1;0;2
"521190 Jataí";2;0;0;21;0;23
"521250 Luziânia";1;1;0;2;0;4
"521308 Minaçu";0;0;0;1;0;1
"521380 Morrinhos";1;0;1;0;0;2
"521400 Mozarlândia";0;0;0;1;0;1
"521460 Niquelândia";1;0;0;0;0;1
"521500 Nova Veneza";0;0;0;1;0;1
"521570 Palmeiras de Goiás";0;0;0;1;0;1
"521640 Paraúna";0;0;0;1;0;1
"521690 Pilar de Goiás";0;1;0;0;0;1
"521710 Piracanjuba";1;0;0;0;0;1
"521740 Pires do Rio";0;0;0;2;0;2
"521760 Planaltina";0;1;0;4;0;5
"521770 Pontalina";0;0;0;1;0;1
"521800 Porangatu";0;0;0;1;0;1
"521880 Rio Verde";20;4;2;55;0;81
"521900 Sanclerlândia";0;0;0;1;0;1
"521975 Santo Antônio do Descoberto";1;0;0;5;0;6
"522010 São Luís de Montes Belos";2;0;0;2;0;4
"522020 São Miguel do Araguaia";0;0;0;2;0;2
"522045 Senador Canedo";3;2;1;9;0;15
"522060 Silvânia";0;0;0;1;0;1
"522068 Simolândia";0;0;0;1;0;1
"522140 Trindade";0;0;0;3;0;3
"522160 Uruaçu";3;1;0;8;0;12
"522185 Valparaíso de Goiás";3;1;1;7;0;12
"522190 Varjão";0;0;0;1;0;1
"Total";205;56;16;481;2;760
