 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Mato Grosso do Sul
Período:2018
"Município (Res)";"2018";"Total"
"500025 Alcinópolis";1;1
"500060 Amambaí";4;4
"500070 Anastácio";2;2
"500085 Angélica";1;1
"500100 Aparecida do Taboado";1;1
"500110 Aquidauana";11;11
"500190 Bataguassu";3;3
"500210 Bela Vista";4;4
"500220 Bonito";2;2
"500230 Brasilândia";1;1
"500240 Caarapó";2;2
"500260 Camapuã";3;3
"500270 Campo Grande";269;269
"500290 Cassilândia";3;3
"500310 Corguinho";1;1
"500315 Coronel Sapucaia";1;1
"500320 Corumbá";25;25
"500330 Coxim";12;12
"500345 Deodápolis";2;2
"500350 Douradina";1;1
"500370 Dourados";84;84
"500375 Eldorado";3;3
"500430 Iguatemi";2;2
"500440 Inocência";1;1
"500450 Itaporã";1;1
"500470 Ivinhema";1;1
"500480 Japorã";7;7
"500500 Jardim";9;9
"500510 Jateí";2;2
"500520 Ladário";2;2
"500525 Laguna Carapã";1;1
"500540 Maracaju";2;2
"500560 Miranda";8;8
"500568 Mundo Novo";4;4
"500570 Naviraí";20;20
"500600 Nova Alvorada do Sul";1;1
"500620 Nova Andradina";8;8
"500630 Paranaíba";17;17
"500660 Ponta Porã";44;44
"500690 Porto Murtinho";1;1
"500710 Ribas do Rio Pardo";3;3
"500720 Rio Brilhante";1;1
"500740 Rio Verde de Mato Grosso";2;2
"500769 São Gabriel do Oeste";3;3
"500780 Selvíria";1;1
"500790 Sidrolândia";3;3
"500793 Sonora";3;3
"500795 Tacuru";1;1
"500800 Terenos";1;1
"500830 Três Lagoas";24;24
"Total";609;609
