 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"500060 Amambaí";4;0;0;0;1;5
"500070 Anastácio";2;0;1;6;4;13
"500085 Angélica";1;0;0;0;0;1
"500090 Antônio João";1;0;0;0;0;1
"500100 Aparecida do Taboado";0;1;0;0;0;1
"500110 Aquidauana";2;0;0;2;0;4
"500190 Bataguassu";2;0;0;3;0;5
"500210 Bela Vista";0;0;0;1;0;1
"500220 Bonito";0;0;0;1;0;1
"500240 Caarapó";1;0;0;1;0;2
"500260 Camapuã";0;0;0;1;0;1
"500270 Campo Grande";144;14;12;141;4;315
"500290 Cassilândia";0;0;0;1;0;1
"500315 Coronel Sapucaia";0;0;0;0;2;2
"500320 Corumbá";10;0;0;22;0;32
"500325 Costa Rica";0;1;0;0;0;1
"500330 Coxim";1;0;0;11;0;12
"500345 Deodápolis";2;0;0;0;0;2
"500348 Dois Irmãos do Buriti";0;0;0;1;0;1
"500370 Dourados";56;8;0;25;4;93
"500375 Eldorado";1;0;0;1;0;2
"500380 Fátima do Sul";3;0;0;1;0;4
"500410 Guia Lopes da Laguna";1;0;0;1;0;2
"500430 Iguatemi";0;0;0;0;1;1
"500490 Jaraguari";1;0;0;0;0;1
"500500 Jardim";2;1;0;14;0;17
"500520 Ladário";1;0;0;4;0;5
"500560 Miranda";2;0;0;0;1;3
"500570 Naviraí";7;0;0;5;2;14
"500580 Nioaque";0;0;0;1;0;1
"500600 Nova Alvorada do Sul";0;0;0;1;0;1
"500620 Nova Andradina";2;0;0;10;0;12
"500630 Paranaíba";10;3;0;6;0;19
"500635 Paranhos";0;0;0;1;0;1
"500640 Pedro Gomes";0;1;0;0;0;1
"500660 Ponta Porã";10;1;0;25;1;37
"500710 Ribas do Rio Pardo";1;1;0;0;0;2
"500720 Rio Brilhante";1;0;0;0;0;1
"500740 Rio Verde de Mato Grosso";0;0;0;2;0;2
"500750 Rochedo";1;0;0;0;0;1
"500769 São Gabriel do Oeste";0;0;0;4;0;4
"500780 Selvíria";1;0;0;0;0;1
"500790 Sidrolândia";1;0;0;2;1;4
"500793 Sonora";0;1;0;1;0;2
"500795 Tacuru";0;0;0;1;0;1
"500830 Três Lagoas";14;1;0;16;0;31
"Total";285;33;13;312;21;664
