 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"500060 Amambaí";0;0;0;0;0;0;2;1;0;0;0;3
"500070 Anastácio";0;0;0;0;1;0;3;3;1;0;0;8
"500085 Angélica";0;0;0;0;0;1;0;0;0;0;0;1
"500100 Aparecida do Taboado";0;0;0;0;0;0;0;0;0;1;0;1
"500110 Aquidauana";0;0;0;0;0;0;2;2;0;1;0;5
"500124 Aral Moreira";0;0;0;0;0;1;0;0;0;0;0;1
"500190 Bataguassu";0;0;0;0;0;1;1;1;0;1;0;4
"500210 Bela Vista";0;0;0;0;0;0;0;0;0;2;0;2
"500260 Camapuã";0;0;0;0;0;1;0;1;0;0;0;2
"500270 Campo Grande";0;1;0;0;3;78;89;57;42;21;4;295
"500290 Cassilândia";0;0;0;0;0;0;1;1;1;0;0;3
"500295 Chapadão do Sul";0;0;0;0;0;0;1;0;0;0;0;1
"500310 Corguinho";0;0;0;0;0;0;1;0;0;0;0;1
"500315 Coronel Sapucaia";0;0;0;0;0;0;0;0;1;1;0;2
"500320 Corumbá";0;0;0;0;0;5;4;7;4;0;0;20
"500325 Costa Rica";0;0;0;0;0;0;2;0;1;0;0;3
"500330 Coxim";0;0;0;0;0;4;5;2;2;1;2;16
"500348 Dois Irmãos do Buriti";0;0;0;0;0;1;0;0;0;0;0;1
"500370 Dourados";2;1;0;1;3;28;26;28;12;3;3;107
"500380 Fátima do Sul";0;0;0;0;0;0;0;0;0;1;0;1
"500410 Guia Lopes da Laguna";0;0;0;0;0;0;0;1;1;0;0;2
"500430 Iguatemi";0;0;0;0;0;0;1;0;0;0;0;1
"500450 Itaporã";0;0;0;0;0;0;1;0;0;0;0;1
"500500 Jardim";0;0;0;1;1;1;0;4;1;1;0;9
"500515 Juti";0;0;0;0;0;0;0;0;1;0;0;1
"500540 Maracaju";0;0;0;0;0;2;1;1;1;0;0;5
"500560 Miranda";0;0;1;0;0;0;0;0;0;0;0;1
"500568 Mundo Novo";0;0;0;0;0;1;0;0;1;0;0;2
"500570 Naviraí";0;0;0;0;0;3;6;8;2;0;0;19
"500580 Nioaque";0;0;0;0;0;1;0;0;0;1;0;2
"500600 Nova Alvorada do Sul";0;0;0;0;0;1;0;0;0;0;0;1
"500620 Nova Andradina";0;0;0;0;0;2;3;7;2;1;2;17
"500630 Paranaíba";0;0;0;0;2;4;4;1;3;0;0;14
"500660 Ponta Porã";0;0;0;0;0;9;10;4;6;3;2;34
"500690 Porto Murtinho";0;0;0;0;0;0;0;0;1;1;0;2
"500710 Ribas do Rio Pardo";0;0;0;0;0;1;0;0;1;0;0;2
"500720 Rio Brilhante";0;0;0;0;1;1;0;0;1;1;0;4
"500740 Rio Verde de Mato Grosso";0;0;0;0;1;0;0;0;2;0;0;3
"500769 São Gabriel do Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"500790 Sidrolândia";0;0;0;0;0;2;1;1;1;1;0;6
"500793 Sonora";0;0;0;0;0;0;0;1;0;0;0;1
"500795 Tacuru";0;0;0;1;0;0;1;0;0;0;0;2
"500800 Terenos";0;0;0;0;0;0;0;1;2;0;0;3
"500830 Três Lagoas";0;0;0;0;1;10;4;10;2;4;1;32
"500840 Vicentina";0;0;0;0;0;0;0;0;1;0;0;1
"Total";2;2;1;3;13;158;169;143;93;45;14;643
