 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2022
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"500060 Amambaí";1;0;1;1;0;0;3
"500070 Anastácio";4;1;0;3;0;0;8
"500085 Angélica";0;0;0;1;0;0;1
"500100 Aparecida do Taboado";0;0;0;1;0;0;1
"500110 Aquidauana";1;1;0;3;0;0;5
"500124 Aral Moreira";1;0;0;0;0;0;1
"500190 Bataguassu";2;1;1;0;0;0;4
"500210 Bela Vista";0;0;0;2;0;0;2
"500260 Camapuã";2;0;0;0;0;0;2
"500270 Campo Grande";122;9;15;145;3;1;295
"500290 Cassilândia";2;0;0;1;0;0;3
"500295 Chapadão do Sul";1;0;0;0;0;0;1
"500310 Corguinho";0;0;0;1;0;0;1
"500315 Coronel Sapucaia";0;1;0;1;0;0;2
"500320 Corumbá";1;1;0;18;0;0;20
"500325 Costa Rica";2;0;0;1;0;0;3
"500330 Coxim";3;1;0;12;0;0;16
"500348 Dois Irmãos do Buriti";1;0;0;0;0;0;1
"500370 Dourados";51;4;0;50;2;0;107
"500380 Fátima do Sul";0;0;0;1;0;0;1
"500410 Guia Lopes da Laguna";0;0;0;2;0;0;2
"500430 Iguatemi";0;0;0;1;0;0;1
"500450 Itaporã";1;0;0;0;0;0;1
"500500 Jardim";1;0;0;8;0;0;9
"500515 Juti";0;0;0;1;0;0;1
"500540 Maracaju";2;0;0;3;0;0;5
"500560 Miranda";0;0;0;1;0;0;1
"500568 Mundo Novo";1;0;0;1;0;0;2
"500570 Naviraí";10;0;0;7;2;0;19
"500580 Nioaque";0;0;0;2;0;0;2
"500600 Nova Alvorada do Sul";0;0;0;1;0;0;1
"500620 Nova Andradina";7;2;0;8;0;0;17
"500630 Paranaíba";10;0;0;4;0;0;14
"500660 Ponta Porã";13;0;1;12;8;0;34
"500690 Porto Murtinho";0;0;0;2;0;0;2
"500710 Ribas do Rio Pardo";1;0;0;1;0;0;2
"500720 Rio Brilhante";2;0;0;1;1;0;4
"500740 Rio Verde de Mato Grosso";0;1;0;2;0;0;3
"500769 São Gabriel do Oeste";0;1;0;0;0;0;1
"500790 Sidrolândia";3;0;0;2;1;0;6
"500793 Sonora";0;0;0;1;0;0;1
"500795 Tacuru";1;0;0;0;1;0;2
"500800 Terenos";2;0;0;1;0;0;3
"500830 Três Lagoas";15;2;0;15;0;0;32
"500840 Vicentina";1;0;0;0;0;0;1
"Total";264;25;18;317;18;1;643
