 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Mato Grosso do Sul
Período:2023
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"500020 Água Clara";0;0;0;0;1;1;0;0;0;2
"500070 Anastácio";0;0;2;1;0;1;2;1;2;9
"500080 Anaurilândia";0;0;0;0;0;0;1;0;0;1
"500085 Angélica";0;0;0;0;0;1;0;0;0;1
"500100 Aparecida do Taboado";0;1;0;0;1;0;0;0;0;2
"500110 Aquidauana";0;0;0;0;0;0;0;0;1;1
"500190 Bataguassu";0;0;0;0;0;2;0;0;0;2
"500230 Brasilândia";0;0;0;1;0;1;0;0;0;2
"500240 Caarapó";0;0;0;1;0;0;0;0;0;1
"500270 Campo Grande";1;18;14;55;21;38;59;22;35;263
"500290 Cassilândia";0;0;0;1;1;1;0;0;0;3
"500295 Chapadão do Sul";0;0;0;0;0;0;0;0;1;1
"500315 Coronel Sapucaia";0;0;0;1;0;0;0;0;0;1
"500320 Corumbá";0;0;0;2;2;2;4;1;2;13
"500325 Costa Rica";0;0;0;1;0;0;2;0;0;3
"500330 Coxim";1;4;2;9;1;1;4;1;0;23
"500370 Dourados";0;6;4;15;3;13;23;5;9;78
"500410 Guia Lopes da Laguna";0;0;0;1;0;0;0;0;0;1
"500480 Japorã";0;0;0;0;0;0;1;0;0;1
"500500 Jardim";1;1;0;1;0;5;2;0;2;12
"500515 Juti";0;0;1;0;0;0;0;0;0;1
"500520 Ladário";0;0;0;3;0;2;0;0;0;5
"500525 Laguna Carapã";1;0;0;0;0;0;0;0;0;1
"500540 Maracaju";0;0;0;2;0;0;1;1;0;4
"500560 Miranda";0;0;0;1;0;0;1;0;1;3
"500568 Mundo Novo";1;0;0;0;0;0;0;0;0;1
"500570 Naviraí";1;4;1;0;2;0;0;0;0;8
"500600 Nova Alvorada do Sul";0;1;0;0;0;1;0;0;0;2
"500620 Nova Andradina";0;0;0;0;0;0;3;1;0;4
"500630 Paranaíba";0;0;0;3;1;2;0;0;2;8
"500660 Ponta Porã";2;8;2;3;0;3;9;1;6;34
"500720 Rio Brilhante";0;0;0;0;0;1;0;0;0;1
"500740 Rio Verde de Mato Grosso";0;1;1;0;0;0;0;0;0;2
"500755 Santa Rita do Pardo";0;1;0;0;0;1;0;0;0;2
"500769 São Gabriel do Oeste";1;0;0;1;0;2;0;1;0;5
"500790 Sidrolândia";0;0;0;1;0;0;3;0;0;4
"500793 Sonora";0;0;0;0;0;1;0;0;0;1
"500830 Três Lagoas";0;3;3;5;10;13;4;0;2;40
"500840 Vicentina";0;0;0;1;0;0;2;0;0;3
"Total";9;48;30;109;43;92;121;34;63;549
