 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso do Sul
Período:2023
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"500020 Água Clara";0;0;0;0;0;0;1;0;0;1;2
"500070 Anastácio";0;0;0;0;3;1;3;4;0;0;11
"500080 Anaurilândia";0;0;0;0;0;0;1;0;0;0;1
"500085 Angélica";0;0;0;0;0;0;1;0;0;0;1
"500090 Antônio João";0;0;0;0;1;0;0;0;0;0;1
"500100 Aparecida do Taboado";0;0;0;0;0;0;1;0;1;0;2
"500110 Aquidauana";0;0;0;0;1;1;0;0;0;0;2
"500190 Bataguassu";0;0;0;0;1;0;0;1;0;0;2
"500200 Batayporã";0;0;0;0;1;0;0;0;0;0;1
"500210 Bela Vista";0;0;0;0;0;1;0;0;0;0;1
"500220 Bonito";0;0;0;0;0;0;0;0;1;0;1
"500230 Brasilândia";0;0;0;0;0;0;0;1;0;1;2
"500240 Caarapó";0;0;0;0;0;0;0;1;0;0;1
"500270 Campo Grande";2;1;1;4;81;85;59;44;24;7;308
"500290 Cassilândia";0;0;0;0;1;0;2;1;0;0;4
"500295 Chapadão do Sul";0;0;0;0;0;0;0;0;2;0;2
"500315 Coronel Sapucaia";0;0;0;0;0;1;0;0;0;0;1
"500320 Corumbá";0;0;0;0;4;4;3;4;2;1;18
"500325 Costa Rica";0;0;0;0;0;2;1;0;0;0;3
"500330 Coxim";0;0;0;3;9;6;5;2;1;1;27
"500370 Dourados";2;1;0;1;31;22;19;16;4;2;98
"500375 Eldorado";0;0;0;0;0;1;0;0;0;0;1
"500410 Guia Lopes da Laguna";0;0;0;0;0;0;1;0;0;0;1
"500480 Japorã";0;0;0;0;0;0;0;1;0;0;1
"500500 Jardim";0;0;0;1;3;5;2;2;0;0;13
"500515 Juti";0;0;0;0;1;0;0;0;1;0;2
"500520 Ladário";0;0;0;0;0;2;0;4;0;0;6
"500525 Laguna Carapã";0;0;0;0;0;0;2;0;0;0;2
"500540 Maracaju";0;0;0;0;0;1;2;0;1;0;4
"500560 Miranda";0;0;0;1;0;1;0;1;0;0;3
"500568 Mundo Novo";0;0;0;0;0;1;0;0;0;0;1
"500570 Naviraí";0;0;0;0;3;3;3;4;0;0;13
"500600 Nova Alvorada do Sul";0;0;0;0;1;2;0;0;0;1;4
"500620 Nova Andradina";0;0;0;0;4;3;2;1;0;0;10
"500630 Paranaíba";0;0;0;0;3;4;0;3;0;0;10
"500660 Ponta Porã";0;0;0;3;15;12;8;5;0;1;44
"500690 Porto Murtinho";0;0;0;0;0;0;0;1;0;0;1
"500710 Ribas do Rio Pardo";0;0;0;0;0;0;1;0;0;0;1
"500720 Rio Brilhante";0;0;0;0;1;0;0;0;0;0;1
"500730 Rio Negro";0;0;0;0;0;0;1;0;0;0;1
"500740 Rio Verde de Mato Grosso";0;0;0;0;0;1;0;1;0;0;2
"500755 Santa Rita do Pardo";0;0;0;0;0;0;0;0;2;0;2
"500769 São Gabriel do Oeste";0;0;0;0;0;2;4;0;1;0;7
"500790 Sidrolândia";0;0;0;0;2;1;3;0;0;0;6
"500793 Sonora";0;0;0;0;0;0;1;0;0;0;1
"500830 Três Lagoas";0;1;0;1;10;16;8;7;2;0;45
"500840 Vicentina";0;0;0;0;1;1;0;1;0;0;3
"Total";4;3;1;14;177;179;134;105;42;15;674
