 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Mato Grosso do Sul
Período:2025
"Município (Res)";"2025";"Total"
"500060 Amambaí";3;3
"500070 Anastácio";12;12
"500110 Aquidauana";1;1
"500190 Bataguassu";2;2
"500240 Caarapó";1;1
"500260 Camapuã";2;2
"500270 Campo Grande";272;272
"500295 Chapadão do Sul";1;1
"500320 Corumbá";26;26
"500325 Costa Rica";2;2
"500330 Coxim";13;13
"500370 Dourados";93;93
"500410 Guia Lopes da Laguna";1;1
"500470 Ivinhema";1;1
"500500 Jardim";9;9
"500520 Ladário";1;1
"500570 Naviraí";9;9
"500580 Nioaque";1;1
"500620 Nova Andradina";7;7
"500630 Paranaíba";13;13
"500660 Ponta Porã";52;52
"500720 Rio Brilhante";1;1
"500740 Rio Verde de Mato Grosso";1;1
"500769 São Gabriel do Oeste";1;1
"500770 Sete Quedas";1;1
"500790 Sidrolândia";2;2
"500793 Sonora";1;1
"500830 Três Lagoas";23;23
"500840 Vicentina";3;3
"Total";555;555
