 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Mato Grosso do Sul
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"500060 Amambaí";2;0;0;1;0;3
"500070 Anastácio";8;0;0;3;1;12
"500110 Aquidauana";0;1;0;0;0;1
"500190 Bataguassu";2;0;0;0;0;2
"500240 Caarapó";0;0;0;1;0;1
"500260 Camapuã";0;1;0;1;0;2
"500270 Campo Grande";118;16;13;124;1;272
"500295 Chapadão do Sul";1;0;0;0;0;1
"500320 Corumbá";4;0;0;22;0;26
"500325 Costa Rica";1;0;0;1;0;2
"500330 Coxim";3;0;0;10;0;13
"500370 Dourados";45;5;0;35;8;93
"500410 Guia Lopes da Laguna";0;0;0;1;0;1
"500470 Ivinhema";0;1;0;0;0;1
"500500 Jardim";4;0;0;5;0;9
"500520 Ladário";0;0;0;1;0;1
"500570 Naviraí";3;0;1;5;0;9
"500580 Nioaque";0;0;0;1;0;1
"500620 Nova Andradina";4;0;0;3;0;7
"500630 Paranaíba";8;0;1;4;0;13
"500660 Ponta Porã";8;0;2;24;18;52
"500720 Rio Brilhante";1;0;0;0;0;1
"500740 Rio Verde de Mato Grosso";0;0;0;1;0;1
"500769 São Gabriel do Oeste";0;0;0;1;0;1
"500770 Sete Quedas";1;0;0;0;0;1
"500790 Sidrolândia";0;0;0;1;1;2
"500793 Sonora";0;0;0;1;0;1
"500830 Três Lagoas";6;2;0;15;0;23
"500840 Vicentina";0;0;0;1;2;3
"Total";219;26;17;262;31;555
