 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Mato Grosso
Período:2019
"Município (Res)";"2019";"Total"
"510010 Acorizal";1;1
"510020 Água Boa";1;1
"510025 Alta Floresta";17;17
"510030 Alto Araguaia";5;5
"510040 Alto Garças";3;3
"510120 Araguainha";1;1
"510125 Araputanga";2;2
"510130 Arenápolis";2;2
"510160 Barão de Melgaço";1;1
"510180 Barra do Garças";9;9
"510190 Brasnorte";1;1
"510250 Cáceres";18;18
"510263 Campo Novo do Parecis";3;3
"510267 Campo Verde";8;8
"510268 Campos de Júlio";1;1
"510270 Canarana";5;5
"510300 Chapada dos Guimarães";4;4
"510305 Cláudia";1;1
"510320 Colíder";7;7
"510330 Comodoro";1;1
"510335 Confresa";6;6
"510340 Cuiabá";274;274
"510345 Denise";1;1
"510350 Diamantino";1;1
"510360 Dom Aquino";1;1
"510390 General Carneiro";1;1
"510410 Guarantã do Norte";12;12
"510420 Guiratinga";7;7
"510450 Indiavaí";1;1
"510460 Itiquira";1;1
"510480 Jaciara";13;13
"510510 Juara";4;4
"510515 Juína";5;5
"510523 Lambari D'Oeste";1;1
"510525 Lucas do Rio Verde";9;9
"510558 Marcelândia";1;1
"510562 Mirassol d'Oeste";4;4
"510590 Nobres";1;1
"510895 Nova Monte Verde";1;1
"510622 Nova Mutum";1;1
"510623 Nova Olímpia";2;2
"510630 Paranatinga";3;3
"510637 Pedra Preta";4;4
"510642 Peixoto de Azevedo";3;3
"510645 Planalto da Serra";2;2
"510650 Poconé";1;1
"510665 Pontal do Araguaia";2;2
"510675 Pontes e Lacerda";3;3
"510700 Poxoréo";3;3
"510704 Primavera do Leste";9;9
"510706 Querência";1;1
"510718 Ribeirão Cascalheira";1;1
"510760 Rondonópolis";154;154
"510770 Rosário Oeste";2;2
"510779 Santo Antônio do Leste";1;1
"510790 Sinop";77;77
"510792 Sorriso";32;32
"510795 Tangará da Serra";30;30
"510800 Tapurah";5;5
"510805 Terra Nova do Norte";1;1
"510810 Tesouro";1;1
"510835 Vale de São Domingos";1;1
"510840 Várzea Grande";113;113
"510550 Vila Bela da Santíssima Trindade";2;2
"Total";889;889
