 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2019
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"510010 Acorizal";0;0;0;0;1;0;0;0;0;0;1
"510020 Água Boa";1;0;0;0;0;0;0;0;0;0;1
"510025 Alta Floresta";0;0;0;0;3;3;8;2;1;0;17
"510030 Alto Araguaia";0;0;0;0;1;0;2;1;1;0;5
"510040 Alto Garças";0;0;0;0;0;1;2;0;0;0;3
"510120 Araguainha";0;0;0;0;0;0;0;0;0;1;1
"510125 Araputanga";0;0;0;0;2;0;0;0;0;0;2
"510130 Arenápolis";0;0;0;0;0;1;0;1;0;0;2
"510160 Barão de Melgaço";0;0;0;0;0;0;0;0;1;0;1
"510180 Barra do Garças";0;0;0;0;3;4;1;0;1;0;9
"510190 Brasnorte";0;0;0;0;0;0;1;0;0;0;1
"510250 Cáceres";0;0;0;0;5;4;6;2;1;0;18
"510263 Campo Novo do Parecis";0;0;0;0;0;1;1;1;0;0;3
"510267 Campo Verde";0;0;0;0;5;2;0;1;0;0;8
"510268 Campos de Júlio";0;0;0;0;0;0;0;1;0;0;1
"510270 Canarana";0;0;0;0;1;2;1;1;0;0;5
"510300 Chapada dos Guimarães";0;0;0;0;1;1;2;0;0;0;4
"510305 Cláudia";0;0;0;0;0;0;0;1;0;0;1
"510320 Colíder";0;0;0;0;3;2;1;1;0;0;7
"510330 Comodoro";0;0;0;0;1;0;0;0;0;0;1
"510335 Confresa";0;0;0;1;1;1;2;0;1;0;6
"510340 Cuiabá";1;1;0;8;86;83;55;29;10;1;274
"510345 Denise";0;0;0;0;0;0;1;0;0;0;1
"510350 Diamantino";0;0;0;0;0;1;0;0;0;0;1
"510360 Dom Aquino";0;0;0;0;0;0;0;1;0;0;1
"510390 General Carneiro";0;0;0;0;1;0;0;0;0;0;1
"510410 Guarantã do Norte";0;0;0;1;3;4;1;1;2;0;12
"510420 Guiratinga";0;0;0;1;0;2;1;3;0;0;7
"510450 Indiavaí";0;0;0;0;0;1;0;0;0;0;1
"510460 Itiquira";0;0;0;0;0;0;0;1;0;0;1
"510480 Jaciara";0;0;0;0;1;1;0;8;2;1;13
"510510 Juara";0;0;0;0;1;0;1;2;0;0;4
"510515 Juína";0;0;0;0;1;1;3;0;0;0;5
"510523 Lambari D'Oeste";0;0;0;0;0;1;0;0;0;0;1
"510525 Lucas do Rio Verde";0;0;0;0;2;3;1;2;1;0;9
"510558 Marcelândia";0;0;0;0;0;0;0;1;0;0;1
"510562 Mirassol d'Oeste";0;0;0;0;3;0;0;1;0;0;4
"510590 Nobres";0;0;0;0;0;0;0;1;0;0;1
"510895 Nova Monte Verde";0;0;0;0;0;0;0;0;1;0;1
"510622 Nova Mutum";0;0;0;0;0;0;1;0;0;0;1
"510623 Nova Olímpia";0;0;0;0;0;0;1;1;0;0;2
"510630 Paranatinga";0;0;0;0;0;1;1;1;0;0;3
"510637 Pedra Preta";0;0;0;0;1;0;3;0;0;0;4
"510642 Peixoto de Azevedo";0;0;0;0;0;3;0;0;0;0;3
"510645 Planalto da Serra";0;0;0;0;0;0;2;0;0;0;2
"510650 Poconé";0;0;0;0;0;0;0;1;0;0;1
"510665 Pontal do Araguaia";0;0;0;0;0;1;0;1;0;0;2
"510675 Pontes e Lacerda";0;0;1;0;0;1;1;0;0;0;3
"510700 Poxoréo";0;0;0;0;1;0;2;0;0;0;3
"510704 Primavera do Leste";0;0;0;1;1;3;0;3;1;0;9
"510706 Querência";0;0;0;0;0;0;0;1;0;0;1
"510718 Ribeirão Cascalheira";0;0;0;0;0;1;0;0;0;0;1
"510760 Rondonópolis";1;0;1;3;47;40;37;16;6;3;154
"510770 Rosário Oeste";0;0;0;0;0;1;0;1;0;0;2
"510779 Santo Antônio do Leste";0;0;0;0;0;1;0;0;0;0;1
"510790 Sinop";0;0;0;0;29;17;14;7;7;3;77
"510792 Sorriso";0;0;0;1;8;12;4;7;0;0;32
"510795 Tangará da Serra";0;0;0;2;4;10;10;2;1;1;30
"510800 Tapurah";0;0;0;0;0;2;3;0;0;0;5
"510805 Terra Nova do Norte";0;0;0;0;0;0;1;0;0;0;1
"510810 Tesouro";0;0;0;0;0;1;0;0;0;0;1
"510835 Vale de São Domingos";0;0;0;0;0;0;0;1;0;0;1
"510840 Várzea Grande";0;0;0;3;36;34;19;16;5;0;113
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;1;0;1;0;0;0;2
"Total";3;1;2;21;253;247;190;120;42;10;889
