 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Mato Grosso
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"510010 Acorizal";0;0;0;0;0;0;0;2;0;0;0;2
"510020 Água Boa";0;0;0;0;1;2;2;0;0;0;0;5
"510025 Alta Floresta";0;0;0;0;1;1;2;2;2;0;0;8
"510030 Alto Araguaia";0;0;0;0;1;1;1;0;0;0;0;3
"510040 Alto Garças";0;0;0;0;0;0;1;1;0;0;0;2
"510080 Apiacás";0;0;0;0;0;1;0;0;1;0;0;2
"510125 Araputanga";0;0;0;0;0;0;0;2;0;0;1;3
"510140 Aripuanã";0;0;0;0;0;0;0;1;0;0;0;1
"510180 Barra do Garças";0;0;0;0;2;1;1;1;1;0;0;6
"510190 Brasnorte";0;0;0;1;0;0;0;0;0;0;0;1
"510250 Cáceres";0;0;0;0;4;5;7;3;0;0;1;20
"510263 Campo Novo do Parecis";0;0;0;0;1;2;0;0;1;0;0;4
"510267 Campo Verde";0;0;0;1;3;2;2;0;2;1;0;11
"510270 Canarana";0;0;0;0;2;0;0;0;0;0;0;2
"510279 Carlinda";0;0;0;0;0;0;1;0;0;0;0;1
"510285 Castanheira";0;0;0;0;0;0;0;1;0;0;0;1
"510320 Colíder";0;0;0;0;2;2;2;0;0;1;0;7
"510325 Colniza";0;0;0;0;0;0;1;0;0;0;0;1
"510330 Comodoro";0;0;0;0;0;1;0;0;0;0;0;1
"510335 Confresa";0;0;0;3;4;2;2;1;0;0;0;12
"510340 Cuiabá";0;0;0;3;67;62;33;25;5;3;1;199
"510345 Denise";0;0;0;0;0;0;0;0;0;1;0;1
"510350 Diamantino";0;0;0;0;2;2;0;0;0;0;0;4
"510360 Dom Aquino";0;0;0;0;0;0;0;0;0;1;0;1
"510410 Guarantã do Norte";0;0;0;0;2;1;0;2;0;0;0;5
"510420 Guiratinga";0;0;0;0;0;0;0;0;0;1;0;1
"510450 Indiavaí";0;0;0;0;0;0;0;1;0;0;0;1
"510460 Itiquira";0;0;0;0;0;0;1;1;0;0;0;2
"510480 Jaciara";0;0;0;0;2;0;0;0;0;0;0;2
"510490 Jangada";1;0;0;0;0;0;0;0;1;0;0;2
"510510 Juara";0;0;0;0;0;0;0;1;0;0;0;1
"510515 Juína";0;0;0;0;1;6;3;2;1;0;0;13
"510525 Lucas do Rio Verde";0;0;0;0;1;0;2;0;0;0;0;3
"510558 Marcelândia";0;0;0;0;0;0;1;0;0;0;0;1
"510560 Matupá";0;0;0;0;0;1;0;1;0;0;0;2
"510562 Mirassol d'Oeste";0;0;0;0;0;2;0;2;0;0;0;4
"510610 Nossa Senhora do Livramento";0;0;0;0;0;1;0;3;0;0;0;4
"510615 Nova Bandeirantes";0;0;0;0;0;0;1;0;0;0;0;1
"510620 Nova Brasilândia";0;0;0;0;0;1;1;0;0;0;0;2
"510880 Nova Guarita";0;0;0;0;0;0;1;0;0;0;0;1
"510895 Nova Monte Verde";0;0;0;0;1;0;0;2;0;0;0;3
"510622 Nova Mutum";0;1;0;0;3;3;3;0;0;0;0;10
"510623 Nova Olímpia";0;0;0;0;0;0;0;1;0;0;0;1
"510625 Nova Xavantina";0;0;0;0;0;0;0;1;0;0;0;1
"510626 Novo Mundo";0;0;0;0;0;1;0;0;0;0;0;1
"510630 Paranatinga";0;0;0;0;3;1;1;2;1;0;0;8
"510637 Pedra Preta";0;0;0;0;0;1;1;0;0;0;0;2
"510642 Peixoto de Azevedo";0;0;0;0;0;1;2;1;0;0;1;5
"510650 Poconé";0;0;0;0;0;1;2;0;0;0;0;3
"510675 Pontes e Lacerda";0;0;0;0;1;0;1;0;0;0;0;2
"510682 Porto Esperidião";0;0;0;1;0;0;0;1;0;0;0;2
"510704 Primavera do Leste";0;0;0;0;4;7;5;1;1;0;0;18
"510706 Querência";0;0;0;0;0;1;0;0;0;0;0;1
"510760 Rondonópolis";0;0;0;0;38;21;15;10;6;1;0;91
"510776 Santa Rita do Trivelato";0;0;0;0;0;1;0;0;0;0;0;1
"510780 Santo Antônio do Leverger";0;0;0;0;0;1;0;1;1;0;0;3
"510785 São Félix do Araguaia";0;0;0;0;0;0;0;1;0;0;0;1
"510730 São José do Rio Claro";0;0;0;0;0;1;0;0;0;0;0;1
"510710 São José dos Quatro Marcos";0;0;0;0;0;2;0;0;0;0;0;2
"510740 São Pedro da Cipa";0;0;0;0;0;1;0;0;0;0;0;1
"510790 Sinop";0;0;0;4;17;7;12;8;3;0;1;52
"510792 Sorriso";0;0;0;0;5;12;9;4;2;0;0;32
"510794 Tabaporã";0;0;0;0;0;0;0;1;0;0;0;1
"510795 Tangará da Serra";0;1;0;1;7;9;8;9;2;2;1;40
"510800 Tapurah";0;0;0;0;0;1;1;0;0;0;0;2
"510805 Terra Nova do Norte";0;0;0;0;0;0;1;0;0;0;0;1
"510810 Tesouro";0;0;0;0;0;0;0;1;0;0;0;1
"510840 Várzea Grande";0;0;1;1;36;32;20;12;4;2;0;108
"510850 Vera";0;0;0;0;0;1;0;0;0;0;0;1
"510550 Vila Bela da Santíssima Trindade";0;0;0;0;0;0;1;0;0;0;0;1
"510860 Vila Rica";0;0;0;0;1;0;0;0;0;0;0;1
"Total";1;2;1;15;212;201;147;108;34;13;6;740
