 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Mato Grosso
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"510010 Acorizal";0;1;0;0;0;0;0;0;0;1
"510020 Água Boa";0;2;0;3;0;3;2;0;1;11
"510025 Alta Floresta";0;2;0;3;2;1;5;0;0;13
"510030 Alto Araguaia";0;0;1;0;1;0;0;0;0;2
"510040 Alto Garças";0;1;0;0;0;0;0;0;0;1
"510080 Apiacás";1;0;0;0;0;0;0;0;0;1
"510100 Araguaiana";0;0;0;0;0;0;1;0;0;1
"510125 Araputanga";0;0;0;0;0;0;2;0;0;2
"510130 Arenápolis";0;1;0;0;0;1;0;0;0;2
"510140 Aripuanã";1;0;0;0;0;1;0;0;0;2
"510160 Barão de Melgaço";0;0;0;0;0;1;0;0;0;1
"510170 Barra do Bugres";0;0;1;0;0;0;1;0;0;2
"510180 Barra do Garças";1;0;0;2;1;2;2;2;0;10
"510250 Cáceres";1;3;0;4;0;7;4;2;2;23
"510263 Campo Novo do Parecis";0;1;0;3;0;0;2;0;1;7
"510267 Campo Verde";0;1;0;1;1;2;0;0;0;5
"510268 Campos de Júlio";0;0;0;0;1;0;0;0;0;1
"510269 Canabrava do Norte";0;0;0;0;0;0;0;0;1;1
"510270 Canarana";0;2;0;0;0;0;1;0;0;3
"510320 Colíder";0;0;2;1;0;1;6;0;0;10
"510335 Confresa";0;2;0;6;0;2;3;1;1;15
"510337 Cotriguaçu";0;0;0;1;0;0;0;0;0;1
"510340 Cuiabá";2;8;6;29;13;39;73;23;44;237
"510345 Denise";0;1;0;0;0;0;0;0;1;2
"510350 Diamantino";0;0;0;2;0;0;1;0;1;4
"510370 Feliz Natal";0;0;0;0;0;0;1;0;0;1
"510385 Gaúcha do Norte";0;0;0;0;0;0;1;0;0;1
"510390 General Carneiro";1;0;0;0;0;0;0;0;0;1
"510410 Guarantã do Norte";0;0;1;0;0;0;1;1;0;3
"510460 Itiquira";0;0;0;0;0;0;0;1;0;1
"510480 Jaciara";0;2;0;0;0;0;2;0;0;4
"510510 Juara";0;0;2;1;1;1;1;0;0;6
"510515 Juína";0;1;1;4;0;2;5;1;1;15
"510523 Lambari D'Oeste";0;0;0;1;0;0;0;0;0;1
"510525 Lucas do Rio Verde";0;1;0;0;0;1;1;0;0;3
"510558 Marcelândia";0;0;0;1;0;0;0;0;1;2
"510560 Matupá";0;0;0;0;0;0;0;0;1;1
"510562 Mirassol d'Oeste";0;0;0;0;1;0;1;0;0;2
"510622 Nova Mutum";0;0;0;1;0;0;1;0;0;2
"510623 Nova Olímpia";0;0;0;1;0;0;0;0;0;1
"510625 Nova Xavantina";0;0;0;1;0;1;2;0;1;5
"510628 Novo São Joaquim";0;1;0;0;0;0;0;0;0;1
"510630 Paranatinga";0;0;0;1;2;1;0;0;0;4
"510642 Peixoto de Azevedo";3;3;0;0;0;3;0;1;0;10
"510645 Planalto da Serra";0;0;0;0;0;0;1;0;0;1
"510650 Poconé";0;0;0;0;0;0;2;0;0;2
"510675 Pontes e Lacerda";0;0;0;0;0;1;0;0;0;1
"510677 Porto Alegre do Norte";1;0;0;0;0;0;0;0;0;1
"510682 Porto Esperidião";0;0;0;0;0;0;0;0;1;1
"510700 Poxoréo";0;1;0;0;0;0;0;0;1;2
"510704 Primavera do Leste";1;0;1;2;2;3;9;0;5;23
"510706 Querência";1;0;0;2;0;1;0;0;1;5
"510718 Ribeirão Cascalheira";0;0;0;1;0;0;1;0;0;2
"510760 Rondonópolis";1;8;1;14;8;17;30;11;7;97
"510780 Santo Antônio do Leverger";0;0;0;0;0;1;1;0;0;2
"510735 São José do Xingu";0;1;0;0;0;0;0;0;0;1
"510740 São Pedro da Cipa";0;0;0;0;0;0;1;0;0;1
"510787 Sapezal";0;0;1;0;0;0;1;0;1;3
"510790 Sinop";1;7;1;10;9;11;19;4;4;66
"510792 Sorriso";1;0;0;5;6;6;9;1;1;29
"510795 Tangará da Serra";0;3;2;4;6;13;14;3;2;47
"510800 Tapurah";0;0;0;0;3;0;1;0;0;4
"510805 Terra Nova do Norte";0;0;0;0;0;0;0;1;0;1
"510840 Várzea Grande";0;2;2;8;10;32;37;6;7;104
"Total";16;55;22;112;67;154;245;58;86;815
