 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Mato Grosso
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"510020 Água Boa";8;3;11
"510025 Alta Floresta";13;6;19
"510050 Alto Paraguai";1;0;1
"510130 Arenápolis";0;1;1
"510140 Aripuanã";2;0;2
"510170 Barra do Bugres";0;1;1
"510180 Barra do Garças";13;2;15
"510250 Cáceres";13;4;17
"510263 Campo Novo do Parecis";9;3;12
"510268 Campos de Júlio";1;2;3
"510270 Canarana";4;2;6
"510279 Carlinda";0;1;1
"510300 Chapada dos Guimarães";2;0;2
"510305 Cláudia";1;0;1
"510320 Colíder";2;0;2
"510335 Confresa";8;4;12
"510340 Cuiabá";139;40;179
"510350 Diamantino";6;0;6
"510385 Gaúcha do Norte";0;1;1
"510410 Guarantã do Norte";1;1;2
"510460 Itiquira";1;1;2
"510480 Jaciara";0;1;1
"510510 Juara";3;3;6
"510515 Juína";5;4;9
"510525 Lucas do Rio Verde";1;0;1
"510562 Mirassol d'Oeste";0;1;1
"510590 Nobres";0;1;1
"510610 Nossa Senhora do Livramento";1;0;1
"510895 Nova Monte Verde";1;0;1
"510622 Nova Mutum";7;2;9
"510625 Nova Xavantina";4;3;7
"510627 Novo Horizonte do Norte";1;0;1
"510630 Paranatinga";2;1;3
"510642 Peixoto de Azevedo";8;2;10
"510675 Pontes e Lacerda";1;1;2
"510704 Primavera do Leste";11;5;16
"510706 Querência";3;1;4
"510718 Ribeirão Cascalheira";1;0;1
"510760 Rondonópolis";42;19;61
"510770 Rosário Oeste";0;3;3
"510776 Santa Rita do Trivelato";1;1;2
"510785 São Félix do Araguaia";1;0;1
"510790 Sinop";37;13;50
"510792 Sorriso";13;9;22
"510794 Tabaporã";1;0;1
"510795 Tangará da Serra";17;9;26
"510840 Várzea Grande";62;32;94
"510550 Vila Bela da Santíssima Trindade";0;1;1
"Total";447;184;631
