 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2016
Ano Notificação: 2016
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2016
"Município (Res)";"Masculino";"Feminino";"Total"
"270010 Água Branca";0;1;1
"270020 Anadia";1;0;1
"270030 Arapiraca";12;7;19
"270040 Atalaia";2;2;4
"270050 Barra de Santo Antônio";2;0;2
"270060 Barra de São Miguel";1;0;1
"270130 Cajueiro";1;0;1
"270140 Campo Alegre";1;1;2
"270160 Canapi";1;0;1
"270170 Capela";1;0;1
"270200 Coité do Nóia";2;1;3
"270220 Coqueiro Seco";2;0;2
"270230 Coruripe";2;3;5
"270235 Craíbas";0;1;1
"270240 Delmiro Gouveia";1;0;1
"270280 Flexeiras";1;1;2
"270310 Igaci";1;0;1
"270330 Inhapi";0;1;1
"270350 Jacuípe";1;0;1
"270375 Jequiá da Praia";1;1;2
"270380 Joaquim Gomes";1;0;1
"270390 Jundiá";0;1;1
"270400 Junqueiro";1;1;2
"270430 Maceió";238;109;347
"270440 Major Isidoro";2;1;3
"270450 Maragogi";1;3;4
"270470 Marechal Deodoro";3;3;6
"270510 Matriz de Camaragibe";4;2;6
"270520 Messias";2;0;2
"270550 Murici";4;4;8
"270560 Novo Lino";2;1;3
"270580 Olho d'Água do Casado";1;0;1
"270610 Ouro Branco";1;0;1
"270630 Palmeira dos Índios";4;0;4
"270644 Paripueira";1;3;4
"270650 Passo de Camaragibe";1;0;1
"270670 Penedo";1;0;1
"270690 Pilar";2;5;7
"270710 Piranhas";2;2;4
"270730 Porto Calvo";3;2;5
"270750 Porto Real do Colégio";0;1;1
"270770 Rio Largo";3;1;4
"270790 Santa Luzia do Norte";1;1;2
"270800 Santana do Ipanema";2;0;2
"270830 São José da Laje";0;1;1
"270850 São Luís do Quitunde";8;0;8
"270860 São Miguel dos Campos";5;2;7
"270870 São Miguel dos Milagres";1;0;1
"270880 São Sebastião";3;1;4
"270890 Satuba";2;0;2
"270915 Teotônio Vilela";0;2;2
"270930 União dos Palmares";4;2;6
"270940 Viçosa";1;0;1
"Total";337;167;504
