 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"270020 Anadia";1;1;0;1;0;0;1;0;0;4
"270030 Arapiraca";2;7;2;5;0;3;6;1;5;31
"270040 Atalaia";0;0;0;0;0;0;1;0;0;1
"270050 Barra de Santo Antônio";1;3;2;1;0;0;0;0;2;9
"270080 Belém";0;0;0;0;0;0;1;0;0;1
"270120 Cacimbinhas";0;0;0;1;0;0;0;0;0;1
"270130 Cajueiro";0;0;1;1;0;0;0;0;0;2
"270140 Campo Alegre";1;0;0;0;1;0;0;0;0;2
"270170 Capela";0;1;0;1;0;0;0;0;0;2
"270200 Coité do Nóia";1;0;0;0;0;0;0;0;0;1
"270210 Colônia Leopoldina";0;2;1;1;0;1;0;0;0;5
"270220 Coqueiro Seco";0;1;0;0;0;0;0;0;0;1
"270230 Coruripe";1;2;0;0;0;0;0;0;1;4
"270235 Craíbas";0;1;0;1;0;0;0;0;0;2
"270240 Delmiro Gouveia";0;1;0;0;1;0;0;0;1;3
"270250 Dois Riachos";0;0;0;0;0;0;1;0;0;1
"270255 Estrela de Alagoas";0;0;0;0;0;0;1;0;0;1
"270280 Flexeiras";0;1;0;0;0;0;0;0;0;1
"270290 Girau do Ponciano";0;0;0;1;0;0;0;0;0;1
"270300 Ibateguara";0;1;0;1;0;0;0;0;0;2
"270330 Inhapi";1;0;0;0;0;0;0;0;0;1
"270370 Jaramataia";0;0;0;0;0;0;1;0;0;1
"270375 Jequiá da Praia";0;0;0;0;0;0;1;0;0;1
"270380 Joaquim Gomes";0;1;0;1;0;0;0;0;0;2
"270410 Lagoa da Canoa";0;0;0;1;0;0;0;0;0;1
"270420 Limoeiro de Anadia";0;1;0;0;0;0;0;0;0;1
"270430 Maceió";29;45;16;66;16;32;61;19;36;320
"270440 Major Isidoro";2;0;0;0;0;0;0;0;0;2
"270450 Maragogi";0;0;0;3;1;1;0;0;0;5
"270470 Marechal Deodoro";0;2;0;1;1;0;1;1;1;7
"270510 Matriz de Camaragibe";1;0;0;0;0;0;0;0;0;1
"270520 Messias";0;0;0;0;1;0;2;0;0;3
"270540 Monteirópolis";1;0;0;0;0;0;0;0;0;1
"270550 Murici";2;1;0;4;0;0;0;0;0;7
"270570 Olho d'Água das Flores";0;0;0;1;0;0;0;0;0;1
"270600 Olivença";0;1;0;0;0;0;0;0;0;1
"270610 Ouro Branco";0;0;0;0;0;1;0;0;0;1
"270630 Palmeira dos Índios";2;1;0;2;0;1;0;0;0;6
"270670 Penedo";1;0;0;1;1;1;1;0;0;5
"270710 Piranhas";1;0;0;0;0;0;0;0;0;1
"270730 Porto Calvo";1;2;0;0;0;0;0;0;0;3
"270740 Porto de Pedras";0;0;0;1;0;0;0;0;0;1
"270750 Porto Real do Colégio";0;1;0;0;0;0;0;0;0;1
"270770 Rio Largo";3;3;1;1;0;0;1;2;0;11
"270790 Santa Luzia do Norte";0;0;0;0;0;0;0;0;1;1
"270800 Santana do Ipanema";0;0;0;1;0;0;0;0;0;1
"270810 Santana do Mundaú";1;0;0;0;0;0;0;0;0;1
"270850 São Luís do Quitunde";0;2;1;1;0;0;0;0;0;4
"270860 São Miguel dos Campos";2;1;0;4;0;0;0;0;0;7
"270870 São Miguel dos Milagres";0;0;1;0;0;0;0;0;0;1
"270880 São Sebastião";1;0;0;0;1;0;0;0;0;2
"270890 Satuba";0;0;0;1;0;0;2;0;0;3
"270915 Teotônio Vilela";1;0;0;1;1;0;0;0;1;4
"270930 União dos Palmares";1;1;0;0;0;0;0;0;0;2
"270940 Viçosa";0;1;0;1;0;0;0;0;0;2
"Total";57;84;25;105;24;40;81;23;48;487
