 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2018
Ano Notificação: 2018
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2018
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"270020 Anadia";0;0;0;0;0;0;2;1;0;1;0;4
"270030 Arapiraca";0;0;0;0;0;9;11;7;5;1;1;34
"270040 Atalaia";0;0;0;0;0;0;1;1;1;0;0;3
"270050 Barra de Santo Antônio";0;0;0;0;0;1;4;3;3;0;0;11
"270060 Barra de São Miguel";0;0;0;0;0;0;0;0;0;1;0;1
"270080 Belém";0;0;0;0;0;1;0;0;0;0;0;1
"270120 Cacimbinhas";0;0;0;0;0;0;0;0;0;0;1;1
"270130 Cajueiro";0;0;0;0;1;2;0;0;0;0;0;3
"270135 Campestre";0;0;0;0;0;0;0;0;1;0;0;1
"270140 Campo Alegre";0;0;0;0;0;0;0;2;0;0;0;2
"270170 Capela";0;0;1;0;0;0;1;0;0;0;0;2
"270200 Coité do Nóia";0;0;0;0;0;0;1;0;0;0;0;1
"270210 Colônia Leopoldina";0;0;0;0;0;1;0;1;4;0;0;6
"270220 Coqueiro Seco";0;0;0;0;0;0;0;0;2;0;0;2
"270230 Coruripe";0;0;0;0;0;0;3;1;2;0;0;6
"270235 Craíbas";0;0;0;0;0;1;1;0;0;0;0;2
"270240 Delmiro Gouveia";0;0;0;0;0;0;1;0;1;1;0;3
"270250 Dois Riachos";0;0;0;0;0;1;0;0;0;0;0;1
"270255 Estrela de Alagoas";0;0;0;0;0;0;0;1;0;0;0;1
"270280 Flexeiras";0;0;0;0;0;1;0;0;0;0;0;1
"270290 Girau do Ponciano";0;0;0;0;1;0;0;0;0;0;0;1
"270300 Ibateguara";0;0;0;0;1;0;0;0;1;0;0;2
"270330 Inhapi";0;0;0;0;0;0;0;1;0;0;0;1
"270370 Jaramataia";0;0;0;0;0;1;0;0;0;0;0;1
"270375 Jequiá da Praia";0;0;0;0;0;1;1;0;1;0;0;3
"270380 Joaquim Gomes";0;0;0;0;0;1;1;0;0;0;0;2
"270410 Lagoa da Canoa";0;0;0;0;0;0;1;0;0;0;0;1
"270420 Limoeiro de Anadia";0;0;0;0;0;0;1;0;0;0;0;1
"270430 Maceió";2;3;0;1;12;88;106;117;44;27;2;402
"270440 Major Isidoro";0;0;0;0;0;0;0;1;1;0;0;2
"270450 Maragogi";0;0;0;0;0;4;1;2;0;0;0;7
"270470 Marechal Deodoro";0;0;0;0;0;1;3;2;1;1;0;8
"270510 Matriz de Camaragibe";0;0;0;0;0;0;1;0;1;0;0;2
"270520 Messias";0;0;0;0;0;1;1;2;0;0;0;4
"270540 Monteirópolis";0;0;0;0;0;0;0;1;1;0;0;2
"270550 Murici";0;0;0;0;0;3;1;1;1;1;0;7
"270570 Olho d'Água das Flores";0;0;0;0;0;0;1;0;0;0;0;1
"270580 Olho d'Água do Casado";0;0;0;0;0;0;0;1;0;0;0;1
"270600 Olivença";0;0;0;0;0;0;0;1;0;0;0;1
"270610 Ouro Branco";0;0;0;0;0;1;0;0;0;0;0;1
"270630 Palmeira dos Índios";0;0;0;0;0;0;6;2;2;0;0;10
"270640 Pão de Açúcar";0;0;0;0;0;0;0;1;0;0;0;1
"270644 Paripueira";0;0;0;0;0;0;0;0;1;0;0;1
"270670 Penedo";0;0;0;0;1;2;1;2;0;0;0;6
"270710 Piranhas";0;0;0;0;0;0;1;0;1;0;0;2
"270730 Porto Calvo";0;0;0;0;0;1;1;1;1;0;0;4
"270740 Porto de Pedras";0;0;0;0;0;1;1;0;0;0;0;2
"270750 Porto Real do Colégio";0;0;0;0;0;0;1;0;0;0;0;1
"270770 Rio Largo";0;0;1;0;0;0;3;5;3;1;0;13
"270790 Santa Luzia do Norte";0;0;0;0;0;0;0;2;0;0;0;2
"270800 Santana do Ipanema";0;0;0;0;0;0;3;0;0;0;0;3
"270810 Santana do Mundaú";0;0;0;0;0;0;0;1;0;0;0;1
"270850 São Luís do Quitunde";0;0;0;0;1;1;3;1;0;0;0;6
"270860 São Miguel dos Campos";0;0;0;0;0;3;3;0;1;1;0;8
"270870 São Miguel dos Milagres";0;0;0;0;0;0;1;0;0;0;0;1
"270880 São Sebastião";0;0;0;0;0;0;1;1;0;0;0;2
"270890 Satuba";0;0;0;0;0;1;2;0;0;0;0;3
"270915 Teotônio Vilela";0;0;0;0;0;0;2;1;0;1;0;4
"270930 União dos Palmares";0;0;0;0;0;0;1;1;0;2;0;4
"270940 Viçosa";1;0;0;0;0;1;0;0;0;0;0;2
"Total";3;3;2;1;17;128;173;164;79;38;4;612
