 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2019
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Período:2019
"Município (Res)";"Masculino";"Feminino";"Total"
"270030 Arapiraca";26;12;38
"270040 Atalaia";1;1;2
"270050 Barra de Santo Antônio";2;2;4
"270100 Boca da Mata";1;0;1
"270110 Branquinha";1;0;1
"270130 Cajueiro";0;1;1
"270160 Canapi";0;1;1
"270200 Coité do Nóia";2;0;2
"270210 Colônia Leopoldina";6;1;7
"270230 Coruripe";3;1;4
"270240 Delmiro Gouveia";3;0;3
"270280 Flexeiras";1;1;2
"270300 Ibateguara";1;0;1
"270330 Inhapi";0;1;1
"270360 Japaratinga";1;0;1
"270400 Junqueiro";2;0;2
"270430 Maceió";274;136;410
"270440 Major Isidoro";1;1;2
"270450 Maragogi";3;5;8
"270470 Marechal Deodoro";8;1;9
"270480 Maribondo";2;0;2
"270510 Matriz de Camaragibe";1;0;1
"270520 Messias";2;0;2
"270550 Murici";2;0;2
"270560 Novo Lino";1;0;1
"270580 Olho d'Água do Casado";0;1;1
"270610 Ouro Branco";0;1;1
"270630 Palmeira dos Índios";5;0;5
"270644 Paripueira";3;1;4
"270670 Penedo";1;0;1
"270690 Pilar";4;3;7
"270730 Porto Calvo";4;2;6
"270740 Porto de Pedras";0;1;1
"270750 Porto Real do Colégio";0;1;1
"270760 Quebrangulo";1;2;3
"270770 Rio Largo";4;2;6
"270790 Santa Luzia do Norte";2;0;2
"270800 Santana do Ipanema";5;0;5
"270850 São Luís do Quitunde";1;0;1
"270860 São Miguel dos Campos";2;4;6
"270880 São Sebastião";4;1;5
"270910 Taquarana";2;1;3
"270915 Teotônio Vilela";6;0;6
"270930 União dos Palmares";6;3;9
"270940 Viçosa";2;0;2
"Total";396;187;583
