 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2020
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Período:2020
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"270030 Arapiraca";0;1;13;12;7;4;1;1;0;39
"270040 Atalaia";0;0;0;1;2;2;0;0;0;5
"270050 Barra de Santo Antônio";0;0;0;0;0;0;0;1;0;1
"270060 Barra de São Miguel";0;0;2;1;1;0;0;0;0;4
"270100 Boca da Mata";0;0;0;0;0;0;1;0;0;1
"270110 Branquinha";0;0;0;1;0;1;0;0;0;2
"270120 Cacimbinhas";0;0;0;0;0;1;0;0;0;1
"270140 Campo Alegre";0;0;0;1;1;1;0;0;0;3
"270170 Capela";0;0;0;0;2;0;0;0;0;2
"270210 Colônia Leopoldina";0;0;0;0;3;0;0;0;0;3
"270220 Coqueiro Seco";0;0;0;0;0;1;0;0;0;1
"270230 Coruripe";0;0;0;2;0;1;0;0;0;3
"270240 Delmiro Gouveia";0;0;1;1;1;0;0;0;1;4
"270260 Feira Grande";0;0;0;0;0;0;1;1;0;2
"270270 Feliz Deserto";0;0;1;1;0;0;0;0;0;2
"270280 Flexeiras";0;0;0;1;1;0;0;0;0;2
"270300 Ibateguara";0;0;1;0;0;0;0;0;0;1
"270330 Inhapi";0;0;0;0;0;1;0;0;0;1
"270400 Junqueiro";0;0;1;1;0;0;0;0;0;2
"270420 Limoeiro de Anadia";0;0;0;1;0;0;0;0;0;1
"270430 Maceió";2;8;88;109;85;40;10;3;0;345
"270450 Maragogi";0;0;1;3;1;0;0;0;0;5
"270460 Maravilha";0;0;0;0;1;0;0;0;0;1
"270470 Marechal Deodoro";0;1;3;3;3;0;0;0;0;10
"270480 Maribondo";0;0;1;0;0;0;0;0;0;1
"270510 Matriz de Camaragibe";0;0;0;1;0;1;0;0;0;2
"270520 Messias";0;0;0;0;1;1;0;0;0;2
"270550 Murici";0;0;1;3;0;1;0;0;0;5
"270570 Olho d'Água das Flores";0;0;1;0;0;0;0;0;0;1
"270580 Olho d'Água do Casado";0;0;1;1;0;0;0;0;0;2
"270600 Olivença";0;0;0;0;0;1;0;0;0;1
"270630 Palmeira dos Índios";0;0;1;1;1;0;1;0;0;4
"270640 Pão de Açúcar";0;0;0;1;0;0;0;0;0;1
"270650 Passo de Camaragibe";0;0;0;0;0;1;0;0;0;1
"270670 Penedo";0;1;0;2;2;0;0;1;0;6
"270680 Piaçabuçu";0;0;2;0;0;0;0;0;0;2
"270690 Pilar";0;0;0;1;1;0;1;0;0;3
"270710 Piranhas";0;0;0;1;0;0;0;0;0;1
"270730 Porto Calvo";0;0;1;2;0;0;0;0;0;3
"270750 Porto Real do Colégio";0;0;0;2;1;0;0;0;0;3
"270770 Rio Largo";0;0;0;3;2;2;1;0;0;8
"270800 Santana do Ipanema";0;0;2;0;0;2;0;0;0;4
"270830 São José da Laje";0;0;2;0;1;0;0;0;0;3
"270840 São José da Tapera";0;0;0;1;0;0;0;0;0;1
"270850 São Luís do Quitunde";0;0;1;1;0;0;0;0;0;2
"270860 São Miguel dos Campos";0;0;1;2;2;2;1;0;0;8
"270870 São Miguel dos Milagres";0;0;0;0;0;1;0;0;0;1
"270880 São Sebastião";0;0;0;1;0;0;0;0;0;1
"270890 Satuba";0;0;1;1;0;2;0;0;0;4
"270910 Taquarana";0;0;0;0;0;1;0;0;0;1
"270915 Teotônio Vilela";0;0;1;1;3;1;0;1;0;7
"270920 Traipu";0;0;0;0;0;1;0;0;0;1
"270930 União dos Palmares";0;0;3;1;0;1;0;0;0;5
"270940 Viçosa";0;0;1;0;0;0;0;0;0;1
"Total";2;11;131;164;122;70;17;8;1;526
