 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2021
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Período:2021
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"270020 Anadia";0;0;0;1;0;0;0;0;0;1
"270030 Arapiraca";0;1;1;1;1;1;6;0;2;13
"270040 Atalaia";2;0;0;0;0;1;0;0;0;3
"270050 Barra de Santo Antônio";0;0;0;0;0;0;0;0;1;1
"270110 Branquinha";0;1;0;0;0;0;0;0;0;1
"270130 Cajueiro";0;1;0;0;0;0;0;0;0;1
"270140 Campo Alegre";1;0;0;0;0;0;4;0;0;5
"270210 Colônia Leopoldina";0;2;0;0;0;0;0;0;1;3
"270220 Coqueiro Seco";0;0;0;0;1;0;0;1;0;2
"270230 Coruripe";0;0;0;1;0;0;1;0;0;2
"270235 Craíbas";0;0;0;1;0;0;0;0;0;1
"270240 Delmiro Gouveia";0;1;1;1;0;0;0;0;0;3
"270260 Feira Grande";1;0;1;0;1;0;0;0;0;3
"270270 Feliz Deserto";0;0;0;0;0;0;0;1;0;1
"270280 Flexeiras";0;0;0;1;1;0;0;0;0;2
"270290 Girau do Ponciano";0;0;0;1;0;0;0;0;0;1
"270300 Ibateguara";0;0;0;1;0;0;1;0;0;2
"270320 Igreja Nova";0;0;0;1;0;0;0;0;0;1
"270380 Joaquim Gomes";0;0;0;1;0;0;0;0;0;1
"270390 Jundiá";0;0;1;0;0;0;0;0;0;1
"270410 Lagoa da Canoa";0;0;0;0;0;0;1;0;0;1
"270430 Maceió";31;34;18;43;22;33;72;27;29;309
"270450 Maragogi";1;1;0;1;0;0;1;0;0;4
"270470 Marechal Deodoro";0;1;0;0;1;4;2;0;0;8
"270480 Maribondo";0;0;0;0;0;0;0;0;1;1
"270520 Messias";1;0;0;0;0;0;0;0;0;1
"270550 Murici";0;0;0;0;0;0;1;0;0;1
"270570 Olho d'Água das Flores";0;1;0;0;0;0;0;0;0;1
"270600 Olivença";0;0;0;1;0;0;0;0;0;1
"270610 Ouro Branco";1;1;0;0;0;1;0;0;0;3
"270630 Palmeira dos Índios";1;1;0;0;0;1;0;0;0;3
"270644 Paripueira";0;0;1;1;0;0;3;0;0;5
"270650 Passo de Camaragibe";0;0;1;0;0;0;0;0;0;1
"270670 Penedo";0;1;2;0;0;1;2;0;1;7
"270680 Piaçabuçu";0;0;2;1;0;0;0;0;0;3
"270690 Pilar";0;1;0;0;0;1;0;1;0;3
"270710 Piranhas";0;2;0;0;0;0;0;0;0;2
"270730 Porto Calvo";0;0;0;0;0;1;0;0;0;1
"270740 Porto de Pedras";1;0;0;0;0;0;0;0;0;1
"270760 Quebrangulo";0;0;0;0;0;0;1;0;0;1
"270770 Rio Largo";0;0;0;2;0;1;1;0;0;4
"270790 Santa Luzia do Norte";0;0;0;0;0;0;1;0;0;1
"270800 Santana do Ipanema";0;0;1;0;0;0;1;0;1;3
"270810 Santana do Mundaú";0;0;0;0;0;0;0;1;0;1
"270820 São Brás";0;0;0;0;0;0;1;0;0;1
"270850 São Luís do Quitunde";3;1;0;0;0;1;0;0;1;6
"270860 São Miguel dos Campos";0;1;0;3;1;0;0;0;1;6
"270870 São Miguel dos Milagres";0;0;0;0;0;2;0;0;0;2
"270880 São Sebastião";0;1;0;1;0;0;1;0;0;3
"270890 Satuba";0;0;0;2;0;0;0;0;0;2
"270910 Taquarana";1;1;0;1;0;0;0;0;0;3
"270915 Teotônio Vilela";1;1;1;0;1;0;0;0;0;4
"270920 Traipu";0;0;1;0;0;0;0;0;0;1
"270930 União dos Palmares";0;2;0;1;1;0;2;0;0;6
"270940 Viçosa";0;0;0;1;0;0;1;0;0;2
"Total";45;56;31;68;30;48;103;31;38;450
