 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2021
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Período:2021
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"270020 Anadia";0;0;0;0;0;0;1;0;0;0;1
"270030 Arapiraca";0;0;0;5;7;1;2;0;0;0;15
"270040 Atalaia";0;0;0;2;0;2;1;0;0;0;5
"270050 Barra de Santo Antônio";0;0;0;0;2;0;0;0;0;0;2
"270110 Branquinha";0;0;0;0;0;1;0;0;0;0;1
"270130 Cajueiro";0;0;0;0;0;1;0;0;0;0;1
"270140 Campo Alegre";0;0;0;1;3;0;0;1;0;0;5
"270210 Colônia Leopoldina";0;0;0;2;1;1;0;0;0;0;4
"270220 Coqueiro Seco";0;0;0;1;1;0;0;0;0;0;2
"270230 Coruripe";0;0;0;0;2;2;1;0;0;0;5
"270235 Craíbas";0;0;0;1;0;2;0;0;0;0;3
"270240 Delmiro Gouveia";0;0;2;0;0;0;0;1;0;0;3
"270260 Feira Grande";0;0;0;1;0;1;1;0;0;0;3
"270270 Feliz Deserto";0;0;0;1;0;0;0;0;0;0;1
"270280 Flexeiras";0;0;0;0;1;1;1;0;0;0;3
"270290 Girau do Ponciano";0;0;0;0;1;0;0;0;0;0;1
"270300 Ibateguara";0;0;0;0;1;0;1;0;0;0;2
"270320 Igreja Nova";0;0;0;1;0;0;0;0;0;0;1
"270380 Joaquim Gomes";0;0;0;0;0;1;0;0;0;0;1
"270390 Jundiá";0;0;0;0;0;0;1;0;0;0;1
"270400 Junqueiro";0;0;0;1;0;0;0;0;0;0;1
"270410 Lagoa da Canoa";0;0;0;1;1;0;0;0;0;0;2
"270430 Maceió";3;2;8;114;111;92;47;20;8;1;406
"270450 Maragogi";0;0;0;1;1;1;1;0;0;0;4
"270470 Marechal Deodoro";0;0;0;5;2;2;2;0;0;0;11
"270480 Maribondo";0;0;0;0;0;0;1;0;0;0;1
"270520 Messias";0;0;0;0;1;0;0;0;0;0;1
"270550 Murici";0;0;0;0;1;0;1;1;0;0;3
"270570 Olho d'Água das Flores";0;0;0;0;0;0;1;0;1;0;2
"270580 Olho d'Água do Casado";0;0;0;0;0;1;0;0;0;0;1
"270600 Olivença";0;0;0;0;2;0;0;0;0;0;2
"270610 Ouro Branco";0;0;0;1;0;1;1;0;0;0;3
"270630 Palmeira dos Índios";0;0;0;0;2;1;3;0;0;0;6
"270644 Paripueira";0;0;0;4;0;1;0;0;0;0;5
"270650 Passo de Camaragibe";0;0;0;0;1;1;0;0;0;0;2
"270670 Penedo";0;0;0;2;3;3;3;0;0;0;11
"270680 Piaçabuçu";0;0;0;1;0;2;0;0;0;0;3
"270690 Pilar";0;0;0;2;1;1;0;0;0;0;4
"270710 Piranhas";0;0;0;0;2;1;1;0;0;0;4
"270730 Porto Calvo";0;0;0;1;0;0;0;0;0;0;1
"270740 Porto de Pedras";0;0;0;0;1;1;0;0;0;0;2
"270760 Quebrangulo";0;0;0;1;0;0;0;0;0;0;1
"270770 Rio Largo";0;0;1;0;2;1;2;0;0;0;6
"270790 Santa Luzia do Norte";0;0;0;0;1;0;0;0;0;0;1
"270800 Santana do Ipanema";0;0;0;1;1;1;0;0;0;0;3
"270810 Santana do Mundaú";0;0;0;0;2;0;0;0;0;0;2
"270820 São Brás";0;0;0;1;0;0;0;0;0;0;1
"270840 São José da Tapera";0;0;0;0;1;0;0;0;0;0;1
"270850 São Luís do Quitunde";0;0;1;0;1;2;2;1;0;0;7
"270860 São Miguel dos Campos";0;0;0;0;3;5;1;0;0;0;9
"270870 São Miguel dos Milagres";0;0;0;0;1;1;0;0;0;0;2
"270880 São Sebastião";0;0;0;2;0;1;1;0;0;0;4
"270890 Satuba";0;0;0;1;2;0;1;0;0;0;4
"270895 Senador Rui Palmeira";0;0;0;0;0;1;0;0;0;0;1
"270910 Taquarana";0;0;0;0;0;1;2;0;0;0;3
"270915 Teotônio Vilela";0;0;0;0;1;2;1;0;1;0;5
"270920 Traipu";0;0;0;0;1;0;0;0;0;0;1
"270930 União dos Palmares";0;0;0;2;2;1;1;0;0;0;6
"270940 Viçosa";0;0;0;0;0;2;0;0;0;0;2
"Total";3;2;12;156;166;139;81;24;10;1;594
