 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2024
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"2024";"Total"
"270010 Água Branca";1;1
"270030 Arapiraca";43;43
"270040 Atalaia";7;7
"270050 Barra de Santo Antônio";3;3
"270100 Boca da Mata";1;1
"270140 Campo Alegre";4;4
"270160 Canapi";1;1
"270220 Coqueiro Seco";1;1
"270230 Coruripe";4;4
"270240 Delmiro Gouveia";6;6
"270255 Estrela de Alagoas";1;1
"270280 Flexeiras";1;1
"270290 Girau do Ponciano";1;1
"270320 Igreja Nova";2;2
"270330 Inhapi";1;1
"270400 Junqueiro";1;1
"270410 Lagoa da Canoa";1;1
"270420 Limoeiro de Anadia";1;1
"270430 Maceió";418;418
"270440 Major Isidoro";1;1
"270450 Maragogi";2;2
"270470 Marechal Deodoro";5;5
"270480 Maribondo";1;1
"270550 Murici";1;1
"270570 Olho d'Água das Flores";1;1
"270580 Olho d'Água do Casado";3;3
"270630 Palmeira dos Índios";10;10
"270644 Paripueira";3;3
"270650 Passo de Camaragibe";1;1
"270670 Penedo";4;4
"270680 Piaçabuçu";2;2
"270690 Pilar";8;8
"270710 Piranhas";1;1
"270730 Porto Calvo";4;4
"270740 Porto de Pedras";1;1
"270760 Quebrangulo";1;1
"270770 Rio Largo";11;11
"270790 Santa Luzia do Norte";2;2
"270810 Santana do Mundaú";2;2
"270830 São José da Laje";1;1
"270840 São José da Tapera";1;1
"270850 São Luís do Quitunde";2;2
"270860 São Miguel dos Campos";9;9
"270890 Satuba";4;4
"270900 Tanque d'Arca";1;1
"270910 Taquarana";1;1
"270920 Traipu";2;2
"270930 União dos Palmares";25;25
"270940 Viçosa";1;1
"Total";609;609
