 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2024
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"270030 Arapiraca";3;8;4;4;4;3;5;2;5;38
"270040 Atalaia";0;1;1;0;1;1;1;0;0;5
"270050 Barra de Santo Antônio";0;0;1;0;0;1;0;0;0;2
"270140 Campo Alegre";0;1;1;1;0;1;0;0;0;4
"270160 Canapi";0;0;0;0;1;0;0;0;0;1
"270220 Coqueiro Seco";0;0;0;0;0;0;1;0;0;1
"270230 Coruripe";0;1;0;0;0;0;0;0;0;1
"270240 Delmiro Gouveia";0;1;1;0;1;0;3;0;0;6
"270290 Girau do Ponciano";0;1;0;0;0;0;0;0;0;1
"270320 Igreja Nova";0;0;0;0;0;2;0;0;0;2
"270400 Junqueiro";0;0;0;1;0;0;0;0;0;1
"270410 Lagoa da Canoa";0;1;0;0;0;0;0;0;0;1
"270420 Limoeiro de Anadia";0;0;1;0;0;0;0;0;0;1
"270430 Maceió";24;39;14;50;11;31;91;21;38;319
"270450 Maragogi";0;0;0;1;0;1;0;0;0;2
"270470 Marechal Deodoro";0;1;0;2;0;1;0;0;0;4
"270480 Maribondo";0;0;0;0;0;0;1;0;0;1
"270550 Murici";1;0;0;0;0;0;0;0;0;1
"270570 Olho d'Água das Flores";0;0;0;0;0;0;0;0;1;1
"270580 Olho d'Água do Casado";0;0;0;2;0;0;1;0;0;3
"270630 Palmeira dos Índios";1;1;0;4;0;0;0;0;1;7
"270644 Paripueira";1;0;0;1;0;0;0;0;0;2
"270670 Penedo";0;0;0;0;0;0;2;0;1;3
"270680 Piaçabuçu";0;0;0;0;0;0;0;0;1;1
"270690 Pilar";0;1;2;2;0;0;2;0;0;7
"270730 Porto Calvo";0;0;0;1;0;0;1;0;0;2
"270770 Rio Largo";0;1;1;1;0;1;5;1;0;10
"270790 Santa Luzia do Norte";0;0;0;0;0;0;1;0;0;1
"270810 Santana do Mundaú";0;0;0;0;0;1;1;0;0;2
"270830 São José da Laje";1;0;0;0;0;0;0;0;0;1
"270840 São José da Tapera";0;0;0;1;0;0;0;0;0;1
"270850 São Luís do Quitunde";0;1;0;0;0;0;0;0;0;1
"270860 São Miguel dos Campos";0;2;1;1;0;0;2;0;0;6
"270890 Satuba";0;0;1;1;0;0;0;1;1;4
"270900 Tanque d'Arca";0;0;0;0;0;0;1;0;0;1
"270920 Traipu";1;0;0;0;1;0;0;0;0;2
"270930 União dos Palmares";7;3;0;3;2;2;0;0;0;17
"Total";39;63;28;76;21;45;118;25;48;463
