 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2024
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"270010 Água Branca";0;0;0;0;0;1;0;0;0;0;1
"270030 Arapiraca";0;0;0;0;9;15;13;3;2;1;43
"270040 Atalaia";0;0;0;0;3;1;1;1;0;1;7
"270050 Barra de Santo Antônio";0;0;0;0;1;1;0;1;0;0;3
"270100 Boca da Mata";0;0;0;0;0;0;0;0;1;0;1
"270140 Campo Alegre";0;0;0;0;1;1;1;1;0;0;4
"270160 Canapi";0;0;0;0;1;0;0;0;0;0;1
"270220 Coqueiro Seco";0;0;0;0;0;0;1;0;0;0;1
"270230 Coruripe";0;0;0;0;1;0;2;1;0;0;4
"270240 Delmiro Gouveia";0;0;0;1;2;2;0;0;0;1;6
"270255 Estrela de Alagoas";0;0;0;0;0;1;0;0;0;0;1
"270280 Flexeiras";0;0;0;0;0;0;0;1;0;0;1
"270290 Girau do Ponciano";0;0;0;0;0;1;0;0;0;0;1
"270320 Igreja Nova";0;0;0;0;0;2;0;0;0;0;2
"270330 Inhapi";0;0;0;0;1;0;0;0;0;0;1
"270400 Junqueiro";0;0;0;0;0;0;1;0;0;0;1
"270410 Lagoa da Canoa";0;0;0;0;0;0;0;1;0;0;1
"270420 Limoeiro de Anadia";0;0;0;0;0;0;1;0;0;0;1
"270430 Maceió";0;1;3;6;114;107;102;56;25;4;418
"270440 Major Isidoro";0;0;0;0;0;1;0;0;0;0;1
"270450 Maragogi";0;0;0;0;0;0;0;1;1;0;2
"270470 Marechal Deodoro";0;0;0;0;0;1;1;3;0;0;5
"270480 Maribondo";0;0;0;0;0;1;0;0;0;0;1
"270550 Murici";0;0;0;0;0;0;1;0;0;0;1
"270570 Olho d'Água das Flores";0;0;0;0;1;0;0;0;0;0;1
"270580 Olho d'Água do Casado";0;0;0;0;1;1;1;0;0;0;3
"270630 Palmeira dos Índios";0;0;0;0;2;3;5;0;0;0;10
"270644 Paripueira";0;0;0;0;0;1;1;0;1;0;3
"270650 Passo de Camaragibe";0;0;0;0;0;0;1;0;0;0;1
"270670 Penedo";0;0;0;0;1;2;1;0;0;0;4
"270680 Piaçabuçu";0;0;0;0;0;0;1;0;1;0;2
"270690 Pilar";0;0;0;0;2;2;2;1;1;0;8
"270710 Piranhas";0;0;0;0;0;1;0;0;0;0;1
"270730 Porto Calvo";1;0;0;0;0;1;0;1;1;0;4
"270740 Porto de Pedras";0;0;0;0;0;0;0;1;0;0;1
"270760 Quebrangulo";0;0;0;0;0;0;1;0;0;0;1
"270770 Rio Largo";0;0;0;0;3;1;3;3;1;0;11
"270790 Santa Luzia do Norte";0;0;0;0;2;0;0;0;0;0;2
"270810 Santana do Mundaú";0;0;0;0;1;1;0;0;0;0;2
"270830 São José da Laje";0;0;0;0;0;1;0;0;0;0;1
"270840 São José da Tapera";0;0;0;0;0;1;0;0;0;0;1
"270850 São Luís do Quitunde";0;0;0;0;0;1;1;0;0;0;2
"270860 São Miguel dos Campos";0;0;0;0;2;3;3;1;0;0;9
"270890 Satuba";0;0;0;0;0;1;2;0;1;0;4
"270900 Tanque d'Arca";0;0;0;0;0;0;1;0;0;0;1
"270910 Taquarana";0;0;0;0;0;0;0;1;0;0;1
"270920 Traipu";0;0;0;0;0;1;0;1;0;0;2
"270930 União dos Palmares";0;0;0;1;1;5;8;2;6;2;25
"270940 Viçosa";0;0;0;0;0;0;0;0;0;1;1
"Total";1;1;3;8;149;161;155;80;41;10;609
