 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"Masculino";"Feminino";"Total"
"270010 Água Branca";1;0;1
"270030 Arapiraca";28;15;43
"270040 Atalaia";5;2;7
"270050 Barra de Santo Antônio";3;0;3
"270100 Boca da Mata";1;0;1
"270140 Campo Alegre";2;2;4
"270160 Canapi";1;0;1
"270220 Coqueiro Seco";1;0;1
"270230 Coruripe";2;2;4
"270240 Delmiro Gouveia";2;4;6
"270255 Estrela de Alagoas";1;0;1
"270280 Flexeiras";0;1;1
"270290 Girau do Ponciano";1;0;1
"270320 Igreja Nova";2;0;2
"270330 Inhapi";1;0;1
"270400 Junqueiro";0;1;1
"270410 Lagoa da Canoa";0;1;1
"270420 Limoeiro de Anadia";0;1;1
"270430 Maceió";295;123;418
"270440 Major Isidoro";1;0;1
"270450 Maragogi";2;0;2
"270470 Marechal Deodoro";2;3;5
"270480 Maribondo";1;0;1
"270550 Murici";1;0;1
"270570 Olho d'Água das Flores";1;0;1
"270580 Olho d'Água do Casado";1;2;3
"270630 Palmeira dos Índios";8;2;10
"270644 Paripueira";2;1;3
"270650 Passo de Camaragibe";1;0;1
"270670 Penedo";2;2;4
"270680 Piaçabuçu";1;1;2
"270690 Pilar";6;2;8
"270710 Piranhas";1;0;1
"270730 Porto Calvo";2;2;4
"270740 Porto de Pedras";1;0;1
"270760 Quebrangulo";1;0;1
"270770 Rio Largo";3;8;11
"270790 Santa Luzia do Norte";2;0;2
"270810 Santana do Mundaú";2;0;2
"270830 São José da Laje";0;1;1
"270840 São José da Tapera";1;0;1
"270850 São Luís do Quitunde";2;0;2
"270860 São Miguel dos Campos";7;2;9
"270890 Satuba";2;2;4
"270900 Tanque d'Arca";1;0;1
"270910 Taquarana";1;0;1
"270920 Traipu";2;0;2
"270930 União dos Palmares";17;8;25
"270940 Viçosa";1;0;1
"Total";421;188;609
