 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2025
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"270030 Arapiraca";0;0;0;0;1;9;6;2;3;3;0;1;25
"270050 Barra de Santo Antônio";0;0;0;0;0;0;0;1;0;0;0;0;1
"270080 Belém";0;0;0;0;0;1;0;0;1;0;0;0;2
"270100 Boca da Mata";0;0;0;0;0;0;1;0;0;0;0;0;1
"270130 Cajueiro";0;0;0;0;0;0;1;0;0;0;0;0;1
"270190 Chã Preta";0;0;0;0;0;0;1;0;0;0;0;0;1
"270230 Coruripe";0;0;0;0;2;2;1;1;0;0;1;0;7
"270250 Dois Riachos";0;0;0;0;0;0;0;1;0;0;0;0;1
"270260 Feira Grande";0;0;0;0;1;0;0;0;0;0;0;0;1
"270300 Ibateguara";0;0;0;0;0;0;0;0;0;1;0;0;1
"270310 Igaci";0;0;0;0;0;0;0;0;1;0;0;0;1
"270360 Japaratinga";0;0;0;0;0;1;0;0;0;0;0;0;1
"270410 Lagoa da Canoa";0;0;0;0;0;0;1;0;0;0;0;0;1
"270430 Maceió";1;1;1;2;7;82;85;70;40;24;3;1;317
"270450 Maragogi";0;0;0;0;0;1;0;0;0;0;0;0;1
"270470 Marechal Deodoro";0;0;0;0;0;1;0;2;0;0;0;0;3
"270510 Matriz de Camaragibe";0;0;0;0;0;1;0;0;0;0;0;0;1
"270520 Messias";0;0;0;0;0;0;1;0;0;0;0;0;1
"270600 Olivença";0;0;0;0;1;0;0;0;0;0;0;0;1
"270630 Palmeira dos Índios";0;0;0;0;0;3;2;2;1;0;0;0;8
"270640 Pão de Açúcar";0;0;0;0;0;0;1;0;0;0;0;0;1
"270644 Paripueira";0;0;0;0;0;0;0;1;0;0;0;0;1
"270650 Passo de Camaragibe";0;0;0;0;1;1;0;0;0;0;0;0;2
"270670 Penedo";0;0;0;0;0;0;1;0;1;1;0;0;3
"270680 Piaçabuçu";0;0;0;0;0;1;1;0;0;0;0;0;2
"270720 Poço das Trincheiras";0;0;0;0;0;0;0;1;0;0;0;0;1
"270730 Porto Calvo";0;0;0;0;0;2;2;1;1;0;0;0;6
"270750 Porto Real do Colégio";0;0;0;0;0;0;0;0;0;1;0;0;1
"270760 Quebrangulo";0;0;0;0;0;0;2;0;0;0;0;0;2
"270770 Rio Largo";0;0;0;0;0;1;1;1;0;0;0;0;3
"270860 São Miguel dos Campos";0;0;0;0;0;2;3;3;0;0;0;0;8
"270870 São Miguel dos Milagres";0;0;0;0;0;0;0;0;1;0;0;0;1
"270890 Satuba";0;0;0;0;0;3;0;0;0;0;0;0;3
"270915 Teotônio Vilela";0;0;0;0;0;0;2;0;0;1;0;0;3
"270930 União dos Palmares";0;0;0;0;1;2;6;5;4;2;0;0;20
"Total";1;1;1;2;14;113;118;91;53;33;4;2;433
