 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"270030 Arapiraca";9;1;0;15;0;25
"270050 Barra de Santo Antônio";0;0;0;1;0;1
"270080 Belém";1;0;0;1;0;2
"270100 Boca da Mata";0;0;0;1;0;1
"270130 Cajueiro";0;0;0;1;0;1
"270190 Chã Preta";0;0;0;1;0;1
"270230 Coruripe";6;0;0;1;0;7
"270250 Dois Riachos";0;1;0;0;0;1
"270260 Feira Grande";0;0;0;1;0;1
"270300 Ibateguara";0;0;0;1;0;1
"270310 Igaci";1;0;0;0;0;1
"270360 Japaratinga";0;0;0;1;0;1
"270410 Lagoa da Canoa";0;0;0;1;0;1
"270430 Maceió";60;21;3;226;7;317
"270450 Maragogi";0;0;0;1;0;1
"270470 Marechal Deodoro";0;1;0;2;0;3
"270510 Matriz de Camaragibe";0;0;0;1;0;1
"270520 Messias";0;0;0;1;0;1
"270600 Olivença";0;0;0;1;0;1
"270630 Palmeira dos Índios";3;0;1;4;0;8
"270640 Pão de Açúcar";0;0;0;1;0;1
"270644 Paripueira";0;0;0;1;0;1
"270650 Passo de Camaragibe";0;0;0;2;0;2
"270670 Penedo";0;0;0;3;0;3
"270680 Piaçabuçu";1;0;0;1;0;2
"270720 Poço das Trincheiras";0;0;0;1;0;1
"270730 Porto Calvo";1;0;0;5;0;6
"270750 Porto Real do Colégio";0;0;0;1;0;1
"270760 Quebrangulo";1;0;0;1;0;2
"270770 Rio Largo";0;0;0;3;0;3
"270860 São Miguel dos Campos";0;0;0;8;0;8
"270870 São Miguel dos Milagres";0;0;0;1;0;1
"270890 Satuba";1;0;0;2;0;3
"270915 Teotônio Vilela";0;0;0;3;0;3
"270930 União dos Palmares";3;0;1;15;1;20
"Total";87;24;5;309;8;433
