 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
UF Residência: Alagoas
Região Res.: Região Nordeste
UF Notificação: Alagoas
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"270030 Arapiraca";18;7;0;25
"270050 Barra de Santo Antônio";1;0;0;1
"270080 Belém";0;2;0;2
"270100 Boca da Mata";1;0;0;1
"270130 Cajueiro";1;0;0;1
"270190 Chã Preta";1;0;0;1
"270230 Coruripe";5;2;0;7
"270250 Dois Riachos";0;1;0;1
"270260 Feira Grande";0;1;0;1
"270300 Ibateguara";1;0;0;1
"270310 Igaci";1;0;0;1
"270360 Japaratinga";1;0;0;1
"270410 Lagoa da Canoa";1;0;0;1
"270430 Maceió";221;95;1;317
"270450 Maragogi";1;0;0;1
"270470 Marechal Deodoro";3;0;0;3
"270510 Matriz de Camaragibe";1;0;0;1
"270520 Messias";1;0;0;1
"270600 Olivença";1;0;0;1
"270630 Palmeira dos Índios";6;2;0;8
"270640 Pão de Açúcar";1;0;0;1
"270644 Paripueira";0;1;0;1
"270650 Passo de Camaragibe";1;1;0;2
"270670 Penedo";1;2;0;3
"270680 Piaçabuçu";2;0;0;2
"270720 Poço das Trincheiras";0;1;0;1
"270730 Porto Calvo";3;3;0;6
"270750 Porto Real do Colégio";1;0;0;1
"270760 Quebrangulo";2;0;0;2
"270770 Rio Largo";3;0;0;3
"270860 São Miguel dos Campos";6;2;0;8
"270870 São Miguel dos Milagres";1;0;0;1
"270890 Satuba";3;0;0;3
"270915 Teotônio Vilela";3;0;0;3
"270930 União dos Palmares";14;6;0;20
"Total";306;126;1;433
