 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2016
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"290035 Adustina";0;0;0;0;0;0;0;1;0;0;0;0;1
"290060 Aiquara";0;0;0;0;0;0;1;0;0;0;0;0;1
"290070 Alagoinhas";0;0;0;0;0;2;2;5;3;1;0;0;13
"290090 Almadina";0;0;0;0;1;0;0;0;0;0;0;0;1
"290100 Amargosa";0;0;0;0;0;1;0;2;0;0;0;0;3
"290110 Amélia Rodrigues";0;0;0;0;0;0;1;0;2;0;0;0;3
"290115 América Dourada";0;0;0;0;0;1;0;1;0;0;0;0;2
"290140 Angical";0;0;0;0;0;0;0;1;0;0;0;0;1
"290180 Antônio Gonçalves";0;0;0;0;0;0;1;0;0;0;0;0;1
"290195 Apuarema";0;0;0;0;0;0;0;0;1;0;0;0;1
"290210 Araci";0;0;0;0;0;0;1;0;1;0;0;0;2
"290220 Aramari";0;0;0;0;0;0;1;0;0;0;0;0;1
"290225 Arataca";0;0;0;0;0;0;0;1;0;0;0;0;1
"290230 Aratuípe";0;0;0;0;0;0;0;0;1;0;0;0;1
"290240 Aurelino Leal";0;0;0;0;0;0;1;0;1;0;0;0;2
"290320 Barreiras";0;0;0;0;2;14;17;9;4;0;0;0;46
"290330 Barro Preto";0;0;0;0;0;0;0;0;1;0;0;0;1
"290340 Belmonte";0;0;0;0;0;1;1;1;2;1;0;0;6
"290390 Bom Jesus da Lapa";0;0;0;0;0;0;1;0;3;0;0;0;4
"290460 Brumado";0;0;0;0;0;0;1;0;1;0;0;0;2
"290470 Buerarema";0;0;0;0;0;1;0;0;0;0;0;0;1
"290485 Cabaceiras do Paraguaçu";0;0;0;0;0;0;1;0;0;0;0;0;1
"290490 Cachoeira";0;0;0;0;0;0;2;0;0;0;0;0;2
"290520 Caetité";0;0;0;0;0;0;1;1;0;0;0;0;2
"290560 Camacan";0;0;0;0;0;0;1;1;1;0;0;0;3
"290570 Camaçari";0;0;0;0;3;6;18;6;9;4;0;1;47
"290600 Campo Formoso";0;0;0;0;0;0;0;0;1;0;0;0;1
"290630 Canavieiras";0;0;0;0;0;2;0;1;0;0;0;0;3
"290650 Candeias";0;0;0;0;0;3;1;1;1;0;0;0;6
"290680 Cansanção";0;0;0;0;0;0;0;1;0;0;0;0;1
