 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2017
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"290070 Alagoinhas";0;1;1;3;0;5;5;0;1;16
"290100 Amargosa";0;0;0;1;0;0;0;0;0;1
"290110 Amélia Rodrigues";2;1;0;0;1;0;0;0;0;4
"290115 América Dourada";0;0;0;0;0;0;0;1;0;1
"290130 Andaraí";0;0;0;0;1;0;0;0;0;1
"290140 Angical";0;0;0;0;0;1;0;0;0;1
"290190 Aporá";0;0;0;0;0;0;0;0;1;1
"290205 Araças";0;0;0;1;0;0;1;0;0;2
"290210 Araci";0;0;0;0;0;0;0;0;1;1
"290225 Arataca";0;1;0;0;0;0;0;0;0;1
"290230 Aratuípe";0;1;0;0;0;0;0;0;0;1
"290310 Barra do Rocha";1;0;0;0;0;0;0;0;0;1
"290320 Barreiras";5;1;1;8;3;5;4;0;1;28
"290360 Biritinga";0;0;0;1;0;0;0;0;0;1
"290450 Brotas de Macaúbas";0;0;0;1;0;0;0;0;0;1
"290460 Brumado";0;0;0;0;0;1;0;0;1;2
"290490 Cachoeira";0;1;1;0;0;0;0;0;0;2
"290500 Caculé";1;0;0;0;0;0;0;0;0;1
"290540 Cairu";0;0;0;1;0;0;0;0;0;1
"290560 Camacan";1;2;0;0;0;0;0;0;0;3
"290570 Camaçari";2;5;1;4;4;10;7;2;1;36
"290600 Campo Formoso";0;0;0;0;0;3;0;0;0;3
"290650 Candeias";0;0;0;0;1;0;2;0;0;3
"290680 Cansanção";0;1;0;0;0;0;0;0;0;1
"290720 Casa Nova";0;1;0;1;0;0;0;0;0;2
"290730 Castro Alves";0;0;0;1;0;0;0;0;0;1
"290750 Catu";0;1;0;0;0;0;0;0;0;1
"290790 Cipó";0;0;0;0;0;0;1;0;0;1
"290830 Conceição do Almeida";0;0;0;0;0;0;2;0;0;2
"290840 Conceição do Coité";0;1;0;2;1;0;0;0;0;4
"290850 Conceição do Jacuípe";0;0;0;1;1;1;0;0;0;3
"290860 Conde";0;1;0;0;0;1;0;0;0;2
"290890 Coração de Maria";0;1;0;0;0;1;0;0;0;2
"290980 Cruz das Almas";3;1;0;0;0;0;1;1;2;8
"290990 Curaçá";0;0;0;0;0;1;0;0;0;1
"291005 Dias d'Ávila";0;2;1;2;0;2;2;0;0;9
"291060 Esplanada";0;0;0;1;0;0;0;0;0;1
"291072 Eunápolis";6;6;0;8;2;1;5;0;0;28
"291077 Feira da Mata";0;0;0;0;0;0;1;0;0;1
"291080 Feira de Santana";3;5;7;25;2;17;29;9;12;109
"291120 Gandu";0;0;0;1;0;0;0;0;0;1
"291170 Guanambi";1;1;1;0;1;3;1;0;0;8
"291190 Iaçu";0;0;0;1;0;0;0;0;0;1
"291240 Ibipeba";0;1;0;0;0;0;0;0;0;1
"291250 Ibipitanga";0;0;0;0;0;0;1;0;0;1
"291300 Ibitiara";0;0;0;0;0;0;1;0;0;1
