 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"290070 Alagoinhas";2;3;0;13;0;0;18
"290080 Alcobaça";0;0;0;3;0;0;3
"290100 Amargosa";1;1;0;2;0;0;4
"290110 Amélia Rodrigues";0;1;0;0;0;0;1
"290115 América Dourada";0;0;0;1;0;0;1
"290150 Anguera";0;1;0;0;0;0;1
"290170 Antônio Cardoso";0;1;0;0;0;0;1
"290190 Aporá";0;0;0;2;0;0;2
"290195 Apuarema";0;0;0;2;0;0;2
"290200 Aracatu";0;0;0;1;0;0;1
"290210 Araci";0;1;0;1;0;0;2
"290225 Arataca";0;2;0;0;0;0;2
"290320 Barreiras";7;2;2;34;0;0;45
"290327 Barrocas";0;0;0;1;0;0;1
"290340 Belmonte";0;1;0;1;0;0;2
"290360 Biritinga";0;1;0;0;0;0;1
"290370 Boa Nova";0;0;0;1;0;0;1
"290380 Boa Vista do Tupim";0;0;0;1;0;0;1
"290390 Bom Jesus da Lapa";0;2;0;2;0;0;4
"290400 Boninal";0;1;0;0;0;0;1
"290405 Bonito";0;0;0;1;0;0;1
"290410 Boquira";0;0;0;1;0;0;1
"290430 Brejões";0;0;0;1;0;0;1
"290440 Brejolândia";0;0;0;1;0;0;1
"290460 Brumado";0;0;0;1;0;0;1
"290470 Buerarema";1;1;0;0;1;1;4
"290485 Cabaceiras do Paraguaçu";0;1;0;0;0;0;1
"290490 Cachoeira";0;1;0;0;0;0;1
"290540 Cairu";1;0;0;1;0;0;2
"290550 Caldeirão Grande";0;0;0;1;0;0;1
"290560 Camacan";1;0;0;7;0;0;8
"290570 Camaçari";4;7;0;38;0;0;49
"290600 Campo Formoso";0;0;0;2;0;0;2
"290630 Canavieiras";0;0;0;1;0;0;1
"290650 Candeias";0;0;0;3;0;0;3
"290680 Cansanção";0;0;0;1;0;0;1
"290685 Capela do Alto Alegre";0;0;1;0;0;0;1
"290690 Caravelas";0;0;0;1;0;0;1
"290710 Carinhanha";0;0;0;1;0;0;1
"290720 Casa Nova";0;0;0;1;0;0;1
"290790 Cipó";0;0;0;1;0;0;1
"290800 Coaraci";0;0;0;1;0;0;1
"290830 Conceição do Almeida";0;1;0;0;0;0;1
"290840 Conceição do Coité";0;0;0;1;0;0;1
"290850 Conceição do Jacuípe";0;3;0;1;0;0;4
"290860 Conde";0;0;0;2;0;0;2
"290870 Condeúba";0;0;0;1;0;0;1
"290890 Coração de Maria";0;0;0;2;0;0;2
"290930 Correntina";1;0;0;1;0;0;2
"290940 Cotegipe";0;0;0;1;0;0;1
"290960 Crisópolis";0;0;0;2;0;0;2
"290970 Cristópolis";1;0;0;0;0;0;1
"290980 Cruz das Almas";2;2;0;3;0;0;7
"291005 Dias d'Ávila";0;1;0;1;0;0;2
"291050 Entre Rios";0;0;0;1;0;0;1
"291070 Euclides da Cunha";0;0;0;1;0;0;1
"291072 Eunápolis";3;2;0;24;0;0;29
"291075 Fátima";0;0;0;2;0;0;2
"291080 Feira de Santana";15;36;1;89;1;0;142
"291110 Formosa do Rio Preto";0;0;1;3;0;1;5
"291150 Gongogi";1;0;0;1;0;0;2
"291160 Governador Mangabeira";0;0;0;2;0;0;2
"291170 Guanambi";3;1;0;5;0;0;9
"291180 Guaratinga";0;0;0;1;0;0;1
"291290 Ibirataia";0;0;0;0;0;1;1
"291320 Ibotirama";0;0;0;1;0;0;1
"291360 Ilhéus";3;4;0;31;2;8;48
"291390 Ipiaú";2;2;0;2;0;0;6
"291400 Ipirá";0;2;0;3;0;0;5
"291440 Iraquara";0;0;0;1;0;0;1
"291450 Irará";0;1;0;1;0;1;3
"291460 Irecê";1;0;0;11;0;0;12
"291470 Itaberaba";0;3;0;7;0;0;10
"291480 Itabuna";8;9;0;52;0;0;69
"291490 Itacaré";0;2;0;2;0;0;4
"291500 Itaeté";0;0;0;1;0;0;1
"291550 Itajuípe";0;0;0;1;0;0;1
"291560 Itamaraju";1;0;0;11;0;0;12
"291610 Itaparica";0;1;0;1;0;1;3
"291630 Itapebi";0;0;0;1;0;0;1
"291640 Itapetinga";0;1;0;10;0;1;12
"291660 Itapitanga";1;0;0;0;0;0;1
"291730 Ituberá";0;1;0;2;0;0;3
"291740 Jacaraci";1;0;0;0;0;0;1
"291750 Jacobina";1;0;0;8;0;0;9
"291760 Jaguaquara";1;0;0;2;0;0;3
"291770 Jaguarari";0;0;0;2;0;0;2
"291800 Jequié";3;9;0;14;0;0;26
"291840 Juazeiro";5;4;0;32;0;2;43
"291850 Jussara";0;0;0;1;0;0;1
"291860 Jussiape";0;0;0;1;0;0;1
"291875 Lagoa Real";0;0;0;1;0;0;1
"291880 Laje";0;1;0;0;0;0;1
"291915 Lapão";1;0;0;0;0;0;1
"291920 Lauro de Freitas";6;5;0;29;0;2;42
"291955 Luís Eduardo Magalhães";1;1;0;2;0;0;4
"291992 Madre de Deus";0;0;0;2;0;0;2
"292040 Manoel Vitorino";0;0;0;1;0;0;1
"292050 Maracás";0;0;0;1;0;0;1
"292070 Maraú";0;1;0;2;0;0;3
"292090 Mascote";1;0;0;1;0;0;2
"292100 Mata de São João";1;1;0;6;0;0;8
"292110 Medeiros Neto";0;1;0;1;0;0;2
"292130 Milagres";1;0;0;0;0;0;1
"292145 Mirante";0;0;0;1;0;0;1
"292160 Morpará";0;0;0;1;0;0;1
"292170 Morro do Chapéu";0;1;0;1;0;0;2
"292200 Mucuri";1;1;0;5;0;0;7
"292230 Muritiba";0;0;0;1;0;0;1
"292250 Nazaré";0;1;0;1;0;0;2
"292265 Nordestina";0;0;0;1;0;0;1
"292280 Nova Itarana";0;0;0;1;0;0;1
"292300 Nova Viçosa";1;0;1;5;0;0;7
"292305 Novo Triunfo";0;0;0;1;0;0;1
"292310 Olindina";0;0;0;1;0;0;1
"292335 Ourolândia";0;0;0;1;0;0;1
"292350 Palmeiras";0;0;0;1;0;0;1
"292380 Paripiranga";0;0;0;1;0;0;1
"292400 Paulo Afonso";0;0;0;6;0;0;6
"292405 Pé de Serra";0;0;0;1;0;0;1
"292460 Pindobaçu";0;0;0;1;0;0;1
"292467 Piraí do Norte";0;0;0;1;0;0;1
"292480 Piritiba";0;0;0;2;0;0;2
"292510 Poções";0;0;0;2;0;0;2
"292520 Pojuca";0;1;0;1;0;0;2
"292525 Ponto Novo";0;0;0;1;0;0;1
"292530 Porto Seguro";10;9;0;19;4;0;42
"292550 Prado";0;1;0;0;0;0;1
"292590 Quijingue";0;0;0;1;0;0;1
"292595 Rafael Jambeiro";0;1;0;1;0;0;2
"292600 Remanso";0;1;0;1;0;0;2
"292630 Riachão do Jacuípe";0;0;0;1;0;0;1
"292660 Ribeira do Pombal";0;0;0;1;0;0;1
"292700 Rio Real";0;0;0;1;0;0;1
"292740 Salvador";94;191;4;528;2;40;859
"292770 Santa Cruz Cabrália";0;1;0;2;3;0;6
"292790 Santa Inês";0;1;0;1;0;0;2
