 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"290020 Abaré";0;1;1
"290030 Acajutiba";1;0;1
"290035 Adustina";1;0;1
"290060 Aiquara";0;1;1
"290070 Alagoinhas";20;13;33
"290080 Alcobaça";2;0;2
"290100 Amargosa";4;0;4
"290110 Amélia Rodrigues";2;1;3
"290170 Antônio Cardoso";2;0;2
"290180 Antônio Gonçalves";1;0;1
"290240 Aurelino Leal";0;1;1
"290290 Barra do Choça";0;1;1
"290320 Barreiras";31;7;38
"290340 Belmonte";2;1;3
"290390 Bom Jesus da Lapa";4;0;4
"290470 Buerarema";1;1;2
"290485 Cabaceiras do Paraguaçu";0;1;1
"290490 Cachoeira";1;0;1
"290515 Caetanos";0;1;1
"290540 Cairu";1;0;1
"290560 Camacan";1;0;1
"290570 Camaçari";33;20;53
"290580 Camamu";1;0;1
"290590 Campo Alegre de Lourdes";1;0;1
"290600 Campo Formoso";1;1;2
"290650 Candeias";3;1;4
"290690 Caravelas";1;0;1
"290720 Casa Nova";3;1;4
"290750 Catu";4;0;4
"290780 Cícero Dantas";1;0;1
"290790 Cipó";0;1;1
"290840 Conceição do Coité";3;0;3
"290850 Conceição do Jacuípe";1;1;2
"290860 Conde";2;0;2
"290980 Cruz das Almas";6;1;7
"290990 Curaçá";1;1;2
"291000 Dário Meira";1;0;1
"291005 Dias d'Ávila";8;0;8
"291050 Entre Rios";0;1;1
"291070 Euclides da Cunha";2;0;2
"291072 Eunápolis";12;5;17
"291080 Feira de Santana";75;31;106
"291120 Gandu";2;2;4
"291150 Gongogi";1;0;1
"291170 Guanambi";8;2;10
"291180 Guaratinga";2;0;2
"291190 Iaçu";1;1;2
"291210 Ibicaraí";1;0;1
"291270 Ibirapitanga";1;0;1
"291280 Ibirapuã";1;0;1
"291330 Ichu";1;0;1
"291360 Ilhéus";21;12;33
"291370 Inhambupe";0;1;1
"291380 Ipecaetá";1;0;1
"291390 Ipiaú";1;2;3
"291400 Ipirá";2;1;3
"291450 Irará";1;0;1
"291460 Irecê";8;4;12
"291465 Itabela";4;3;7
"291470 Itaberaba";7;5;12
"291480 Itabuna";35;12;47
"291500 Itaeté";1;0;1
"291510 Itagi";1;0;1
"291550 Itajuípe";1;0;1
"291560 Itamaraju";2;5;7
"291610 Itaparica";0;2;2
"291620 Itapé";0;1;1
"291630 Itapebi";0;1;1
"291640 Itapetinga";7;0;7
"291650 Itapicuru";2;0;2
"291680 Itarantim";1;0;1
"291690 Itiruçu";1;0;1
"291750 Jacobina";4;2;6
"291760 Jaguaquara";2;0;2
"291800 Jequié";12;7;19
"291840 Juazeiro";28;7;35
"291910 Lamarão";1;0;1
"291915 Lapão";1;0;1
"291920 Lauro de Freitas";30;10;40
"291955 Luís Eduardo Magalhães";8;1;9
"291992 Madre de Deus";1;0;1
"292045 Mansidão";0;1;1
"292060 Maragogipe";1;0;1
"292100 Mata de São João";3;1;4
"292170 Morro do Chapéu";1;0;1
"292200 Mucuri";6;0;6
"292230 Muritiba";1;0;1
"292240 Mutuípe";0;1;1
"292250 Nazaré";1;2;3
"292273 Nova Fátima";1;0;1
"292290 Nova Soure";1;0;1
"292300 Nova Viçosa";1;1;2
"292303 Novo Horizonte";1;0;1
"292310 Olindina";1;0;1
"292380 Paripiranga";1;0;1
"292400 Paulo Afonso";6;2;8
"292405 Pé de Serra";0;2;2
"292410 Pedrão";1;0;1
"292420 Pedro Alexandre";1;0;1
"292480 Piritiba";1;0;1
