 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2021
UF Residência: Bahia
Região Res.: Região Nordeste
Período:2021
"Município (Res)";"2021";"Total"
"290070 Alagoinhas";14;14
"290080 Alcobaça";1;1
"290100 Amargosa";4;4
"290115 América Dourada";1;1
"290170 Antônio Cardoso";1;1
"290180 Antônio Gonçalves";1;1
"290190 Aporá";1;1
"290205 Araças";1;1
"290210 Araci";5;5
"290240 Aurelino Leal";1;1
"290270 Barra";1;1
"290300 Barra do Mendes";1;1
"290320 Barreiras";34;34
"290323 Barro Alto";1;1
"290327 Barrocas";1;1
"290340 Belmonte";2;2
"290390 Bom Jesus da Lapa";5;5
"290470 Buerarema";4;4
"290490 Cachoeira";2;2
"290520 Caetité";1;1
"290540 Cairu";1;1
"290560 Camacan";2;2
"290570 Camaçari";67;67
"290580 Camamu";2;2
"290630 Canavieiras";3;3
"290640 Candeal";1;1
"290650 Candeias";8;8
"290687 Capim Grosso";2;2
"290690 Caravelas";2;2
"290700 Cardeal da Silva";1;1
"290720 Casa Nova";1;1
"290750 Catu";4;4
"290780 Cícero Dantas";3;3
"290790 Cipó";1;1
"290800 Coaraci";1;1
"290830 Conceição do Almeida";2;2
"290840 Conceição do Coité";1;1
"290850 Conceição do Jacuípe";6;6
"290860 Conde";4;4
"290920 Coronel João Sá";1;1
"290980 Cruz das Almas";5;5
"290990 Curaçá";1;1
"291005 Dias d'Ávila";7;7
"291040 Encruzilhada";1;1
"291050 Entre Rios";3;3
"291060 Esplanada";1;1
"291070 Euclides da Cunha";2;2
"291072 Eunápolis";25;25
"291080 Feira de Santana";133;133
"291110 Formosa do Rio Preto";1;1
"291120 Gandu";2;2
"291125 Gavião";2;2
"291130 Gentio do Ouro";1;1
"291160 Governador Mangabeira";1;1
"291170 Guanambi";12;12
"291190 Iaçu";3;3
"291210 Ibicaraí";1;1
"291230 Ibicuí";1;1
"291270 Ibirapitanga";2;2
"291290 Ibirataia";1;1
"291320 Ibotirama";1;1
"291330 Ichu";1;1
"291360 Ilhéus";55;55
"291370 Inhambupe";1;1
"291380 Ipecaetá";1;1
"291390 Ipiaú";3;3
"291400 Ipirá";1;1
"291410 Ipupiara";1;1
"291440 Iraquara";2;2
"291460 Irecê";22;22
"291465 Itabela";9;9
"291470 Itaberaba";16;16
"291480 Itabuna";83;83
"291490 Itacaré";4;4
"291520 Itagibá";1;1
"291530 Itagimirim";1;1
"291550 Itajuípe";1;1
"291560 Itamaraju";11;11
"291600 Itanhém";1;1
"291610 Itaparica";4;4
"291620 Itapé";1;1
"291640 Itapetinga";10;10
"291710 Itororó";1;1
"291750 Jacobina";10;10
"291760 Jaguaquara";1;1
"291770 Jaguarari";1;1
"291780 Jaguaripe";1;1
"291800 Jequié";21;21
"291830 Jitaúna";2;2
"291840 Juazeiro";31;31
"291845 Jucuruçu";2;2
"291915 Lapão";1;1
"291920 Lauro de Freitas";41;41
"291930 Lençóis";1;1
"291955 Luís Eduardo Magalhães";22;22
"292000 Maiquinique";1;1
"292060 Maragogipe";2;2
"292090 Mascote";1;1
"292100 Mata de São João";1;1
"292110 Medeiros Neto";3;3
"292170 Morro do Chapéu";1;1
"292190 Mucugê";1;1
"292200 Mucuri";12;12
"292210 Mundo Novo";1;1
"292220 Muniz Ferreira";1;1
"292230 Muritiba";1;1
"292250 Nazaré";1;1
"292275 Nova Ibiá";1;1
"292280 Nova Itarana";1;1
"292300 Nova Viçosa";2;2
"292310 Olindina";1;1
"292320 Oliveira dos Brejinhos";3;3
"292340 Palmas de Monte Alto";1;1
"292350 Palmeiras";1;1
"292400 Paulo Afonso";6;6
"292405 Pé de Serra";1;1
"292460 Pindobaçu";1;1
"292520 Pojuca";6;6
"292530 Porto Seguro";53;53
"292550 Prado";3;3
"292560 Presidente Dutra";1;1
"292575 Presidente Tancredo Neves";3;3
"292593 Quixabeira";3;3
"292595 Rafael Jambeiro";2;2
"292600 Remanso";4;4
"292630 Riachão do Jacuípe";2;2
"292650 Ribeira do Amparo";1;1
"292660 Ribeira do Pombal";3;3
"292700 Rio Real";3;3
"292710 Rodelas";1;1
"292730 Salinas da Margarida";1;1
"292740 Salvador";753;753
"292750 Santa Bárbara";2;2
"292770 Santa Cruz Cabrália";2;2
"292805 Santa Luzia";1;1
"292810 Santa Maria da Vitória";2;2
"292840 Santa Rita de Cássia";1;1
"292830 Santanópolis";1;1
"292860 Santo Amaro";4;4
"292870 Santo Antônio de Jesus";17;17
"292880 Santo Estêvão";3;3
"292920 São Francisco do Conde";2;2
"292930 São Gonçalo dos Campos";2;2
"292935 São José da Vitória";1;1
"292950 São Sebastião do Passé";3;3
"292990 Seabra";2;2
"293010 Senhor do Bonfim";9;9
"293020 Sento Sé";1;1
"293050 Serrinha";27;27
"293060 Serrolândia";1;1
"293070 Simões Filho";18;18
"293077 Sobradinho";2;2
"293120 Taperoá";2;2
"293135 Teixeira de Freitas";81;81
"293150 Teofilândia";1;1
"293190 Tucano";1;1
"293210 Ubaíra";2;2
"293220 Ubaitaba";2;2
"293230 Ubatã";1;1
"293240 Uibaí";1;1
"293250 Una";1;1
"293290 Valença";21;21
"293305 Várzea da Roça";1;1
"293320 Vera Cruz";2;2
"293330 Vitória da Conquista";55;55
"293340 Wagner";1;1
"293345 Wanderley";1;1
"293350 Wenceslau Guimarães";2;2
"293360 Xique-Xique";2;2
"290000 Município ignorado - BA";3;3
"Total";1929;1929
