 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2021
UF Residência: Bahia
Região Res.: Região Nordeste
Período:2021
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"290070 Alagoinhas";0;0;0;3;0;2;4;0;1;10
"290080 Alcobaça";1;0;0;0;0;0;0;0;0;1
"290100 Amargosa";0;1;0;1;0;0;0;0;0;2
"290170 Antônio Cardoso";0;0;0;0;0;0;1;0;0;1
"290180 Antônio Gonçalves";0;0;0;0;0;0;0;0;1;1
"290205 Araças";0;1;0;0;0;0;0;0;0;1
"290210 Araci";0;1;1;2;0;0;0;0;0;4
"290240 Aurelino Leal";1;0;0;0;0;0;0;0;0;1
"290270 Barra";1;0;0;0;0;0;0;0;0;1
"290300 Barra do Mendes";1;0;0;0;0;0;0;0;0;1
"290320 Barreiras";0;3;0;5;0;3;11;3;2;27
"290327 Barrocas";0;0;0;0;0;0;1;0;0;1
"290340 Belmonte";0;0;0;0;0;0;2;0;0;2
"290390 Bom Jesus da Lapa";0;0;0;0;0;0;0;0;1;1
"290470 Buerarema";1;2;0;0;0;0;0;0;0;3
"290490 Cachoeira";0;0;0;0;0;1;0;0;0;1
"290520 Caetité";0;1;0;0;0;0;0;0;0;1
"290540 Cairu";0;1;0;0;0;0;0;0;0;1
"290560 Camacan";0;2;0;0;0;0;0;0;0;2
"290570 Camaçari";2;5;5;9;2;8;19;1;4;55
"290580 Camamu";0;0;0;0;1;0;0;0;0;1
"290630 Canavieiras";1;0;1;0;0;0;0;0;0;2
"290650 Candeias";0;0;0;2;0;0;1;0;0;3
"290687 Capim Grosso";0;1;0;0;0;0;0;0;1;2
"290690 Caravelas";0;0;0;2;0;0;0;0;0;2
"290720 Casa Nova";1;0;0;0;0;0;0;0;0;1
"290750 Catu";0;0;0;0;0;1;1;0;0;2
"290780 Cícero Dantas";0;0;0;0;1;1;0;0;1;3
"290830 Conceição do Almeida";0;0;0;2;0;0;0;0;0;2
"290840 Conceição do Coité";1;0;0;0;0;0;0;0;0;1
"290850 Conceição do Jacuípe";0;0;0;0;0;1;2;1;0;4
"290860 Conde";0;0;0;0;1;1;0;1;0;3
"290920 Coronel João Sá";1;0;0;0;0;0;0;0;0;1
"290980 Cruz das Almas";1;1;0;1;0;0;1;0;1;5
"290990 Curaçá";0;0;0;0;0;0;0;0;1;1
"291005 Dias d'Ávila";0;0;0;1;0;2;1;0;0;4
"291040 Encruzilhada";0;0;0;0;0;1;0;0;0;1
"291050 Entre Rios";0;0;0;0;0;0;1;0;0;1
"291060 Esplanada";0;0;0;1;0;0;0;0;0;1
"291072 Eunápolis";0;4;2;5;0;2;3;1;2;19
"291080 Feira de Santana";7;15;1;18;4;14;28;7;17;111
"291120 Gandu";0;0;0;0;0;1;0;0;0;1
"291125 Gavião";0;0;0;1;0;0;1;0;0;2
"291160 Governador Mangabeira";0;0;0;0;1;0;0;0;0;1
"291170 Guanambi";0;0;0;0;0;2;1;1;0;4
"291190 Iaçu";0;0;0;1;0;0;1;0;0;2
"291210 Ibicaraí";1;0;0;0;0;0;0;0;0;1
"291230 Ibicuí";0;0;0;0;0;0;0;0;1;1
"291270 Ibirapitanga";0;1;0;0;0;0;0;0;0;1
"291320 Ibotirama";0;1;0;0;0;0;0;0;0;1
"291330 Ichu";0;0;0;0;0;1;0;0;0;1
"291360 Ilhéus";6;1;3;7;3;5;4;1;1;31
"291380 Ipecaetá";0;0;0;0;0;0;1;0;0;1
"291390 Ipiaú";1;1;0;0;0;0;1;0;0;3
"291400 Ipirá";1;0;0;0;0;0;0;0;0;1
"291440 Iraquara";0;1;0;0;0;0;0;0;0;1
"291460 Irecê";0;0;0;2;0;3;3;2;1;11
"291465 Itabela";3;1;2;2;0;0;0;0;0;8
"291470 Itaberaba";0;0;1;4;2;4;1;0;3;15
"291480 Itabuna";1;10;3;7;3;7;15;2;3;51
"291490 Itacaré";0;2;0;0;0;0;1;0;0;3
"291520 Itagibá";0;0;0;0;0;1;0;0;0;1
"291530 Itagimirim";1;0;0;0;0;0;0;0;0;1
"291560 Itamaraju";0;1;1;2;0;1;0;0;0;5
"291600 Itanhém";0;1;0;0;0;0;0;0;0;1
"291610 Itaparica";0;0;0;1;0;1;0;0;0;2
"291640 Itapetinga";0;2;0;0;2;1;1;0;0;6
"291750 Jacobina";0;0;0;1;0;0;0;0;1;2
"291780 Jaguaripe";0;0;0;0;0;0;0;0;1;1
"291800 Jequié";0;2;3;8;1;2;1;0;1;18
"291830 Jitaúna";0;1;0;0;0;1;0;0;0;2
"291840 Juazeiro";4;1;4;4;0;1;10;1;2;27
"291845 Jucuruçu";1;1;0;0;0;0;0;0;0;2
"291915 Lapão";0;0;0;1;0;0;0;0;0;1
"291920 Lauro de Freitas";0;0;0;0;0;4;3;0;6;13
"291955 Luís Eduardo Magalhães";0;1;1;1;4;3;5;1;1;17
"292000 Maiquinique";0;0;0;0;0;0;0;0;1;1
"292060 Maragogipe";0;1;0;0;0;1;0;0;0;2
"292100 Mata de São João";0;0;0;0;0;0;0;0;1;1
"292110 Medeiros Neto";0;1;0;0;0;1;0;0;0;2
"292200 Mucuri";0;5;1;1;1;1;0;0;1;10
"292220 Muniz Ferreira";0;0;0;0;0;0;0;1;0;1
"292230 Muritiba";0;0;0;1;0;0;0;0;0;1
"292250 Nazaré";0;0;0;1;0;0;0;0;0;1
"292275 Nova Ibiá";0;1;0;0;0;0;0;0;0;1
"292280 Nova Itarana";0;1;0;0;0;0;0;0;0;1
"292300 Nova Viçosa";1;0;0;0;0;0;0;0;0;1
"292310 Olindina";0;0;0;0;0;1;0;0;0;1
"292320 Oliveira dos Brejinhos";0;1;0;0;0;0;1;0;0;2
"292340 Palmas de Monte Alto";0;1;0;0;0;0;0;0;0;1
"292350 Palmeiras";0;0;1;0;0;0;0;0;0;1
"292400 Paulo Afonso";0;0;0;1;0;1;2;0;2;6
"292405 Pé de Serra";0;0;0;0;0;0;1;0;0;1
"292460 Pindobaçu";1;0;0;0;0;0;0;0;0;1
"292520 Pojuca";0;0;0;2;0;0;0;1;0;3
"292530 Porto Seguro";0;15;0;7;4;5;13;2;2;48
"292550 Prado";0;0;1;0;1;0;0;0;0;2
"292560 Presidente Dutra";0;0;0;0;1;0;0;0;0;1
"292575 Presidente Tancredo Neves";1;1;0;0;0;1;0;0;0;3
"292593 Quixabeira";1;0;0;0;1;0;0;0;0;2
"292595 Rafael Jambeiro";0;1;0;1;0;0;0;0;0;2
"292600 Remanso";0;3;0;0;0;0;0;0;0;3
"292630 Riachão do Jacuípe";0;0;0;0;0;0;2;0;0;2
"292650 Ribeira do Amparo";0;0;0;0;0;0;1;0;0;1
"292660 Ribeira do Pombal";2;1;0;0;0;0;0;0;0;3
"292700 Rio Real";0;0;0;1;0;0;1;0;0;2
"292740 Salvador";8;28;19;53;22;70;135;27;69;431
"292750 Santa Bárbara";0;0;0;1;0;0;1;0;0;2
"292770 Santa Cruz Cabrália";0;1;1;0;0;0;0;0;0;2
"292810 Santa Maria da Vitória";0;1;0;0;0;0;0;0;0;1
"292840 Santa Rita de Cássia";0;0;0;0;0;0;1;0;0;1
"292860 Santo Amaro";0;0;0;0;0;1;1;0;1;3
"292870 Santo Antônio de Jesus";0;2;2;2;1;1;4;0;1;13
"292880 Santo Estêvão";0;0;1;1;0;0;0;0;0;2
"292920 São Francisco do Conde";1;1;0;0;0;0;0;0;0;2
"292930 São Gonçalo dos Campos";0;0;0;0;1;1;0;0;0;2
"292950 São Sebastião do Passé";0;0;0;0;0;0;1;0;0;1
"292990 Seabra";0;1;0;0;0;0;0;0;0;1
"293010 Senhor do Bonfim";0;1;0;2;0;1;0;1;0;5
"293020 Sento Sé";0;0;0;1;0;0;0;0;0;1
"293050 Serrinha";1;3;1;2;2;3;3;0;1;16
"293060 Serrolândia";0;1;0;0;0;0;0;0;0;1
"293070 Simões Filho";1;2;1;4;1;3;3;0;1;16
"293077 Sobradinho";0;0;1;0;0;0;0;0;0;1
"293120 Taperoá";0;0;0;2;0;0;0;0;0;2
"293135 Teixeira de Freitas";3;7;9;20;5;7;4;1;1;57
"293190 Tucano";0;1;0;0;0;0;0;0;0;1
"293210 Ubaíra";0;1;0;0;0;0;0;0;0;1
"293220 Ubaitaba";0;1;0;0;0;0;1;0;0;2
"293230 Ubatã";0;0;0;0;0;0;1;0;0;1
"293240 Uibaí";0;0;0;0;0;0;1;0;0;1
"293250 Una";0;1;0;0;0;0;0;0;0;1
"293290 Valença";0;4;0;3;0;1;2;0;2;12
"293305 Várzea da Roça";0;0;0;0;1;0;0;0;0;1
"293330 Vitória da Conquista";1;4;3;11;7;10;6;0;7;49
"293345 Wanderley";0;0;0;0;0;0;1;0;0;1
"293350 Wenceslau Guimarães";0;1;0;0;0;0;0;0;0;1
"293360 Xique-Xique";0;1;0;1;0;0;0;0;0;2
"Total";59;160;69;212;73;184;311;55;143;1266
