 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2021
Ano Notificação: 2021
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110034 Alvorada D'Oeste";0;1;0;0;0;0;1
"110002 Ariquemes";6;2;0;18;0;0;26
"110045 Buritis";0;0;0;1;0;0;1
"110003 Cabixi";1;0;0;0;0;0;1
"110004 Cacoal";3;0;0;8;0;1;12
"110080 Candeias do Jamari";0;0;0;1;0;0;1
"110005 Cerejeiras";0;0;0;1;0;0;1
"110092 Chupinguaia";0;0;0;1;0;0;1
"110006 Colorado do Oeste";1;0;0;0;0;0;1
"110007 Corumbiara";0;1;0;0;0;0;1
"110008 Costa Marques";0;0;0;1;0;0;1
"110009 Espigão D'Oeste";0;0;0;1;0;0;1
"110100 Governador Jorge Teixeira";0;0;0;1;0;0;1
"110010 Guajará-Mirim";0;0;0;8;0;0;8
"110011 Jaru";1;0;0;0;0;0;1
"110012 Ji-Paraná";8;0;0;31;0;0;39
"110014 Nova Brasilândia D'Oeste";0;1;0;0;0;0;1
"110033 Nova Mamoré";1;0;0;3;0;0;4
"110015 Ouro Preto do Oeste";1;0;0;2;0;0;3
"110018 Pimenta Bueno";0;0;0;1;0;0;1
"110020 Porto Velho";43;7;2;148;1;0;201
"110026 Rio Crespo";0;0;0;1;0;0;1
"110028 Rolim de Moura";3;1;0;6;0;1;11
"110170 Urupá";0;0;0;1;0;0;1
"110175 Vale do Anari";0;0;1;0;0;0;1
"110030 Vilhena";10;3;0;14;0;0;27
"120010 Brasiléia";0;0;0;2;1;0;3
"120020 Cruzeiro do Sul";1;0;0;1;0;0;2
"120038 Plácido de Castro";0;0;0;1;0;0;1
"120040 Rio Branco";17;0;0;82;0;1;100
"120050 Sena Madureira";1;0;0;0;0;0;1
"120045 Senador Guiomard";0;0;0;1;0;0;1
"120060 Tarauacá";0;0;0;1;0;0;1
"130002 Alvarães";0;0;0;0;1;0;1
"130006 Amaturá";0;0;0;0;1;0;1
"130010 Anori";0;0;0;1;0;0;1
"130014 Apuí";0;0;0;1;0;0;1
"130020 Atalaia do Norte";0;0;0;4;1;0;5
"130030 Autazes";0;0;0;3;0;0;3
"130040 Barcelos";0;0;0;1;0;0;1
"130060 Benjamin Constant";0;0;0;5;1;0;6
"130068 Boa Vista do Ramos";0;0;0;1;0;0;1
"130080 Borba";0;0;0;3;1;0;4
"130100 Carauari";0;0;0;1;0;0;1
"130110 Careiro";0;0;0;3;0;0;3
"130115 Careiro da Várzea";0;0;0;1;1;0;2
"130120 Coari";1;0;0;12;0;0;13
"130130 Codajás";0;0;0;1;0;0;1
"130160 Fonte Boa";0;0;0;1;0;0;1
"130170 Humaitá";0;0;0;3;0;0;3
"130185 Iranduba";0;0;0;2;0;0;2
"130190 Itacoatiara";3;1;1;30;0;0;35
"130200 Itapiranga";0;0;0;1;0;0;1
"130240 Lábrea";0;0;0;1;0;0;1
"130250 Manacapuru";1;0;0;4;0;0;5
"130260 Manaus";188;24;6;1294;14;12;1538
"130280 Maraã";0;0;0;1;0;0;1
"130290 Maués";0;0;0;4;0;0;4
"130310 Nova Olinda do Norte";0;0;0;2;0;0;2
"130320 Novo Airão";0;0;0;3;0;0;3
"130340 Parintins";1;0;20;23;2;0;46
"130353 Presidente Figueiredo";0;0;0;2;0;0;2
"130356 Rio Preto da Eva";0;1;0;1;0;0;2
"130370 Santo Antônio do Içá";0;0;0;0;1;0;1
"130380 São Gabriel da Cachoeira";0;0;0;1;1;0;2
"130390 São Paulo de Olivença";1;0;0;0;0;0;1
"130395 São Sebastião do Uatumã";0;0;0;1;0;0;1
"130406 Tabatinga";1;0;0;10;5;0;16
"130410 Tapauá";0;0;0;1;0;0;1
"130420 Tefé";0;0;0;3;0;0;3
"130430 Urucará";0;0;0;1;0;0;1
"130440 Urucurituba";0;0;0;1;0;0;1
"140005 Alto Alegre";0;0;0;1;0;0;1
"140010 Boa Vista";21;6;0;141;8;0;176
"140015 Bonfim";0;0;0;2;0;0;2
"140017 Cantá";0;0;0;1;1;0;2
"140020 Caracaraí";0;0;0;2;0;0;2
"140030 Mucajaí";0;0;0;1;0;0;1
"140040 Normandia";0;0;0;0;1;0;1
"140045 Pacaraima";0;0;0;3;0;0;3
"150010 Abaetetuba";1;2;0;18;0;0;21
"150013 Abel Figueiredo";0;0;0;1;0;0;1
"150020 Acará";0;0;0;2;0;0;2
"150030 Afuá";0;0;0;1;0;0;1
"150034 Água Azul do Norte";0;0;0;1;0;0;1
"150050 Almeirim";1;1;0;0;0;0;2
"150060 Altamira";1;2;0;18;0;0;21
"150070 Anajás";0;0;0;1;0;0;1
"150080 Ananindeua";24;10;0;202;0;1;237
"150085 Anapu";0;1;0;1;0;0;2
"150110 Bagre";0;0;0;1;0;0;1
"150120 Baião";0;0;0;2;0;0;2
"150130 Barcarena";3;1;0;22;0;0;26
"150140 Belém";116;37;9;685;1;7;855
"150150 Benevides";1;2;0;3;0;1;7
"150157 Bom Jesus do Tocantins";0;1;0;1;0;0;2
"150170 Bragança";1;0;0;23;0;1;25
"150172 Brasil Novo";0;0;0;3;0;0;3
"150178 Breu Branco";2;0;0;8;0;0;10
"150180 Breves";0;0;0;12;0;0;12
"150190 Bujaru";1;0;0;5;0;1;7
"150200 Cachoeira do Arari";0;0;0;1;0;0;1
"150195 Cachoeira do Piriá";1;0;0;1;0;0;2
"150210 Cametá";0;3;0;2;0;0;5
"150215 Canaã dos Carajás";1;2;0;18;0;0;21
"150220 Capanema";5;0;1;34;0;0;40
"150230 Capitão Poço";0;0;0;1;0;0;1
"150240 Castanhal";11;3;1;99;0;1;115
"150250 Chaves";0;1;0;0;0;0;1
"150260 Colares";0;0;0;2;0;0;2
"150270 Conceição do Araguaia";0;0;0;1;0;0;1
"150277 Curionópolis";0;0;0;8;0;0;8
"150280 Curralinho";0;0;0;2;0;0;2
"150290 Curuçá";1;0;0;2;0;0;3
"150293 Dom Eliseu";0;0;0;5;0;0;5
"150295 Eldorado dos Carajás";1;0;0;3;0;0;4
"150300 Faro";0;0;0;2;0;0;2
"150304 Floresta do Araguaia";0;0;0;1;0;0;1
"150307 Garrafão do Norte";0;0;0;1;0;0;1
"150309 Goianésia do Pará";0;0;0;2;0;0;2
"150310 Gurupá";0;0;0;2;0;0;2
"150330 Igarapé-Miri";2;0;0;3;0;0;5
"150345 Ipixuna do Pará";1;0;0;2;0;0;3
"150360 Itaituba";4;3;0;13;0;0;20
"150370 Itupiranga";0;0;0;2;0;0;2
"150375 Jacareacanga";0;0;0;2;0;0;2
"150380 Jacundá";0;0;0;2;0;0;2
"150390 Juruti";0;0;0;2;0;0;2
"150405 Mãe do Rio";0;0;0;5;0;0;5
"150420 Marabá";11;3;0;125;0;0;139
"150430 Maracanã";0;0;0;1;0;0;1
"150440 Marapanim";0;0;0;4;0;0;4
"150442 Marituba";6;3;0;26;0;0;35
"150445 Medicilândia";0;0;0;1;0;0;1
"150470 Moju";0;0;0;7;0;0;7
"150480 Monte Alegre";1;0;0;1;0;0;2
"150490 Muaná";1;0;0;1;0;0;2
"150495 Nova Esperança do Piriá";0;0;0;1;0;0;1
"150497 Nova Ipixuna";0;0;0;2;0;0;2
"150503 Novo Progresso";0;1;0;2;0;0;3
"150506 Novo Repartimento";0;0;0;7;0;0;7
"150520 Oeiras do Pará";0;0;0;2;0;0;2
"150530 Oriximiná";0;0;0;6;0;0;6
"150540 Ourém";0;0;0;2;0;0;2
"150548 Pacajá";0;1;0;2;0;0;3
"150550 Paragominas";3;2;0;23;0;0;28
"150553 Parauapebas";13;6;0;60;0;0;79
"150560 Peixe-Boi";0;0;0;1;0;0;1
"150563 Piçarra";0;0;0;1;0;0;1
"150565 Placas";0;1;0;0;0;0;1
"150570 Ponta de Pedras";0;0;0;5;0;0;5
"150580 Portel";0;0;0;4;0;0;4
"150590 Porto de Moz";1;0;0;0;0;0;1
"150611 Quatipuru";0;0;0;3;0;0;3
"150613 Redenção";1;0;0;20;0;1;22
"150618 Rondon do Pará";0;0;0;2;0;0;2
"150619 Rurópolis";0;1;0;0;0;0;1
"150620 Salinópolis";0;0;0;21;1;0;22
"150630 Salvaterra";0;0;0;5;0;0;5
"150635 Santa Bárbara do Pará";2;0;0;1;0;0;3
"150640 Santa Cruz do Arari";0;0;0;1;0;0;1
"150650 Santa Isabel do Pará";1;0;0;11;0;1;13
"150660 Santa Maria do Pará";1;0;0;0;0;0;1
"150670 Santana do Araguaia";1;0;0;4;0;0;5
"150680 Santarém";6;1;0;138;1;0;146
"150720 São Domingos do Capim";0;0;0;1;0;0;1
"150730 São Félix do Xingu";1;1;0;7;0;0;9
"150745 São Geraldo do Araguaia";0;0;0;2;0;0;2
"150747 São João de Pirabas";0;0;0;2;0;0;2
"150750 São João do Araguaia";0;0;0;2;0;0;2
"150760 São Miguel do Guamá";0;0;0;2;0;0;2
"150770 São Sebastião da Boa Vista";0;0;0;1;0;0;1
"150780 Senador José Porfírio";0;0;0;1;0;0;1
"150790 Soure";0;1;0;3;0;0;4
"150795 Tailândia";0;0;3;17;0;0;20
"150797 Terra Santa";0;0;0;3;0;0;3
"150800 Tomé-Açu";1;1;0;5;0;0;7
"150810 Tucuruí";9;4;1;36;0;0;50
"150812 Ulianópolis";0;0;0;1;0;0;1
"150815 Uruará";0;0;0;3;0;0;3
"150820 Vigia";2;0;0;6;0;0;8
"160020 Calçoene";1;0;0;0;0;0;1
"160025 Itaubal";0;1;0;1;0;0;2
"160027 Laranjal do Jari";1;1;0;10;0;0;12
"160030 Macapá";34;23;1;128;0;2;188
"160040 Mazagão";0;0;0;1;0;0;1
"160050 Oiapoque";2;3;0;7;0;0;12
"160055 Pracuúba";0;0;0;0;1;0;1
"160060 Santana";1;0;0;4;0;0;5
"160005 Serra do Navio";0;0;0;1;0;0;1
"170070 Alvorada";0;0;0;1;0;0;1
"170100 Ananás";0;0;0;2;0;0;2
"170200 Araguaçu";0;0;0;1;0;0;1
"170210 Araguaína";15;10;3;65;0;0;93
"170220 Araguatins";1;0;0;1;0;0;2
"170255 Augustinópolis";0;0;0;1;0;0;1
"170550 Colinas do Tocantins";1;0;0;2;0;0;3
"170610 Cristalândia";0;0;0;1;0;0;1
"170650 Darcinópolis";0;0;0;2;0;0;2
"170700 Dianópolis";0;0;0;1;0;0;1
"170770 Filadélfia";0;0;0;1;0;0;1
"170930 Guaraí";0;0;0;2;0;0;2
"170950 Gurupi";4;0;0;13;0;0;17
"171510 Novo Acordo";0;0;0;1;0;0;1
"172100 Palmas";17;5;2;44;0;0;68
"171380 Palmeiras do Tocantins";0;0;0;1;0;0;1
"171610 Paraíso do Tocantins";1;1;0;10;0;0;12
"171630 Pau D'Arco";0;0;0;1;0;0;1
"171660 Peixe";0;0;0;1;0;0;1
"171820 Porto Nacional";1;1;2;3;0;0;7
"171830 Praia Norte";0;0;0;1;0;0;1
"171840 Presidente Kennedy";0;0;0;1;0;0;1
"171865 Rio da Conceição";0;0;0;1;0;0;1
"171880 Sampaio";0;0;0;1;0;0;1
"210005 Açailândia";3;0;0;8;0;0;11
"210015 Água Doce do Maranhão";0;0;0;1;0;0;1
"210020 Alcântara";1;0;0;3;0;0;4
"210030 Aldeias Altas";0;0;0;1;0;0;1
"210043 Alto Alegre do Maranhão";1;0;0;2;0;0;3
"210047 Alto Alegre do Pindaré";0;1;0;1;0;0;2
"210060 Amarante do Maranhão";0;0;0;2;0;0;2
"210087 Araguanã";1;0;0;0;0;0;1
