 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2021
UF Residência: Bahia
Região Res.: Região Nordeste
Período:2021
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"290070 Alagoinhas";13;1;0;14
"290080 Alcobaça";1;0;0;1
"290100 Amargosa";4;0;0;4
"290115 América Dourada";1;0;0;1
"290170 Antônio Cardoso";0;1;0;1
"290180 Antônio Gonçalves";1;0;0;1
"290190 Aporá";1;0;0;1
"290205 Araças";1;0;0;1
"290210 Araci";4;1;0;5
"290240 Aurelino Leal";1;0;0;1
"290270 Barra";1;0;0;1
"290300 Barra do Mendes";1;0;0;1
"290320 Barreiras";29;5;0;34
"290323 Barro Alto";1;0;0;1
"290327 Barrocas";1;0;0;1
"290340 Belmonte";0;2;0;2
"290390 Bom Jesus da Lapa";3;2;0;5
"290470 Buerarema";1;3;0;4
"290490 Cachoeira";1;1;0;2
"290520 Caetité";0;1;0;1
"290540 Cairu";1;0;0;1
"290560 Camacan";0;2;0;2
"290570 Camaçari";39;27;1;67
"290580 Camamu";2;0;0;2
"290630 Canavieiras";2;1;0;3
"290640 Candeal";0;1;0;1
"290650 Candeias";5;3;0;8
"290687 Capim Grosso";1;1;0;2
"290690 Caravelas";1;1;0;2
"290700 Cardeal da Silva";0;1;0;1
"290720 Casa Nova";0;1;0;1
"290750 Catu";2;2;0;4
"290780 Cícero Dantas";1;2;0;3
"290790 Cipó";1;0;0;1
"290800 Coaraci";0;1;0;1
"290830 Conceição do Almeida";2;0;0;2
"290840 Conceição do Coité";1;0;0;1
"290850 Conceição do Jacuípe";4;2;0;6
"290860 Conde";4;0;0;4
"290920 Coronel João Sá";0;1;0;1
"290980 Cruz das Almas";4;1;0;5
"290990 Curaçá";1;0;0;1
"291005 Dias d'Ávila";6;1;0;7
"291040 Encruzilhada";1;0;0;1
"291050 Entre Rios";0;3;0;3
"291060 Esplanada";1;0;0;1
"291070 Euclides da Cunha";2;0;0;2
"291072 Eunápolis";13;12;0;25
"291080 Feira de Santana";99;34;0;133
"291110 Formosa do Rio Preto";0;1;0;1
"291120 Gandu";2;0;0;2
"291125 Gavião";2;0;0;2
"291130 Gentio do Ouro";0;1;0;1
"291160 Governador Mangabeira";1;0;0;1
"291170 Guanambi";9;3;0;12
"291190 Iaçu";1;2;0;3
"291210 Ibicaraí";0;1;0;1
"291230 Ibicuí";1;0;0;1
"291270 Ibirapitanga";1;1;0;2
"291290 Ibirataia";1;0;0;1
"291320 Ibotirama";1;0;0;1
"291330 Ichu";1;0;0;1
"291360 Ilhéus";42;13;0;55
"291370 Inhambupe";1;0;0;1
"291380 Ipecaetá";0;1;0;1
"291390 Ipiaú";1;2;0;3
"291400 Ipirá";1;0;0;1
"291410 Ipupiara";0;1;0;1
"291440 Iraquara";2;0;0;2
"291460 Irecê";17;5;0;22
"291465 Itabela";3;6;0;9
"291470 Itaberaba";11;5;0;16
"291480 Itabuna";50;33;0;83
"291490 Itacaré";2;2;0;4
"291520 Itagibá";1;0;0;1
"291530 Itagimirim";0;1;0;1
"291550 Itajuípe";0;1;0;1
"291560 Itamaraju";5;6;0;11
"291600 Itanhém";0;1;0;1
"291610 Itaparica";2;2;0;4
"291620 Itapé";1;0;0;1
"291640 Itapetinga";7;3;0;10
"291710 Itororó";1;0;0;1
"291750 Jacobina";7;3;0;10
"291760 Jaguaquara";1;0;0;1
"291770 Jaguarari";1;0;0;1
"291780 Jaguaripe";1;0;0;1
"291800 Jequié";16;5;0;21
"291830 Jitaúna";1;1;0;2
"291840 Juazeiro";24;7;0;31
"291845 Jucuruçu";1;1;0;2
"291915 Lapão";1;0;0;1
"291920 Lauro de Freitas";31;10;0;41
"291930 Lençóis";0;1;0;1
"291955 Luís Eduardo Magalhães";17;5;0;22
"292000 Maiquinique";1;0;0;1
"292060 Maragogipe";2;0;0;2
"292090 Mascote";1;0;0;1
"292100 Mata de São João";1;0;0;1
"292110 Medeiros Neto";1;2;0;3
"292170 Morro do Chapéu";0;1;0;1
"292190 Mucugê";1;0;0;1
"292200 Mucuri";7;5;0;12
"292210 Mundo Novo";1;0;0;1
"292220 Muniz Ferreira";1;0;0;1
"292230 Muritiba";0;1;0;1
"292250 Nazaré";1;0;0;1
"292275 Nova Ibiá";0;1;0;1
"292280 Nova Itarana";1;0;0;1
"292300 Nova Viçosa";0;2;0;2
"292310 Olindina";0;1;0;1
"292320 Oliveira dos Brejinhos";3;0;0;3
"292340 Palmas de Monte Alto";1;0;0;1
"292350 Palmeiras";1;0;0;1
"292400 Paulo Afonso";3;3;0;6
"292405 Pé de Serra";0;1;0;1
"292460 Pindobaçu";1;0;0;1
