 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2022
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"290030 Acajutiba";0;0;0;0;1;0;0;0;0;1
"290040 Água Fria";0;0;0;0;0;1;0;0;0;1
"290070 Alagoinhas";1;2;0;7;0;2;6;0;2;20
"290100 Amargosa";0;0;1;0;1;0;0;0;0;2
"290190 Aporá";0;1;0;0;0;0;0;0;0;1
"290230 Aratuípe";0;1;0;0;0;0;1;0;0;2
"290240 Aurelino Leal";1;0;0;0;0;0;0;0;0;1
"290270 Barra";0;1;0;0;0;0;0;0;0;1
"290300 Barra do Mendes";0;0;0;0;0;0;0;0;1;1
"290320 Barreiras";2;2;0;6;1;8;9;2;7;37
"290340 Belmonte";0;0;1;0;0;0;0;0;0;1
"290390 Bom Jesus da Lapa";0;1;0;0;0;1;0;0;1;3
"290410 Boquira";0;1;0;0;0;0;0;0;0;1
"290470 Buerarema";1;0;0;0;0;0;1;0;0;2
"290485 Cabaceiras do Paraguaçu";0;0;0;0;1;0;0;0;0;1
"290560 Camacan";0;1;0;0;0;0;0;0;0;1
"290570 Camaçari";1;4;1;3;4;7;8;1;5;34
"290630 Canavieiras";0;0;1;0;0;0;0;0;0;1
"290640 Candeal";1;0;0;0;0;0;0;0;0;1
"290650 Candeias";0;1;0;0;0;0;1;0;0;2
"290680 Cansanção";0;1;0;0;0;0;0;0;0;1
"290690 Caravelas";0;1;0;0;0;0;0;0;0;1
"290720 Casa Nova";0;0;1;1;0;0;0;0;0;2
"290750 Catu";0;1;0;0;0;0;0;0;0;1
"290840 Conceição do Coité";0;0;0;0;0;0;0;0;2;2
"290850 Conceição do Jacuípe";0;0;1;0;0;0;1;0;0;2
"290860 Conde";0;0;0;0;1;0;0;0;0;1
"290960 Crisópolis";0;0;0;0;0;0;0;0;1;1
"290980 Cruz das Almas";1;1;0;3;0;2;1;0;0;8
"290990 Curaçá";0;1;0;1;0;0;0;0;0;2
"291005 Dias d'Ávila";0;0;0;1;0;0;3;0;0;4
"291050 Entre Rios";0;0;0;1;0;0;0;0;0;1
"291060 Esplanada";0;0;0;0;0;1;0;1;0;2
"291070 Euclides da Cunha";0;0;0;0;0;0;0;0;1;1
"291072 Eunápolis";2;2;2;1;3;0;4;1;2;17
"291080 Feira de Santana";3;10;2;21;8;14;39;8;11;116
"291110 Formosa do Rio Preto";0;0;0;1;0;0;0;0;0;1
"291150 Gongogi";0;1;0;0;0;0;0;0;0;1
"291170 Guanambi";0;0;0;3;0;0;4;4;1;12
"291190 Iaçu";0;1;0;0;0;0;0;0;0;1
"291200 Ibiassucê";0;0;0;0;1;0;0;0;0;1
"291270 Ibirapitanga";0;1;0;0;0;0;0;0;0;1
"291290 Ibirataia";0;0;0;1;0;0;0;0;0;1
"291350 Iguaí";0;0;0;0;0;0;1;0;0;1
"291360 Ilhéus";2;2;2;4;1;3;4;1;5;24
"291370 Inhambupe";0;0;0;1;0;0;0;0;0;1
"291390 Ipiaú";0;0;0;1;1;0;0;0;0;2
"291400 Ipirá";1;1;0;0;0;0;1;0;0;3
"291410 Ipupiara";0;0;0;1;0;0;0;0;0;1
"291430 Iramaia";0;0;0;1;0;0;0;0;0;1
"291450 Irará";0;0;0;0;0;0;1;0;0;1
"291460 Irecê";0;2;0;4;0;2;2;2;1;13
"291465 Itabela";2;0;0;1;0;0;0;0;0;3
"291470 Itaberaba";1;1;0;2;1;2;0;0;0;7
"291480 Itabuna";8;7;2;6;1;11;33;4;5;77
"291550 Itajuípe";0;0;0;0;0;0;1;0;0;1
"291560 Itamaraju";1;1;0;0;0;0;0;0;0;2
"291590 Itanagra";0;0;0;1;0;0;0;0;0;1
"291610 Itaparica";0;0;0;0;0;1;1;0;0;2
"291620 Itapé";1;0;0;0;0;0;0;0;0;1
"291640 Itapetinga";1;1;1;1;1;1;1;0;3;10
"291650 Itapicuru";1;0;0;0;0;0;0;0;0;1
"291730 Ituberá";0;0;0;0;0;0;1;1;0;2
"291750 Jacobina";0;1;0;2;0;1;0;0;0;4
"291800 Jequié";0;2;1;5;4;6;3;0;0;21
"291840 Juazeiro";5;10;8;3;3;7;4;1;3;44
"291855 Jussari";0;0;1;0;0;0;0;0;0;1
"291880 Laje";0;0;0;0;0;1;0;0;0;1
"291920 Lauro de Freitas";0;2;0;7;2;9;4;1;1;26
"291955 Luís Eduardo Magalhães";1;0;0;1;0;3;4;1;1;11
"291992 Madre de Deus";0;0;0;0;0;0;1;0;1;2
"292060 Maragogipe";0;0;0;1;0;0;0;0;0;1
"292100 Mata de São João";0;0;0;0;0;0;2;0;0;2
"292110 Medeiros Neto";1;0;0;0;0;0;0;0;0;1
"292120 Miguel Calmon";0;0;0;1;0;0;0;0;0;1
"292170 Morro do Chapéu";0;0;0;1;0;0;0;0;0;1
"292200 Mucuri";0;3;1;2;0;0;4;0;0;10
"292240 Mutuípe";0;1;0;0;0;0;1;0;0;2
"292250 Nazaré";0;0;0;0;1;0;0;0;0;1
"292273 Nova Fátima";0;1;0;1;0;0;0;0;0;2
"292300 Nova Viçosa";0;0;0;0;0;0;2;0;1;3
"292330 Ouriçangas";0;0;0;1;0;0;0;0;0;1
"292400 Paulo Afonso";1;2;0;0;0;0;4;1;1;9
"292410 Pedrão";0;1;0;0;0;0;0;0;0;1
"292440 Pilão Arcado";0;0;0;0;0;0;1;0;0;1
"292460 Pindobaçu";0;0;0;1;0;0;0;0;0;1
"292467 Piraí do Norte";0;0;0;1;0;0;0;0;0;1
"292510 Poções";1;0;0;0;0;0;0;0;0;1
"292520 Pojuca";0;1;0;1;1;0;0;0;0;3
"292530 Porto Seguro";2;9;3;12;1;6;9;0;4;46
"292550 Prado";0;1;0;0;0;0;0;0;0;1
"292575 Presidente Tancredo Neves";1;0;1;0;0;0;0;0;0;2
"292600 Remanso";0;1;1;1;0;1;0;0;0;4
"292630 Riachão do Jacuípe";0;0;0;0;0;0;1;0;0;1
"292660 Ribeira do Pombal";0;1;0;0;0;1;0;1;0;3
"292700 Rio Real";0;0;0;1;0;0;0;0;0;1
"292740 Salvador";7;28;13;58;21;63;137;29;53;409
"292770 Santa Cruz Cabrália";0;1;0;1;0;1;0;0;1;4
"292840 Santa Rita de Cássia";0;0;0;0;0;1;0;0;1;2
"292860 Santo Amaro";0;0;0;1;0;1;0;0;0;2
"292870 Santo Antônio de Jesus";0;4;0;6;2;1;8;0;1;22
"292880 Santo Estêvão";0;0;0;1;0;1;0;0;0;2
"292910 São Felipe";0;0;0;0;0;0;1;0;0;1
"292920 São Francisco do Conde";0;0;1;1;0;1;1;1;1;6
"292930 São Gonçalo dos Campos";2;1;0;0;0;0;2;0;0;5
"292935 São José da Vitória";0;0;0;0;0;0;1;0;0;1
"292970 Sátiro Dias";0;0;0;0;0;0;1;0;0;1
"292990 Seabra";0;0;1;0;0;0;0;0;0;1
"293010 Senhor do Bonfim";0;2;0;5;1;0;3;0;3;14
"293020 Sento Sé";1;1;0;0;0;1;0;0;0;3
"293050 Serrinha";0;4;1;4;0;5;3;0;2;19
"293070 Simões Filho";0;2;0;4;1;1;3;0;1;12
"293077 Sobradinho";0;0;0;0;0;0;1;0;0;1
"293105 Tanque Novo";0;1;0;0;0;0;0;0;0;1
"293135 Teixeira de Freitas";7;8;6;14;3;8;1;0;1;48
"293190 Tucano";0;2;0;1;0;0;0;0;0;3
"293220 Ubaitaba";0;0;1;0;0;0;0;0;0;1
"293230 Ubatã";1;1;0;0;0;0;0;0;0;2
"293250 Una";0;0;0;1;0;0;1;0;0;2
