 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"290030 Acajutiba";0;0;0;0;0;1;0;0;0;0;0;1
"290040 Água Fria";0;0;0;0;0;1;0;0;0;0;0;1
"290060 Aiquara";0;0;0;0;0;0;1;0;0;0;0;1
"290070 Alagoinhas";0;0;0;0;6;3;8;3;3;0;0;23
"290080 Alcobaça";0;0;0;0;2;1;0;0;0;0;0;3
"290100 Amargosa";0;0;0;0;0;1;0;2;0;0;0;3
"290115 América Dourada";0;0;0;0;0;1;0;0;0;0;0;1
"290190 Aporá";0;0;0;0;0;1;0;0;0;1;0;2
"290230 Aratuípe";0;0;0;0;1;0;0;1;0;0;0;2
"290240 Aurelino Leal";0;0;0;0;1;0;0;1;0;0;0;2
"290270 Barra";0;0;0;0;0;1;1;0;0;0;0;2
"290300 Barra do Mendes";0;0;0;0;0;1;0;0;0;0;0;1
"290310 Barra do Rocha";0;0;0;0;0;0;1;1;0;0;0;2
"290320 Barreiras";1;0;0;1;11;16;15;10;1;0;0;55
"290340 Belmonte";0;0;0;0;0;0;1;0;0;0;0;1
"290360 Biritinga";0;0;0;0;1;0;0;0;0;0;0;1
"290390 Bom Jesus da Lapa";0;0;0;0;2;0;5;1;1;0;0;9
"290410 Boquira";0;0;0;0;0;0;0;1;0;0;0;1
"290460 Brumado";0;0;0;0;0;0;1;0;0;0;0;1
"290470 Buerarema";0;0;0;0;1;1;1;0;1;0;0;4
"290485 Cabaceiras do Paraguaçu";0;0;0;0;0;1;0;0;0;0;0;1
"290490 Cachoeira";0;0;0;0;0;1;0;0;1;0;0;2
"290520 Caetité";0;0;0;0;0;1;0;0;0;0;0;1
"290540 Cairu";0;0;0;0;0;0;0;0;1;0;0;1
"290560 Camacan";0;0;0;0;0;1;1;0;0;0;0;2
"290570 Camaçari";0;1;0;1;8;21;15;5;1;0;0;52
"290580 Camamu";0;0;0;0;2;0;1;0;0;0;0;3
"290600 Campo Formoso";0;0;0;0;0;0;1;0;0;0;0;1
"290630 Canavieiras";0;0;0;0;0;0;0;0;1;0;0;1
"290640 Candeal";0;0;0;0;0;0;1;0;0;0;0;1
"290650 Candeias";0;0;0;1;0;0;0;2;0;0;0;3
"290680 Cansanção";0;0;0;0;0;1;0;0;0;0;0;1
"290690 Caravelas";0;0;0;0;1;0;1;0;0;0;0;2
"290720 Casa Nova";0;0;0;0;1;1;0;0;1;0;0;3
"290730 Castro Alves";0;0;0;0;0;0;1;0;0;0;0;1
"290750 Catu";0;0;0;0;0;1;0;0;0;0;0;1
"290800 Coaraci";0;0;0;0;0;0;0;1;0;0;0;1
"290830 Conceição do Almeida";0;0;0;0;1;0;0;0;0;0;0;1
"290840 Conceição do Coité";0;0;0;0;1;1;1;0;0;0;0;3
"290850 Conceição do Jacuípe";0;0;0;0;0;2;0;0;0;0;0;2
"290860 Conde";0;0;0;0;0;2;0;1;0;0;0;3
"290960 Crisópolis";0;0;0;0;0;1;0;0;0;0;0;1
"290980 Cruz das Almas";0;0;0;1;2;5;2;2;0;0;0;12
"290990 Curaçá";0;0;0;0;0;0;2;0;0;0;0;2
"291005 Dias d'Ávila";0;0;0;0;3;2;2;2;0;0;0;9
"291050 Entre Rios";0;0;0;0;0;1;0;1;0;0;0;2
"291060 Esplanada";0;0;0;0;1;1;0;0;0;0;0;2
"291070 Euclides da Cunha";0;0;0;0;0;0;1;0;0;0;0;1
"291072 Eunápolis";0;0;0;1;2;7;5;1;3;1;0;20
"291080 Feira de Santana";0;0;1;2;40;37;27;15;5;0;0;127
"291110 Formosa do Rio Preto";0;0;0;0;0;0;0;1;0;0;0;1
"291150 Gongogi";0;0;0;0;0;0;1;0;0;0;0;1
"291170 Guanambi";0;0;0;0;6;2;7;0;0;0;0;15
"291190 Iaçu";0;0;0;0;0;0;1;0;0;0;0;1
"291200 Ibiassucê";0;0;0;0;0;1;0;0;0;0;0;1
"291270 Ibirapitanga";0;0;0;0;0;1;0;0;0;0;0;1
"291290 Ibirataia";0;0;0;0;0;0;1;0;0;0;0;1
"291345 Igrapiúna";0;0;0;0;0;0;0;1;0;0;0;1
"291350 Iguaí";0;0;0;0;0;0;1;0;0;0;0;1
"291360 Ilhéus";0;0;0;0;11;19;6;14;3;0;0;53
"291370 Inhambupe";0;0;0;0;0;0;2;0;0;0;0;2
"291390 Ipiaú";0;0;0;0;0;2;0;0;0;0;0;2
"291400 Ipirá";0;0;0;0;1;1;0;1;1;0;0;4
"291410 Ipupiara";0;0;0;0;0;0;1;0;0;0;0;1
"291430 Iramaia";0;0;0;0;0;0;0;1;0;0;0;1
"291450 Irará";0;0;0;0;1;0;0;0;0;0;0;1
"291460 Irecê";0;0;0;0;6;4;5;4;0;0;0;19
"291465 Itabela";0;0;0;0;0;1;0;2;0;0;0;3
"291470 Itaberaba";0;0;1;0;2;2;3;0;0;0;0;8
"291480 Itabuna";0;0;0;2;23;21;25;16;6;4;0;97
"291550 Itajuípe";0;0;0;1;0;0;0;0;0;0;0;1
"291560 Itamaraju";0;0;0;0;1;2;3;2;2;1;0;11
"291590 Itanagra";0;0;0;0;0;0;1;0;0;0;0;1
"291610 Itaparica";0;0;0;0;3;0;1;0;0;0;0;4
"291620 Itapé";0;0;0;0;0;0;1;0;0;0;0;1
"291630 Itapebi";0;0;0;0;0;1;0;0;0;0;0;1
"291640 Itapetinga";0;0;0;0;0;6;4;2;1;0;0;13
"291650 Itapicuru";0;0;0;0;0;0;1;0;0;0;0;1
"291660 Itapitanga";0;0;0;0;0;1;0;0;0;0;0;1
"291730 Ituberá";0;0;0;0;2;0;0;0;0;0;0;2
"291750 Jacobina";0;0;0;0;2;3;1;1;1;1;0;9
"291800 Jequié";0;0;0;0;5;6;6;5;1;0;0;23
"291840 Juazeiro";0;0;1;1;9;11;8;5;8;2;0;45
"291855 Jussari";0;0;0;0;0;0;0;1;0;0;0;1
"291880 Laje";0;0;0;0;1;0;0;0;0;0;0;1
"291920 Lauro de Freitas";1;0;0;0;12;13;10;5;2;0;0;43
"291955 Luís Eduardo Magalhães";0;0;0;1;6;4;5;1;0;0;0;17
"291992 Madre de Deus";0;0;0;1;1;1;1;1;0;0;0;5
"292060 Maragogipe";0;0;0;0;0;1;0;0;0;0;0;1
"292100 Mata de São João";0;0;0;1;0;2;0;2;0;0;0;5
"292110 Medeiros Neto";0;0;0;0;0;0;0;0;1;0;0;1
"292120 Miguel Calmon";0;0;0;0;0;2;0;0;0;0;0;2
"292170 Morro do Chapéu";0;0;0;0;1;1;0;0;0;0;0;2
"292200 Mucuri";0;0;0;0;4;3;4;2;3;0;0;16
"292220 Muniz Ferreira";0;0;0;0;0;0;0;0;1;0;0;1
"292230 Muritiba";0;0;0;0;0;1;1;0;0;0;0;2
"292240 Mutuípe";0;1;0;0;0;1;0;0;0;0;0;2
"292250 Nazaré";0;0;0;0;0;2;0;0;0;0;0;2
"292265 Nordestina";0;0;0;0;0;0;1;0;0;0;0;1
"292273 Nova Fátima";0;0;0;0;0;0;0;2;0;0;0;2
"292300 Nova Viçosa";0;0;0;0;1;2;0;1;0;0;0;4
"292330 Ouriçangas";0;0;0;0;0;0;1;0;0;0;0;1
"292350 Palmeiras";0;0;0;0;0;0;2;0;0;0;0;2
"292390 Pau Brasil";0;0;0;0;0;0;0;0;0;1;0;1
"292400 Paulo Afonso";0;0;0;0;4;5;1;2;0;0;0;12
"292410 Pedrão";0;0;0;0;0;0;1;0;0;0;0;1
"292440 Pilão Arcado";0;0;0;0;1;0;0;0;0;0;0;1
"292460 Pindobaçu";0;0;0;0;0;1;0;0;0;0;0;1
"292467 Piraí do Norte";0;0;0;0;0;1;0;0;0;0;0;1
"292510 Poções";0;0;0;0;0;0;1;0;0;0;0;1
"292520 Pojuca";0;0;0;0;0;1;2;0;1;0;0;4
"292530 Porto Seguro";1;0;0;1;8;16;11;10;5;1;1;54
"292550 Prado";0;0;0;0;0;3;0;1;0;0;0;4
"292575 Presidente Tancredo Neves";0;0;0;0;0;0;2;0;0;0;0;2
"292600 Remanso";0;0;0;0;1;1;1;0;0;1;0;4
"292630 Riachão do Jacuípe";0;0;0;0;1;0;0;0;0;0;0;1
"292660 Ribeira do Pombal";0;0;0;0;0;2;1;1;0;0;0;4
"292700 Rio Real";0;0;0;0;0;1;0;0;0;0;0;1
"292730 Salinas da Margarida";0;0;0;0;0;1;0;0;0;0;0;1
"292740 Salvador";6;1;1;13;213;241;182;84;26;6;1;774
"292770 Santa Cruz Cabrália";0;0;0;0;0;2;2;0;2;0;0;6
"292810 Santa Maria da Vitória";0;0;0;0;0;0;1;1;0;0;0;2
"292840 Santa Rita de Cássia";0;0;0;1;0;1;1;0;0;0;0;3
"292800 Santaluz";0;0;0;0;0;0;1;0;0;0;0;1
"292860 Santo Amaro";0;0;0;0;0;2;0;3;0;0;0;5
"292870 Santo Antônio de Jesus";0;0;0;2;3;7;7;4;0;0;0;23
"292880 Santo Estêvão";0;0;0;1;0;0;1;0;0;0;0;2
"292910 São Felipe";0;0;0;0;0;1;0;0;0;0;0;1
"292920 São Francisco do Conde";0;0;0;0;2;1;2;1;1;0;0;7
"292930 São Gonçalo dos Campos";0;0;0;0;1;1;3;1;0;0;0;6
"292935 São José da Vitória";0;0;0;0;0;1;0;0;0;0;0;1
"292950 São Sebastião do Passé";0;0;0;0;0;0;1;0;0;0;0;1
"292970 Sátiro Dias";0;0;0;0;0;0;1;0;0;0;0;1
"292990 Seabra";0;0;0;0;0;0;0;1;0;0;0;1
"293010 Senhor do Bonfim";0;0;0;0;4;5;4;2;0;0;0;15
"293020 Sento Sé";0;0;0;0;1;0;0;0;2;0;0;3
"293015 Serra do Ramalho";0;0;0;1;0;0;0;0;0;0;0;1
"293050 Serrinha";0;0;0;0;13;8;15;4;2;0;0;42
"293070 Simões Filho";0;0;0;0;4;3;6;3;1;0;0;17
"293077 Sobradinho";0;0;0;0;0;0;1;0;0;0;0;1
"293105 Tanque Novo";0;0;0;0;0;0;0;1;0;0;0;1
"293135 Teixeira de Freitas";0;0;0;2;10;9;19;6;12;1;0;59
"293150 Teofilândia";0;0;0;0;0;0;1;0;1;0;0;2
"293170 Terra Nova";0;0;0;0;0;1;0;0;0;0;0;1
"293190 Tucano";0;0;0;1;0;0;0;0;2;0;0;3
"293220 Ubaitaba";0;0;0;0;1;1;0;0;0;0;0;2
"293230 Ubatã";0;0;0;0;0;0;2;0;0;0;0;2
"293245 Umburanas";0;0;0;0;0;0;1;0;0;0;0;1
"293250 Una";0;0;0;0;0;1;1;2;0;0;0;4
"293290 Valença";0;0;0;1;6;15;8;4;2;0;0;36
"293300 Valente";0;0;0;0;0;1;1;0;0;0;0;2
"293320 Vera Cruz";0;0;0;0;1;2;1;1;0;0;0;5
"293325 Vereda";0;0;0;0;0;0;1;0;0;0;0;1
"293330 Vitória da Conquista";1;0;0;3;21;25;18;9;4;0;0;81
"293345 Wanderley";0;0;0;0;0;0;0;0;0;1;0;1
"293360 Xique-Xique";0;0;0;0;1;0;0;2;0;0;0;3
"290000 Município ignorado - BA";1;0;0;0;0;1;0;0;0;0;0;2
"Total";11;3;4;40;481;593;500;263;110;21;2;2028
