 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2022
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"290030 Acajutiba";0;0;0;1;0;0;1
"290040 Água Fria";0;1;0;0;0;0;1
"290060 Aiquara";0;0;0;1;0;0;1
"290070 Alagoinhas";5;1;0;17;0;0;23
"290080 Alcobaça";0;0;0;3;0;0;3
"290100 Amargosa";1;1;0;1;0;0;3
"290115 América Dourada";0;0;0;1;0;0;1
"290190 Aporá";0;1;0;1;0;0;2
"290230 Aratuípe";0;1;0;1;0;0;2
"290240 Aurelino Leal";1;0;0;1;0;0;2
"290270 Barra";0;1;0;1;0;0;2
"290300 Barra do Mendes";1;0;0;0;0;0;1
"290310 Barra do Rocha";0;0;0;2;0;0;2
"290320 Barreiras";15;2;0;38;0;0;55
"290340 Belmonte";0;0;0;1;0;0;1
"290360 Biritinga";0;1;0;0;0;0;1
"290390 Bom Jesus da Lapa";2;2;2;3;0;0;9
"290410 Boquira";1;0;0;0;0;0;1
"290460 Brumado";0;0;0;1;0;0;1
"290470 Buerarema";1;0;0;3;0;0;4
"290485 Cabaceiras do Paraguaçu";0;0;0;1;0;0;1
"290490 Cachoeira";0;0;0;2;0;0;2
"290520 Caetité";1;0;0;0;0;0;1
"290540 Cairu";0;0;0;1;0;0;1
"290560 Camacan";0;1;0;1;0;0;2
"290570 Camaçari";2;13;0;35;1;1;52
"290580 Camamu";0;2;0;1;0;0;3
"290600 Campo Formoso";0;0;0;1;0;0;1
"290630 Canavieiras";0;0;0;1;0;0;1
"290640 Candeal";0;1;0;0;0;0;1
"290650 Candeias";0;1;0;2;0;0;3
"290680 Cansanção";0;0;0;1;0;0;1
"290690 Caravelas";0;0;0;2;0;0;2
"290720 Casa Nova";1;0;0;2;0;0;3
"290730 Castro Alves";0;1;0;0;0;0;1
"290750 Catu";0;0;0;1;0;0;1
"290800 Coaraci";0;0;0;1;0;0;1
"290830 Conceição do Almeida";0;1;0;0;0;0;1
"290840 Conceição do Coité";1;0;0;2;0;0;3
"290850 Conceição do Jacuípe";0;0;1;1;0;0;2
"290860 Conde";0;1;0;2;0;0;3
"290960 Crisópolis";1;0;0;0;0;0;1
"290980 Cruz das Almas";0;0;1;11;0;0;12
"290990 Curaçá";1;0;0;1;0;0;2
"291005 Dias d'Ávila";2;1;0;6;0;0;9
"291050 Entre Rios";0;0;0;2;0;0;2
"291060 Esplanada";1;0;0;1;0;0;2
"291070 Euclides da Cunha";1;0;0;0;0;0;1
"291072 Eunápolis";3;2;1;14;0;0;20
"291080 Feira de Santana";13;37;1;76;0;0;127
"291110 Formosa do Rio Preto";0;0;0;1;0;0;1
"291150 Gongogi";0;0;0;1;0;0;1
"291170 Guanambi";4;0;0;11;0;0;15
"291190 Iaçu";0;0;0;1;0;0;1
"291200 Ibiassucê";0;0;0;1;0;0;1
"291270 Ibirapitanga";0;0;0;1;0;0;1
"291290 Ibirataia";0;0;0;1;0;0;1
"291345 Igrapiúna";1;0;0;0;0;0;1
"291350 Iguaí";0;0;0;1;0;0;1
"291360 Ilhéus";4;8;1;27;0;13;53
"291370 Inhambupe";1;0;0;1;0;0;2
"291390 Ipiaú";0;1;0;1;0;0;2
"291400 Ipirá";1;1;0;2;0;0;4
"291410 Ipupiara";0;0;0;1;0;0;1
"291430 Iramaia";0;0;0;1;0;0;1
"291450 Irará";0;0;0;1;0;0;1
"291460 Irecê";4;2;0;13;0;0;19
"291465 Itabela";0;0;0;3;0;0;3
"291470 Itaberaba";1;1;0;6;0;0;8
"291480 Itabuna";13;14;1;65;0;4;97
"291550 Itajuípe";0;1;0;0;0;0;1
"291560 Itamaraju";0;0;0;11;0;0;11
"291590 Itanagra";0;0;0;1;0;0;1
"291610 Itaparica";3;0;0;1;0;0;4
"291620 Itapé";0;0;0;1;0;0;1
"291630 Itapebi";0;0;0;1;0;0;1
"291640 Itapetinga";3;1;0;9;0;0;13
"291650 Itapicuru";0;0;0;1;0;0;1
"291660 Itapitanga";0;0;0;1;0;0;1
"291730 Ituberá";0;2;0;0;0;0;2
"291750 Jacobina";2;0;0;7;0;0;9
"291800 Jequié";3;5;0;15;0;0;23
"291840 Juazeiro";16;3;0;25;0;1;45
"291855 Jussari";1;0;0;0;0;0;1
"291880 Laje";0;0;0;1;0;0;1
"291920 Lauro de Freitas";2;12;0;26;0;3;43
"291955 Luís Eduardo Magalhães";2;1;0;14;0;0;17
"291992 Madre de Deus";1;0;0;4;0;0;5
"292060 Maragogipe";1;0;0;0;0;0;1
"292100 Mata de São João";0;1;0;3;0;1;5
"292110 Medeiros Neto";0;0;0;1;0;0;1
"292120 Miguel Calmon";1;0;0;1;0;0;2
"292170 Morro do Chapéu";0;1;0;1;0;0;2
"292200 Mucuri";1;7;0;8;0;0;16
"292220 Muniz Ferreira";0;0;0;1;0;0;1
"292230 Muritiba";0;1;0;1;0;0;2
"292240 Mutuípe";0;0;0;2;0;0;2
"292250 Nazaré";0;0;0;2;0;0;2
"292265 Nordestina";0;0;0;1;0;0;1
"292273 Nova Fátima";0;0;0;2;0;0;2
"292300 Nova Viçosa";2;0;0;2;0;0;4
"292330 Ouriçangas";0;0;0;1;0;0;1
"292350 Palmeiras";0;0;0;2;0;0;2
"292390 Pau Brasil";0;0;0;1;0;0;1
"292400 Paulo Afonso";1;0;0;11;0;0;12
"292410 Pedrão";0;0;0;1;0;0;1
