 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2023
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2023
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"290040 Água Fria";1;1;0;2
"290060 Aiquara";0;1;0;1
"290070 Alagoinhas";19;6;0;25
"290080 Alcobaça";3;0;0;3
"290110 Amélia Rodrigues";3;1;0;4
"290170 Antônio Cardoso";0;1;0;1
"290205 Araças";1;2;0;3
"290210 Araci";1;0;0;1
"290220 Aramari";0;1;0;1
"290270 Barra";1;1;0;2
"290280 Barra da Estiva";2;1;0;3
"290320 Barreiras";32;12;0;44
"290340 Belmonte";1;0;0;1
"290390 Bom Jesus da Lapa";5;2;0;7
"290400 Boninal";1;0;0;1
"290430 Brejões";1;0;0;1
"290460 Brumado";10;2;0;12
"290470 Buerarema";1;0;0;1
"290500 Caculé";1;0;0;1
"290520 Caetité";2;0;0;2
"290540 Cairu";3;0;0;3
"290560 Camacan";1;1;0;2
"290570 Camaçari";30;12;0;42
"290580 Camamu";2;1;0;3
"290590 Campo Alegre de Lourdes";1;0;0;1
"290600 Campo Formoso";6;0;0;6
"290630 Canavieiras";2;4;0;6
"290650 Candeias";6;2;0;8
"290690 Caravelas";0;1;0;1
"290710 Carinhanha";0;1;0;1
"290720 Casa Nova";4;1;0;5
"290750 Catu";1;2;0;3
"290760 Central";1;0;0;1
"290790 Cipó";1;0;0;1
"290850 Conceição do Jacuípe";2;2;0;4
"290860 Conde";1;0;0;1
"290930 Correntina";1;0;0;1
"290970 Cristópolis";1;1;0;2
"290980 Cruz das Almas";3;0;0;3
"290990 Curaçá";1;0;0;1
"291005 Dias d'Ávila";10;2;0;12
"291020 Dom Macedo Costa";1;0;0;1
"291030 Elísio Medrado";1;2;0;3
"291050 Entre Rios";4;1;0;5
"291060 Esplanada";1;0;0;1
"291070 Euclides da Cunha";1;1;0;2
"291072 Eunápolis";19;11;0;30
"291077 Feira da Mata";1;2;0;3
"291080 Feira de Santana";89;41;0;130
"291085 Filadélfia";0;1;0;1
"291110 Formosa do Rio Preto";1;1;0;2
"291120 Gandu";3;1;0;4
"291150 Gongogi";1;0;0;1
"291170 Guanambi";9;1;0;10
"291190 Iaçu";2;0;0;2
"291210 Ibicaraí";1;0;0;1
"291230 Ibicuí";1;0;0;1
"291290 Ibirataia";2;0;0;2
"291310 Ibititá";1;0;0;1
"291350 Iguaí";1;1;0;2
"291360 Ilhéus";42;32;0;74
"291370 Inhambupe";0;2;0;2
"291390 Ipiaú";1;1;0;2
"291400 Ipirá";3;1;0;4
"291450 Irará";2;0;0;2
"291460 Irecê";8;7;0;15
"291465 Itabela";2;1;0;3
"291470 Itaberaba";3;4;0;7
"291480 Itabuna";49;27;0;76
"291500 Itaeté";1;1;0;2
"291550 Itajuípe";0;1;0;1
"291560 Itamaraju";8;3;0;11
"291580 Itambé";1;0;0;1
"291600 Itanhém";1;0;0;1
"291610 Itaparica";0;1;0;1
"291620 Itapé";0;1;0;1
"291630 Itapebi";2;2;0;4
"291640 Itapetinga";7;3;0;10
"291680 Itarantim";1;0;0;1
"291740 Jacaraci";1;0;0;1
"291750 Jacobina";5;1;0;6
"291770 Jaguarari";0;2;0;2
"291780 Jaguaripe";1;1;0;2
"291790 Jandaíra";1;0;0;1
"291800 Jequié";24;12;0;36
"291810 Jeremoabo";0;1;0;1
"291835 João Dourado";2;0;0;2
"291840 Juazeiro";24;15;0;39
"291875 Lagoa Real";1;0;0;1
"291880 Laje";0;1;0;1
"291905 Lajedo do Tabocal";1;0;0;1
"291920 Lauro de Freitas";29;6;0;35
"291950 Livramento de Nossa Senhora";1;0;0;1
"291955 Luís Eduardo Magalhães";16;6;0;22
"291980 Macaúbas";1;0;0;1
"291992 Madre de Deus";1;0;0;1
"292000 Maiquinique";0;1;0;1
"292030 Malhada de Pedras";1;0;0;1
"292050 Maracás";1;0;0;1
"292070 Maraú";2;1;0;3
"292090 Mascote";1;0;0;1
"292100 Mata de São João";3;3;0;6
"292110 Medeiros Neto";1;0;0;1
"292140 Mirangaba";1;0;0;1
"292200 Mucuri";5;4;0;9
"292210 Mundo Novo";1;0;0;1
"292250 Nazaré";2;0;0;2
"292300 Nova Viçosa";4;2;0;6
"292330 Ouriçangas";0;1;0;1
"292340 Palmas de Monte Alto";1;0;0;1
"292350 Palmeiras";1;0;0;1
"292380 Paripiranga";1;0;0;1
"292400 Paulo Afonso";6;5;0;11
"292405 Pé de Serra";2;0;0;2
"292410 Pedrão";1;0;0;1
"292420 Pedro Alexandre";1;0;0;1
"292440 Pilão Arcado";1;0;0;1
"292480 Piritiba";1;2;0;3
"292500 Planalto";1;0;0;1
"292510 Poções";0;1;0;1
"292520 Pojuca";2;0;0;2
"292530 Porto Seguro";43;13;0;56
"292560 Presidente Dutra";1;1;0;2
"292580 Queimadas";2;0;0;2
"292590 Quijingue";1;0;0;1
"292593 Quixabeira";1;0;0;1
"292595 Rafael Jambeiro";0;1;0;1
"292600 Remanso";4;0;0;4
"292610 Retirolândia";0;1;0;1
"292630 Riachão do Jacuípe";2;2;0;4
"292660 Ribeira do Pombal";1;2;0;3
"292680 Rio do Antônio";0;1;0;1
"292700 Rio Real";3;1;0;4
"292710 Rodelas";1;0;0;1
"292720 Ruy Barbosa";1;0;0;1
"292740 Salvador";651;211;1;863
"292750 Santa Bárbara";1;0;0;1
"292760 Santa Brígida";1;0;0;1
"292770 Santa Cruz Cabrália";1;1;0;2
"292810 Santa Maria da Vitória";2;1;0;3
"292840 Santa Rita de Cássia";2;0;0;2
"292800 Santaluz";1;0;0;1
"292860 Santo Amaro";4;1;0;5
"292870 Santo Antônio de Jesus";18;4;0;22
"292880 Santo Estêvão";1;0;0;1
"292910 São Felipe";2;0;0;2
"292920 São Francisco do Conde";4;1;0;5
"292925 São Gabriel";1;0;0;1
"292930 São Gonçalo dos Campos";1;1;0;2
"292940 São Miguel das Matas";1;0;0;1
"292950 São Sebastião do Passé";3;2;0;5
"292960 Sapeaçu";3;0;0;3
"292975 Saubara";0;1;0;1
"292980 Saúde";1;0;0;1
"292990 Seabra";3;1;0;4
"293010 Senhor do Bonfim";7;1;0;8
"293020 Sento Sé";2;0;0;2
"293015 Serra do Ramalho";0;1;0;1
"293050 Serrinha";26;10;0;36
"293070 Simões Filho";11;4;0;15
"293076 Sítio do Quinto";1;0;0;1
"293077 Sobradinho";1;0;0;1
"293135 Teixeira de Freitas";30;17;0;47
"293150 Teofilândia";1;0;0;1
"293160 Teolândia";1;0;0;1
"293170 Terra Nova";1;1;0;2
"293190 Tucano";3;0;0;3
"293220 Ubaitaba";1;0;0;1
"293240 Uibaí";1;0;0;1
"293270 Uruçuca";0;1;0;1
"293290 Valença";13;10;0;23
"293300 Valente";1;0;0;1
"293317 Varzedo";1;0;0;1
"293320 Vera Cruz";1;3;0;4
"293330 Vitória da Conquista";78;20;0;98
"293340 Wagner";1;0;0;1
"293350 Wenceslau Guimarães";1;0;0;1
"293360 Xique-Xique";4;0;0;4
"Total";1527;590;1;2118
