 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2024
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"290030 Acajutiba";0;0;0;1;0;0;0;0;0;1
"290060 Aiquara";0;1;0;0;0;0;0;0;0;1
"290070 Alagoinhas";1;1;0;2;5;2;8;0;3;22
"290080 Alcobaça";0;2;0;0;0;0;1;0;0;3
"290100 Amargosa";0;0;2;0;0;1;0;1;0;4
"290110 Amélia Rodrigues";0;0;0;1;0;0;0;0;0;1
"290120 Anagé";0;0;0;0;0;1;0;0;0;1
"290150 Anguera";0;0;0;0;0;0;0;0;1;1
"290205 Araças";0;0;0;2;0;0;0;0;0;2
"290225 Arataca";1;0;0;0;1;0;0;0;0;2
"290280 Barra da Estiva";0;0;0;0;0;0;1;0;1;2
"290320 Barreiras";0;0;2;7;5;5;7;2;6;34
"290340 Belmonte";0;1;0;0;0;0;0;0;0;1
"290350 Belo Campo";0;0;0;0;0;0;1;0;0;1
"290390 Bom Jesus da Lapa";1;0;0;1;0;1;0;0;0;3
"290420 Botuporã";0;1;0;2;0;0;0;0;0;3
"290460 Brumado";1;0;0;1;1;0;0;0;0;3
"290490 Cachoeira";0;1;0;1;1;1;1;1;0;6
"290515 Caetanos";0;0;0;0;0;0;1;0;0;1
"290520 Caetité";0;0;0;0;0;0;1;0;1;2
"290550 Caldeirão Grande";0;0;0;1;0;0;0;0;0;1
"290560 Camacan";0;0;0;1;0;1;0;0;0;2
"290570 Camaçari";2;4;3;6;2;8;9;1;2;37
"290580 Camamu";0;0;0;0;0;0;1;0;0;1
"290600 Campo Formoso";0;0;0;1;0;0;0;0;0;1
"290630 Canavieiras";2;0;1;2;0;0;0;0;0;5
"290650 Candeias";0;0;0;1;0;1;2;1;0;5
"290660 Candiba";0;0;0;0;0;0;1;0;0;1
"290670 Cândido Sales";0;0;0;0;1;0;0;0;0;1
"290680 Cansanção";0;1;1;1;0;0;0;0;0;3
"290687 Capim Grosso";0;0;0;0;1;0;0;0;0;1
"290700 Cardeal da Silva";0;0;0;1;0;0;0;0;0;1
"290720 Casa Nova";0;1;0;0;1;0;0;0;0;2
"290730 Castro Alves";0;0;0;0;0;0;1;0;0;1
"290750 Catu";0;0;0;1;0;0;0;0;0;1
"290790 Cipó";0;1;0;0;0;0;0;0;0;1
"290820 Conceição da Feira";0;0;0;0;0;0;1;0;0;1
"290830 Conceição do Almeida";0;0;0;0;1;1;0;0;0;2
"290840 Conceição do Coité";0;0;0;1;0;1;0;0;1;3
