 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2025
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"2025";"Total"
"290070 Alagoinhas";12;12
"290090 Almadina";1;1
"290100 Amargosa";2;2
"290120 Anagé";1;1
"290150 Anguera";1;1
"290200 Aracatu";1;1
"290270 Barra";1;1
"290310 Barra do Rocha";1;1
"290320 Barreiras";26;26
"290390 Bom Jesus da Lapa";5;5
"290430 Brejões";1;1
"290460 Brumado";10;10
"290470 Buerarema";2;2
"290485 Cabaceiras do Paraguaçu";1;1
"290490 Cachoeira";4;4
"290520 Caetité";3;3
"290560 Camacan";1;1
"290570 Camaçari";31;31
"290600 Campo Formoso";1;1
"290630 Canavieiras";7;7
"290650 Candeias";3;3
"290670 Cândido Sales";1;1
"290687 Capim Grosso";2;2
"290700 Cardeal da Silva";1;1
"290720 Casa Nova";3;3
"290730 Castro Alves";1;1
"290750 Catu";1;1
"290780 Cícero Dantas";1;1
"290800 Coaraci";1;1
"290840 Conceição do Coité";1;1
"290850 Conceição do Jacuípe";3;3
"290860 Conde";3;3
"290960 Crisópolis";2;2
"290980 Cruz das Almas";6;6
"291005 Dias d'Ávila";4;4
"291050 Entre Rios";2;2
"291060 Esplanada";1;1
"291072 Eunápolis";18;18
"291075 Fátima";1;1
"291080 Feira de Santana";116;116
"291085 Filadélfia";1;1
"291120 Gandu";1;1
"291170 Guanambi";3;3
"291190 Iaçu";1;1
"291220 Ibicoara";1;1
"291290 Ibirataia";2;2
"291360 Ilhéus";43;43
"291390 Ipiaú";10;10
"291400 Ipirá";2;2
"291460 Irecê";15;15
"291465 Itabela";11;11
"291470 Itaberaba";4;4
"291480 Itabuna";62;62
"291520 Itagibá";1;1
"291560 Itamaraju";11;11
"291570 Itamari";1;1
"291640 Itapetinga";11;11
"291650 Itapicuru";1;1
"291680 Itarantim";1;1
"291750 Jacobina";5;5
"291760 Jaguaquara";1;1
"291800 Jequié";15;15
"291830 Jitaúna";1;1
"291840 Juazeiro";37;37
"291875 Lagoa Real";2;2
"291880 Laje";1;1
"291915 Lapão";1;1
"291920 Lauro de Freitas";36;36
"291955 Luís Eduardo Magalhães";10;10
"291992 Madre de Deus";1;1
"292010 Mairi";2;2
"292040 Manoel Vitorino";1;1
"292100 Mata de São João";1;1
"292150 Monte Santo";1;1
"292200 Mucuri";2;2
"292205 Mulungu do Morro";1;1
"292250 Nazaré";1;1
"292265 Nordestina";1;1
"292300 Nova Viçosa";1;1
"292390 Pau Brasil";1;1
"292400 Paulo Afonso";10;10
"292467 Piraí do Norte";1;1
"292500 Planalto";1;1
"292510 Poções";1;1
"292520 Pojuca";1;1
"292530 Porto Seguro";57;57
"292550 Prado";1;1
"292595 Rafael Jambeiro";1;1
"292600 Remanso";2;2
"292630 Riachão do Jacuípe";1;1
"292660 Ribeira do Pombal";3;3
"292700 Rio Real";1;1
"292720 Ruy Barbosa";1;1
"292740 Salvador";556;556
"292750 Santa Bárbara";1;1
"292770 Santa Cruz Cabrália";1;1
"292840 Santa Rita de Cássia";1;1
"292860 Santo Amaro";6;6
"292870 Santo Antônio de Jesus";17;17
"292880 Santo Estêvão";2;2
"292900 São Félix";1;1
"292920 São Francisco do Conde";2;2
"292930 São Gonçalo dos Campos";3;3
"292940 São Miguel das Matas";1;1
"292950 São Sebastião do Passé";4;4
"292990 Seabra";3;3
"293010 Senhor do Bonfim";10;10
"293015 Serra do Ramalho";2;2
"293030 Serra Dourada";1;1
"293050 Serrinha";13;13
"293070 Simões Filho";16;16
"293080 Souto Soares";1;1
"293100 Tanhaçu";1;1
"293110 Tanquinho";1;1
"293135 Teixeira de Freitas";35;35
"293140 Teodoro Sampaio";1;1
"293170 Terra Nova";2;2
"293245 Umburanas";2;2
"293290 Valença";8;8
"293320 Vera Cruz";4;4
"293330 Vitória da Conquista";61;61
"293350 Wenceslau Guimarães";1;1
"Total";1425;1425
