 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2025
UF Residência: Bahia
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"290070 Alagoinhas";3;2;0;7;0;0;12
"290090 Almadina";0;0;0;1;0;0;1
"290100 Amargosa";0;0;0;2;0;0;2
"290120 Anagé";0;0;0;1;0;0;1
"290150 Anguera";0;0;0;1;0;0;1
"290200 Aracatu";0;0;0;1;0;0;1
"290270 Barra";0;1;0;0;0;0;1
"290310 Barra do Rocha";0;1;0;0;0;0;1
"290320 Barreiras";1;0;0;25;0;0;26
"290390 Bom Jesus da Lapa";1;1;0;3;0;0;5
"290430 Brejões";1;0;0;0;0;0;1
"290460 Brumado";1;1;0;7;0;1;10
"290470 Buerarema";0;1;0;1;0;0;2
"290485 Cabaceiras do Paraguaçu";0;0;0;1;0;0;1
"290490 Cachoeira";0;2;0;2;0;0;4
"290520 Caetité";1;0;0;2;0;0;3
"290560 Camacan";0;0;0;1;0;0;1
"290570 Camaçari";3;7;0;20;0;1;31
"290600 Campo Formoso";0;0;0;1;0;0;1
"290630 Canavieiras";2;1;0;4;0;0;7
"290650 Candeias";0;1;0;2;0;0;3
"290670 Cândido Sales";0;0;0;1;0;0;1
"290687 Capim Grosso";1;0;0;1;0;0;2
"290700 Cardeal da Silva";0;0;0;1;0;0;1
"290720 Casa Nova";1;1;0;1;0;0;3
"290730 Castro Alves";0;0;0;1;0;0;1
"290750 Catu";0;0;0;1;0;0;1
"290780 Cícero Dantas";0;0;0;1;0;0;1
"290800 Coaraci";0;0;0;1;0;0;1
"290840 Conceição do Coité";0;0;0;1;0;0;1
"290850 Conceição do Jacuípe";0;0;0;3;0;0;3
"290860 Conde";1;0;0;2;0;0;3
"290960 Crisópolis";0;1;0;1;0;0;2
"290980 Cruz das Almas";1;2;0;3;0;0;6
"291005 Dias d'Ávila";0;0;0;4;0;0;4
"291050 Entre Rios";0;0;0;2;0;0;2
"291060 Esplanada";1;0;0;0;0;0;1
"291072 Eunápolis";1;0;0;17;0;0;18
"291075 Fátima";1;0;0;0;0;0;1
"291080 Feira de Santana";14;20;0;81;1;0;116
"291085 Filadélfia";0;0;0;1;0;0;1
"291120 Gandu";1;0;0;0;0;0;1
"291170 Guanambi";1;1;0;1;0;0;3
"291190 Iaçu";0;0;0;1;0;0;1
"291220 Ibicoara";0;0;0;1;0;0;1
"291290 Ibirataia";0;0;0;2;0;0;2
"291360 Ilhéus";2;11;1;27;1;1;43
"291390 Ipiaú";1;4;1;4;0;0;10
"291400 Ipirá";1;0;0;1;0;0;2
"291460 Irecê";3;3;0;9;0;0;15
"291465 Itabela";1;1;0;9;0;0;11
"291470 Itaberaba";0;2;0;2;0;0;4
"291480 Itabuna";6;16;0;33;2;5;62
"291520 Itagibá";0;0;0;1;0;0;1
"291560 Itamaraju";1;0;1;9;0;0;11
"291570 Itamari";0;0;0;1;0;0;1
"291640 Itapetinga";2;2;0;7;0;0;11
"291650 Itapicuru";0;1;0;0;0;0;1
"291680 Itarantim";0;0;0;1;0;0;1
"291750 Jacobina";0;2;0;3;0;0;5
"291760 Jaguaquara";0;0;0;1;0;0;1
"291800 Jequié";0;4;0;11;0;0;15
"291830 Jitaúna";1;0;0;0;0;0;1
"291840 Juazeiro";7;4;1;25;0;0;37
"291875 Lagoa Real";1;1;0;0;0;0;2
"291880 Laje";0;0;0;1;0;0;1
"291915 Lapão";0;0;0;1;0;0;1
"291920 Lauro de Freitas";4;11;0;19;0;2;36
"291955 Luís Eduardo Magalhães";2;0;0;8;0;0;10
"291992 Madre de Deus";0;0;0;1;0;0;1
"292010 Mairi";0;0;0;2;0;0;2
"292040 Manoel Vitorino";0;0;0;1;0;0;1
"292100 Mata de São João";0;0;0;1;0;0;1
"292150 Monte Santo";0;0;0;1;0;0;1
"292200 Mucuri";0;1;0;1;0;0;2
"292205 Mulungu do Morro";0;0;0;1;0;0;1
"292250 Nazaré";0;0;0;1;0;0;1
"292265 Nordestina";0;0;0;1;0;0;1
"292300 Nova Viçosa";0;0;0;1;0;0;1
"292390 Pau Brasil";0;0;0;1;0;0;1
"292400 Paulo Afonso";2;0;0;8;0;0;10
"292467 Piraí do Norte";0;0;0;1;0;0;1
"292500 Planalto";0;0;0;1;0;0;1
"292510 Poções";0;0;0;1;0;0;1
"292520 Pojuca";0;0;0;1;0;0;1
"292530 Porto Seguro";8;16;0;30;3;0;57
"292550 Prado";0;0;0;1;0;0;1
"292595 Rafael Jambeiro";0;0;0;1;0;0;1
"292600 Remanso";0;0;0;2;0;0;2
"292630 Riachão do Jacuípe";0;0;0;1;0;0;1
"292660 Ribeira do Pombal";0;0;0;3;0;0;3
"292700 Rio Real";1;0;0;0;0;0;1
"292720 Ruy Barbosa";0;0;0;1;0;0;1
"292740 Salvador";55;168;5;316;1;11;556
"292750 Santa Bárbara";0;0;0;1;0;0;1
"292770 Santa Cruz Cabrália";0;0;0;1;0;0;1
"292840 Santa Rita de Cássia";0;0;0;1;0;0;1
"292860 Santo Amaro";0;4;0;2;0;0;6
"292870 Santo Antônio de Jesus";2;7;0;8;0;0;17
"292880 Santo Estêvão";0;0;0;2;0;0;2
"292900 São Félix";0;0;0;1;0;0;1
"292920 São Francisco do Conde";0;1;0;1;0;0;2
"292930 São Gonçalo dos Campos";0;1;0;2;0;0;3
"292940 São Miguel das Matas";0;1;0;0;0;0;1
"292950 São Sebastião do Passé";0;3;0;1;0;0;4
"292990 Seabra";0;0;0;3;0;0;3
"293010 Senhor do Bonfim";1;1;0;8;0;0;10
"293015 Serra do Ramalho";2;0;0;0;0;0;2
"293030 Serra Dourada";0;0;0;1;0;0;1
"293050 Serrinha";0;1;0;12;0;0;13
"293070 Simões Filho";1;6;0;9;0;0;16
"293080 Souto Soares";1;0;0;0;0;0;1
"293100 Tanhaçu";0;0;0;1;0;0;1
"293110 Tanquinho";0;0;0;1;0;0;1
"293135 Teixeira de Freitas";4;4;1;25;1;0;35
"293140 Teodoro Sampaio";0;0;0;1;0;0;1
"293170 Terra Nova";1;0;0;1;0;0;2
"293245 Umburanas";0;0;0;2;0;0;2
"293290 Valença";0;2;0;6;0;0;8
"293320 Vera Cruz";0;1;0;3;0;0;4
"293330 Vitória da Conquista";18;5;1;37;0;0;61
"293350 Wenceslau Guimarães";0;0;0;1;0;0;1
"Total";164;327;11;893;9;21;1425
