 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2016
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Período:2016
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"230015 Acarape";0;0;0;1;0;0;0;0;0;1
"230020 Acaraú";1;1;0;1;0;0;1;0;0;4
"230050 Alcântaras";0;1;0;2;0;0;0;0;0;3
"230100 Aquiraz";0;0;0;0;2;0;0;0;0;2
"230110 Aracati";0;1;0;2;0;0;5;0;0;8
"230170 Aurora";0;0;1;0;0;0;0;0;0;1
"230190 Barbalha";0;0;1;0;0;0;0;0;0;1
"230195 Barreira";0;0;0;1;1;0;0;0;0;2
"230205 Barroquinha";1;1;0;0;1;0;0;0;1;4
"230220 Beberibe";0;0;0;1;0;0;0;0;0;1
"230230 Bela Cruz";0;0;0;0;0;0;1;0;1;2
"230250 Brejo Santo";0;0;0;0;0;0;1;0;0;1
"230260 Camocim";0;1;0;0;0;0;0;0;1;2
"230270 Campos Sales";1;0;0;0;0;0;0;0;0;1
"230280 Canindé";1;1;0;1;0;0;0;0;0;3
"230320 Caririaçu";0;0;0;0;0;1;0;0;0;1
"230350 Cascavel";0;1;0;0;0;3;2;0;0;6
"230365 Catunda";0;0;0;1;0;0;0;0;0;1
"230370 Caucaia";4;5;1;4;4;6;6;1;4;35
"230410 Crateús";0;0;0;1;0;0;0;0;1;2
"230420 Crato";3;1;0;1;0;3;1;0;1;10
"230423 Croatá";0;0;0;1;0;0;0;0;0;1
"230425 Cruz";0;2;0;0;0;0;0;0;0;2
"230428 Eusébio";0;0;0;1;0;0;0;0;0;1
"230440 Fortaleza";19;61;13;115;48;70;140;44;54;564
"230445 Fortim";0;0;0;1;0;0;1;0;0;2
"230450 Frecheirinha";0;0;0;0;0;0;0;0;1;1
"230470 Granja";0;2;0;0;0;0;0;0;0;2
"230490 Groaíras";0;0;0;1;0;0;0;0;1;2
"230500 Guaraciaba do Norte";0;0;0;0;0;0;1;0;0;1
"230523 Horizonte";0;1;0;0;1;3;1;0;0;6
"230530 Ibiapina";0;0;0;0;0;0;0;1;0;1
"230550 Iguatu";1;1;2;1;0;0;1;0;2;8
"230580 Ipu";0;0;0;0;0;0;1;0;0;1
"230590 Ipueiras";1;0;0;1;0;0;1;1;0;4
"230610 Irauçuba";0;0;0;0;0;0;1;0;0;1
"230625 Itaitinga";0;0;0;1;0;0;0;0;0;1
"230640 Itapipoca";0;1;0;0;1;1;0;1;1;5
"230650 Itapiúna";0;0;0;0;0;0;0;0;1;1
"230660 Itatira";0;1;1;0;0;0;0;0;0;2
"230690 Jaguaribe";0;0;0;0;0;0;0;1;0;1
"230730 Juazeiro do Norte";2;4;1;12;3;10;6;1;6;45
"230740 Jucás";0;0;0;0;0;1;0;0;0;1
"230760 Limoeiro do Norte";0;0;0;1;0;0;0;0;0;1
"230763 Madalena";0;0;0;1;0;0;0;0;0;1
"230765 Maracanaú";1;1;1;8;1;5;13;4;1;35
"230770 Maranguape";1;1;0;0;0;0;0;0;0;2
"230780 Marco";0;1;0;0;0;0;1;0;0;2
"230800 Massapê";0;1;0;0;0;0;0;0;0;1
"230830 Milagres";0;0;0;0;0;0;0;0;1;1
"230840 Missão Velha";0;0;0;1;0;0;0;0;0;1
"230850 Mombaça";0;1;0;0;0;0;0;0;0;1
"230870 Morada Nova";0;2;0;0;0;0;0;0;0;2
"230880 Moraújo";0;1;0;0;0;0;0;0;0;1
"230890 Morrinhos";0;0;0;0;1;0;0;0;0;1
"230900 Mucambo";0;0;0;1;0;0;1;1;0;3
"230930 Nova Russas";0;0;0;0;0;0;0;0;1;1
"230945 Ocara";0;1;0;0;0;0;0;0;0;1
"230950 Orós";0;0;0;1;0;0;0;0;0;1
"230960 Pacajus";1;2;0;0;0;0;0;0;0;3
"230970 Pacatuba";0;0;0;2;0;1;1;1;0;5
"230980 Pacoti";0;0;0;1;0;0;0;0;0;1
"231000 Palhano";1;0;0;0;0;0;0;0;0;1
"231020 Paracuru";0;0;1;0;0;0;1;0;0;2
"231040 Paramoti";0;1;0;0;0;0;0;0;0;1
"231130 Quixadá";1;0;0;0;0;1;0;0;1;3
"231150 Quixeré";0;0;0;0;0;0;0;1;0;1
"231160 Redenção";0;0;0;0;0;0;1;0;0;1
"231170 Reriutaba";0;1;0;0;0;0;0;1;0;2
"231180 Russas";0;1;0;0;0;0;0;1;1;3
"231230 São Benedito";2;2;0;1;0;0;0;0;0;5
"231240 São Gonçalo do Amarante";1;0;0;1;0;0;1;0;0;3
"231290 Sobral";2;5;2;14;0;3;8;5;2;41
"231300 Solonópole";0;0;0;0;0;1;0;0;0;1
"231310 Tabuleiro do Norte";0;0;0;1;0;0;0;0;0;1
"231320 Tamboril";0;0;0;1;0;0;0;0;0;1
"231330 Tauá";0;0;0;0;1;0;0;0;0;1
"231340 Tianguá";0;1;0;1;0;0;0;1;0;3
"231355 Tururu";1;0;0;0;0;0;0;0;0;1
"231380 Uruburetama";0;0;0;0;0;0;0;0;1;1
"231390 Uruoca";0;0;0;1;0;0;0;0;0;1
"231410 Viçosa do Ceará";0;0;1;0;0;0;0;0;0;1
"Total";45;108;25;186;64;109;197;65;83;882
