 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2019
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Período:2019
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"230020 Acaraú";0;0;0;0;0;2;2;3;1;0;0;0;8
"230030 Acopiara";0;0;0;0;0;0;1;2;0;0;0;0;3
"230040 Aiuaba";0;0;0;0;0;0;1;0;0;0;0;0;1
"230050 Alcântaras";0;0;0;0;0;0;0;1;0;0;0;0;1
"230075 Amontada";0;1;0;0;0;0;0;0;0;0;0;0;1
"230100 Aquiraz";0;1;0;0;0;2;5;2;2;0;0;0;12
"230110 Aracati";0;0;0;0;0;2;7;4;3;1;0;0;17
"230120 Aracoiaba";0;0;0;0;0;0;0;1;2;0;0;0;3
"230190 Barbalha";0;0;0;0;0;0;1;0;0;0;0;0;1
"230195 Barreira";0;0;0;0;0;0;1;0;0;1;0;0;2
"230200 Barro";0;0;0;0;0;0;0;1;0;0;0;0;1
"230210 Baturité";0;0;0;0;0;1;1;1;0;0;0;0;3
"230220 Beberibe";0;0;0;0;1;0;2;2;0;0;0;0;5
"230230 Bela Cruz";0;0;0;0;0;2;0;0;0;0;0;0;2
"230240 Boa Viagem";0;0;0;0;0;1;0;0;1;0;0;0;2
"230250 Brejo Santo";0;0;0;0;0;0;3;1;0;0;0;0;4
"230260 Camocim";0;0;0;0;0;0;3;0;0;0;0;0;3
"230280 Canindé";0;0;0;0;0;1;2;1;0;0;0;0;4
"230330 Cariús";0;0;0;0;0;0;2;0;0;0;0;0;2
"230340 Carnaubal";0;0;0;0;0;0;1;0;0;0;0;0;1
"230350 Cascavel";0;0;0;0;0;5;8;1;0;2;0;0;16
"230365 Catunda";0;0;0;0;0;1;0;0;0;0;0;0;1
"230370 Caucaia";0;1;0;0;0;23;19;20;8;3;2;0;76
"230380 Cedro";0;0;0;0;0;0;1;0;0;0;0;0;1
"230395 Chorozinho";0;0;0;0;0;2;1;0;0;0;0;0;3
"230410 Crateús";0;0;0;0;0;1;1;0;0;0;0;0;2
"230420 Crato";0;0;0;0;0;5;7;3;3;1;0;0;19
"230425 Cruz";0;0;0;0;0;0;0;1;1;0;0;0;2
"230427 Ererê";0;0;0;0;0;1;0;0;0;0;0;0;1
"230428 Eusébio";0;0;0;1;0;3;1;0;1;0;0;0;6
"230440 Fortaleza";3;1;3;2;17;241;260;176;105;37;12;2;859
"230465 Graça";0;0;0;0;0;0;0;0;1;0;0;0;1
"230470 Granja";0;0;0;0;0;0;1;0;1;0;0;0;2
"230495 Guaiúba";0;0;0;0;0;0;0;1;0;0;0;0;1
