 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2019
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"230020 Acaraú";0;0;0;8;0;0;8
"230030 Acopiara";0;0;0;3;0;0;3
"230040 Aiuaba";0;0;0;1;0;0;1
"230050 Alcântaras";1;0;0;0;0;0;1
"230075 Amontada";0;0;0;1;0;0;1
"230100 Aquiraz";2;0;0;10;0;0;12
"230110 Aracati";2;0;0;15;0;0;17
"230120 Aracoiaba";0;0;0;3;0;0;3
"230190 Barbalha";0;0;0;1;0;0;1
"230195 Barreira";0;0;0;2;0;0;2
"230200 Barro";0;0;0;1;0;0;1
"230210 Baturité";0;0;0;3;0;0;3
"230220 Beberibe";0;0;0;5;0;0;5
"230230 Bela Cruz";0;0;0;2;0;0;2
"230240 Boa Viagem";0;0;0;2;0;0;2
"230250 Brejo Santo";2;0;0;2;0;0;4
"230260 Camocim";0;0;0;3;0;0;3
"230280 Canindé";1;0;0;3;0;0;4
"230330 Cariús";0;0;0;2;0;0;2
"230340 Carnaubal";0;0;0;1;0;0;1
"230350 Cascavel";1;0;0;14;1;0;16
"230365 Catunda";0;0;0;1;0;0;1
"230370 Caucaia";10;0;0;64;2;0;76
"230380 Cedro";0;0;0;1;0;0;1
"230395 Chorozinho";0;0;0;3;0;0;3
"230410 Crateús";1;0;0;1;0;0;2
"230420 Crato";5;2;0;12;0;0;19
"230425 Cruz";1;0;0;1;0;0;2
"230427 Ererê";0;0;0;1;0;0;1
"230428 Eusébio";0;0;0;6;0;0;6
"230440 Fortaleza";98;8;1;750;0;2;859
"230465 Graça";0;0;0;1;0;0;1
"230470 Granja";1;0;0;1;0;0;2
"230495 Guaiúba";0;0;0;1;0;0;1
"230500 Guaraciaba do Norte";1;0;0;3;0;0;4
"230520 Hidrolândia";1;0;0;1;0;0;2
"230523 Horizonte";0;0;0;6;0;0;6
"230526 Ibaretama";0;0;0;1;0;0;1
"230535 Icapuí";0;0;0;1;0;0;1
"230540 Icó";0;0;0;1;0;0;1
"230550 Iguatu";4;0;0;13;0;0;17
"230560 Independência";0;0;0;2;0;0;2
"230565 Ipaporanga";0;0;0;1;0;0;1
"230580 Ipu";0;0;0;1;0;0;1
"230625 Itaitinga";0;1;0;10;0;0;11
"230640 Itapipoca";1;0;1;5;0;0;7
"230650 Itapiúna";0;0;0;2;0;0;2
"230670 Jaguaretama";0;0;0;1;0;0;1
"230690 Jaguaribe";1;0;0;2;0;0;3
"230700 Jaguaruana";0;0;0;2;0;0;2
"230710 Jardim";0;0;0;1;0;0;1
"230730 Juazeiro do Norte";7;4;0;31;0;1;43
"230740 Jucás";1;0;0;1;0;0;2
"230750 Lavras da Mangabeira";0;0;0;1;0;0;1
"230760 Limoeiro do Norte";3;1;0;2;0;0;6
"230763 Madalena";0;0;0;1;0;0;1
"230765 Maracanaú";9;0;1;38;0;0;48
"230770 Maranguape";1;0;0;6;0;0;7
"230820 Meruoca";0;0;0;2;0;0;2
"230835 Milhã";0;0;0;1;0;0;1
"230837 Miraíma";0;0;0;1;0;0;1
"230850 Mombaça";1;0;0;1;0;0;2
"230860 Monsenhor Tabosa";0;0;0;2;0;0;2
"230870 Morada Nova";0;0;0;1;0;0;1
"230900 Mucambo";0;0;0;1;0;0;1
"230930 Nova Russas";0;0;0;2;0;0;2
"230940 Novo Oriente";0;0;0;1;0;0;1
"230945 Ocara";0;0;0;3;0;0;3
"230950 Orós";0;0;0;3;0;0;3
"230960 Pacajus";0;0;0;13;0;0;13
"230970 Pacatuba";0;0;0;2;0;0;2
"230990 Pacujá";0;0;0;2;0;0;2
"231000 Palhano";0;0;0;1;0;0;1
"231020 Paracuru";1;0;0;5;0;0;6
"231025 Paraipaba";1;0;0;4;0;0;5
"231030 Parambu";0;0;0;3;0;0;3
"231050 Pedra Branca";0;0;0;1;0;0;1
"231060 Penaforte";0;0;0;1;0;0;1
"231070 Pentecoste";0;0;0;3;0;0;3
"231080 Pereiro";0;0;0;1;0;0;1
"231085 Pindoretama";0;0;0;3;0;0;3
"231090 Piquet Carneiro";0;0;0;1;0;0;1
"231110 Porteiras";0;0;0;1;0;0;1
"231130 Quixadá";0;1;0;7;0;0;8
"231140 Quixeramobim";0;0;0;1;0;0;1
"231160 Redenção";1;0;0;2;0;0;3
"231180 Russas";1;0;0;13;0;0;14
"231190 Saboeiro";0;0;0;2;0;0;2
"231220 Santa Quitéria";1;0;0;1;0;0;2
"231230 São Benedito";0;0;0;1;0;0;1
"231240 São Gonçalo do Amarante";0;0;0;7;0;0;7
"231250 São João do Jaguaribe";0;0;0;1;0;0;1
"231270 Senador Pompeu";0;0;0;3;0;0;3
"231290 Sobral";5;3;0;39;0;0;47
"231300 Solonópole";1;0;0;0;0;0;1
"231330 Tauá";0;0;0;1;0;0;1
"231340 Tianguá";1;0;0;4;0;0;5
"231350 Trairi";0;0;0;9;0;0;9
"231370 Umari";0;0;0;1;0;0;1
"231380 Uruburetama";0;0;0;4;0;0;4
"231390 Uruoca";0;0;0;1;0;0;1
"231400 Várzea Alegre";1;0;0;2;0;0;3
"231410 Viçosa do Ceará";0;0;0;3;0;0;3
"Total";168;20;3;1219;3;3;1416
