 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2020
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"230015 Acarape";0;0;0;3;0;3
"230020 Acaraú";0;0;0;3;0;3
"230030 Acopiara";0;0;0;1;0;1
"230070 Alto Santo";0;0;0;1;0;1
"230075 Amontada";0;0;0;4;0;4
"230090 Apuiarés";0;0;0;1;0;1
"230100 Aquiraz";1;0;0;6;0;7
"230110 Aracati";2;0;0;13;0;15
"230120 Aracoiaba";0;0;0;2;0;2
"230130 Araripe";0;0;0;1;0;1
"230190 Barbalha";0;0;0;1;0;1
"230195 Barreira";0;0;0;1;0;1
"230200 Barro";0;0;0;2;0;2
"230210 Baturité";0;0;0;5;0;5
"230220 Beberibe";0;0;0;1;0;1
"230240 Boa Viagem";0;0;0;1;0;1
"230250 Brejo Santo";0;0;0;3;0;3
"230260 Camocim";0;1;0;3;0;4
"230270 Campos Sales";1;0;0;1;0;2
"230280 Canindé";0;0;0;8;0;8
"230290 Capistrano";0;0;0;4;0;4
"230330 Cariús";0;1;0;0;0;1
"230340 Carnaubal";0;0;0;1;0;1
"230350 Cascavel";3;0;0;7;0;10
"230370 Caucaia";2;0;0;43;0;45
"230380 Cedro";0;0;0;1;0;1
"230390 Chaval";0;0;0;1;0;1
"230395 Chorozinho";0;0;0;2;0;2
"230410 Crateús";0;0;0;1;0;1
"230420 Crato";5;0;0;11;0;16
"230425 Cruz";1;0;0;1;0;2
"230428 Eusébio";0;0;0;6;0;6
"230440 Fortaleza";42;2;0;542;1;587
"230445 Fortim";0;0;0;1;0;1
"230450 Frecheirinha";0;0;0;1;0;1
"230460 General Sampaio";0;0;0;2;0;2
"230465 Graça";0;0;0;1;0;1
"230470 Granja";0;0;0;1;0;1
"230500 Guaraciaba do Norte";0;0;0;1;0;1
"230520 Hidrolândia";1;0;0;0;0;1
"230523 Horizonte";0;0;0;6;0;6
"230535 Icapuí";0;0;0;2;0;2
"230540 Icó";0;0;0;1;0;1
"230550 Iguatu";4;1;0;13;0;18
"230560 Independência";0;0;0;1;0;1
"230580 Ipu";0;0;0;2;0;2
"230610 Irauçuba";1;0;0;0;0;1
"230620 Itaiçaba";0;0;0;2;0;2
"230625 Itaitinga";0;0;0;5;0;5
"230640 Itapipoca";0;0;0;12;0;12
"230655 Itarema";0;0;0;2;0;2
"230670 Jaguaretama";1;0;0;2;0;3
"230690 Jaguaribe";0;0;0;1;0;1
"230730 Juazeiro do Norte";5;0;0;37;0;42
"230760 Limoeiro do Norte";1;0;0;5;0;6
"230763 Madalena";0;0;0;2;0;2
"230765 Maracanaú";1;0;0;42;0;43
"230770 Maranguape";1;0;0;8;0;9
"230810 Mauriti";0;0;0;1;0;1
"230840 Missão Velha";0;0;0;3;0;3
"230850 Mombaça";1;0;0;0;0;1
"230860 Monsenhor Tabosa";0;0;0;1;0;1
"230870 Morada Nova";0;0;0;2;0;2
"230910 Mulungu";0;0;0;1;0;1
"230945 Ocara";0;0;0;3;0;3
"230960 Pacajus";0;0;0;7;0;7
"230970 Pacatuba";2;0;0;5;0;7
"230980 Pacoti";1;0;0;0;0;1
"230990 Pacujá";0;0;0;2;0;2
"231000 Palhano";0;0;0;1;0;1
"231020 Paracuru";0;0;0;4;0;4
"231025 Paraipaba";0;0;0;1;0;1
"231030 Parambu";0;0;0;1;0;1
"231060 Penaforte";1;0;0;1;0;2
"231070 Pentecoste";0;0;0;5;0;5
"231085 Pindoretama";0;0;0;4;0;4
"231130 Quixadá";1;0;0;7;0;8
"231150 Quixeré";0;0;0;1;0;1
"231160 Redenção";0;1;0;0;0;1
"231170 Reriutaba";1;0;0;0;0;1
"231180 Russas";2;0;0;6;0;8
"231190 Saboeiro";0;0;0;1;0;1
"231220 Santa Quitéria";0;0;0;2;0;2
"231230 São Benedito";1;0;0;0;0;1
"231240 São Gonçalo do Amarante";0;0;0;2;0;2
"231260 São Luís do Curu";0;0;0;1;0;1
"231280 Senador Sá";0;0;0;2;0;2
"231290 Sobral";6;0;0;40;0;46
"231330 Tauá";5;0;1;3;0;9
"231340 Tianguá";2;0;0;4;0;6
"231350 Trairi";1;0;0;4;0;5
"231355 Tururu";0;0;0;2;0;2
"231360 Ubajara";0;0;1;2;0;3
"231380 Uruburetama";0;0;0;3;0;3
"231395 Varjota";0;0;0;1;0;1
"231400 Várzea Alegre";0;1;0;0;0;1
"231410 Viçosa do Ceará";0;0;0;3;0;3
"Total";96;7;2;957;1;1063
