 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2021
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Período:2021
"Município (Res)";"Masculino";"Feminino";"Total"
"230020 Acaraú";7;1;8
"230030 Acopiara";1;1;2
"230070 Alto Santo";1;0;1
"230075 Amontada";1;0;1
"230090 Apuiarés";1;0;1
"230100 Aquiraz";8;5;13
"230110 Aracati";8;3;11
"230125 Ararendá";1;0;1
"230130 Araripe";1;0;1
"230140 Aratuba";1;0;1
"230150 Arneiroz";0;1;1
"230170 Aurora";1;0;1
"230190 Barbalha";0;1;1
"230220 Beberibe";1;3;4
"230240 Boa Viagem";1;1;2
"230250 Brejo Santo";3;4;7
"230270 Campos Sales";1;1;2
"230280 Canindé";4;1;5
"230290 Capistrano";0;1;1
"230310 Cariré";3;1;4
"230350 Cascavel";9;3;12
"230360 Catarina";1;0;1
"230365 Catunda";1;0;1
"230370 Caucaia";42;10;52
"230390 Chaval";0;1;1
"230393 Choró";0;1;1
"230395 Chorozinho";3;0;3
"230400 Coreaú";1;1;2
"230410 Crateús";4;0;4
"230420 Crato";8;5;13
"230425 Cruz";0;1;1
"230428 Eusébio";2;1;3
"230435 Forquilha";1;0;1
"230440 Fortaleza";440;133;573
"230460 General Sampaio";1;1;2
"230465 Graça";1;0;1
"230470 Granja";2;2;4
"230495 Guaiúba";1;0;1
"230500 Guaraciaba do Norte";4;1;5
"230523 Horizonte";7;0;7
"230535 Icapuí";1;1;2
"230540 Icó";3;0;3
"230550 Iguatu";17;5;22
"230560 Independência";1;0;1
"230580 Ipu";1;0;1
"230600 Iracema";0;1;1
"230610 Irauçuba";1;0;1
"230625 Itaitinga";8;3;11
"230630 Itapagé";3;1;4
"230640 Itapipoca";7;2;9
"230650 Itapiúna";1;0;1
"230655 Itarema";1;0;1
"230670 Jaguaretama";1;0;1
"230690 Jaguaribe";1;0;1
"230700 Jaguaruana";1;0;1
"230710 Jardim";1;0;1
"230720 Jati";0;1;1
"230730 Juazeiro do Norte";44;6;50
"230760 Limoeiro do Norte";3;3;6
"230765 Maracanaú";42;10;52
"230770 Maranguape";8;1;9
"230780 Marco";1;1;2
"230800 Massapê";1;0;1
"230810 Mauriti";2;0;2
"230830 Milagres";0;1;1
"230837 Miraíma";0;1;1
"230840 Missão Velha";0;1;1
"230850 Mombaça";3;0;3
"230860 Monsenhor Tabosa";1;0;1
"230870 Morada Nova";4;1;5
"230910 Mulungu";1;0;1
"230930 Nova Russas";1;1;2
"230945 Ocara";2;0;2
"230950 Orós";1;0;1
"230960 Pacajus";6;3;9
"230970 Pacatuba";8;1;9
"231020 Paracuru";8;2;10
"231025 Paraipaba";2;1;3
"231040 Paramoti";1;0;1
"231050 Pedra Branca";1;0;1
"231060 Penaforte";1;1;2
"231070 Pentecoste";3;2;5
"231085 Pindoretama";3;2;5
"231090 Piquet Carneiro";0;1;1
"231126 Quiterianópolis";1;0;1
"231130 Quixadá";8;2;10
"231180 Russas";9;3;12
"231220 Santa Quitéria";3;1;4
"231200 Santana do Acaraú";1;1;2
"231230 São Benedito";0;2;2
"231240 São Gonçalo do Amarante";7;2;9
"231260 São Luís do Curu";1;0;1
"231270 Senador Pompeu";3;1;4
"231280 Senador Sá";1;1;2
"231290 Sobral";41;16;57
"231330 Tauá";3;1;4
"231340 Tianguá";5;3;8
"231350 Trairi";4;0;4
"231355 Tururu";3;0;3
"231360 Ubajara";4;1;5
"231375 Umirim";0;1;1
"231380 Uruburetama";2;0;2
"231395 Varjota";1;0;1
"231410 Viçosa do Ceará";1;1;2
"Total";865;273;1138
