 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2022
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"230015 Acarape";0;0;0;0;0;0;1;0;0;0;0;0;1
"230020 Acaraú";0;0;0;0;0;1;2;1;0;0;0;0;4
"230030 Acopiara";0;0;0;0;0;0;1;0;2;1;0;0;4
"230075 Amontada";0;0;0;0;0;0;0;0;0;0;1;0;1
"230090 Apuiarés";0;0;0;0;0;0;0;1;0;0;0;0;1
"230100 Aquiraz";0;0;0;0;0;1;6;4;1;0;0;0;12
"230110 Aracati";0;0;0;0;1;5;6;1;3;0;0;0;16
"230120 Aracoiaba";0;0;0;0;0;1;0;0;0;0;0;0;1
"230130 Araripe";0;0;0;0;0;2;0;1;0;1;0;0;4
"230150 Arneiroz";0;0;0;0;0;0;0;0;1;0;0;0;1
"230170 Aurora";0;0;0;0;0;0;0;1;0;0;0;0;1
"230190 Barbalha";0;0;0;0;0;0;2;1;0;0;0;0;3
"230195 Barreira";0;0;0;0;0;0;0;3;0;0;0;0;3
"230205 Barroquinha";0;0;0;0;0;1;0;0;0;0;0;0;1
"230220 Beberibe";0;0;0;0;0;2;4;2;1;0;0;0;9
"230230 Bela Cruz";0;0;0;0;0;0;1;0;0;1;0;0;2
"230240 Boa Viagem";0;1;0;0;0;1;1;0;0;0;0;0;3
"230250 Brejo Santo";0;0;0;0;0;4;3;2;3;1;1;0;14
"230260 Camocim";0;0;0;0;0;0;1;3;0;0;0;0;4
"230280 Canindé";0;0;0;0;0;2;5;3;1;0;0;0;11
"230300 Caridade";0;0;0;0;0;1;0;0;0;0;0;0;1
"230330 Cariús";0;0;0;0;0;0;0;1;0;0;0;0;1
"230350 Cascavel";0;0;0;0;0;3;9;4;1;1;0;0;18
"230360 Catarina";0;0;0;0;0;0;0;0;1;0;0;0;1
"230370 Caucaia";0;0;0;0;0;19;13;12;5;6;1;0;56
"230380 Cedro";0;0;0;0;0;0;0;1;1;0;0;0;2
"230400 Coreaú";0;0;0;0;0;0;0;0;0;1;0;0;1
"230410 Crateús";0;0;0;0;0;3;0;2;0;0;0;0;5
"230420 Crato";0;0;0;0;0;10;5;6;4;1;0;0;26
"230427 Ererê";0;0;0;0;0;0;1;0;0;0;0;0;1
"230428 Eusébio";0;0;0;0;0;1;4;2;0;2;1;0;10
"230440 Fortaleza";4;1;2;3;15;149;228;140;73;28;12;1;656
"230450 Frecheirinha";0;0;0;0;0;1;1;0;0;0;0;0;2
"230465 Graça";0;0;0;0;0;1;0;0;0;0;0;0;1
"230470 Granja";0;1;0;0;0;2;4;0;0;0;0;0;7
"230495 Guaiúba";0;0;0;0;0;1;0;0;0;0;0;0;1
"230500 Guaraciaba do Norte";0;0;0;0;0;1;0;1;0;0;0;0;2
"230510 Guaramiranga";0;0;0;0;0;0;0;1;0;0;0;0;1
"230523 Horizonte";0;0;0;0;0;1;1;3;0;0;0;0;5
"230526 Ibaretama";0;0;0;0;0;0;1;0;0;0;0;0;1
"230530 Ibiapina";0;0;0;0;0;0;1;0;0;0;0;0;1
"230533 Ibicuitinga";0;0;0;0;0;0;0;1;0;0;0;0;1
"230535 Icapuí";0;0;0;0;0;0;1;0;0;0;0;0;1
"230550 Iguatu";0;0;0;0;0;7;4;4;2;1;1;0;19
"230560 Independência";0;0;0;0;0;1;0;0;0;0;0;0;1
"230570 Ipaumirim";0;0;0;0;0;0;0;1;0;0;0;0;1
"230580 Ipu";0;0;0;0;0;1;1;0;0;0;0;0;2
