 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2023
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2023
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"230015 Acarape";0;0;0;1;0;0;0;0;0;1
"230020 Acaraú";1;1;0;1;1;0;0;0;0;4
"230030 Acopiara";0;0;0;1;0;0;0;0;0;1
"230075 Amontada";0;0;0;1;0;0;0;0;0;1
"230090 Apuiarés";0;0;0;0;0;0;0;0;1;1
"230100 Aquiraz";1;1;0;2;0;1;3;0;3;11
"230110 Aracati";0;2;1;4;2;2;4;1;4;20
"230120 Aracoiaba";0;0;0;0;0;0;1;0;0;1
"230130 Araripe";0;0;0;1;0;0;0;0;0;1
"230160 Assaré";0;1;0;0;0;0;0;0;0;1
"230185 Banabuiú";1;0;0;0;0;0;0;0;0;1
"230190 Barbalha";0;0;0;1;1;0;0;0;0;2
"230195 Barreira";0;0;0;0;0;0;1;0;0;1
"230220 Beberibe";0;0;1;0;0;0;1;0;0;2
"230240 Boa Viagem";1;0;0;0;0;0;1;0;0;2
"230250 Brejo Santo";2;2;1;2;1;0;2;1;0;11
"230260 Camocim";0;0;0;0;0;0;1;0;0;1
"230280 Canindé";0;0;0;0;0;0;0;0;1;1
"230290 Capistrano";0;0;0;1;0;0;0;0;0;1
"230320 Caririaçu";0;0;0;0;0;1;0;0;0;1
"230330 Cariús";1;0;0;1;0;1;0;0;0;3
"230350 Cascavel";1;1;0;5;0;2;0;1;0;10
"230360 Catarina";0;0;0;0;0;0;1;0;0;1
"230370 Caucaia";3;9;0;10;4;13;9;1;3;52
"230400 Coreaú";0;0;0;0;0;1;0;0;0;1
"230410 Crateús";0;1;0;1;0;0;1;0;0;3
"230420 Crato";2;0;0;3;0;9;0;0;5;19
"230425 Cruz";0;0;0;0;0;0;1;0;1;2
"230428 Eusébio";1;0;0;0;0;1;2;0;0;4
"230440 Fortaleza";19;33;23;143;52;81;208;38;67;664
"230450 Frecheirinha";0;0;0;0;0;0;1;0;0;1
"230470 Granja";0;0;0;0;1;0;0;0;0;1
"230495 Guaiúba";0;0;0;1;0;0;1;0;0;2
"230523 Horizonte";1;0;0;0;0;2;2;1;1;7
"230530 Ibiapina";0;1;0;0;0;0;0;0;0;1
"230540 Icó";0;0;0;1;0;2;0;0;0;3
"230550 Iguatu";0;3;0;1;1;3;2;1;1;12
"230580 Ipu";0;0;0;0;0;0;1;0;0;1
"230610 Irauçuba";0;0;0;0;0;1;0;0;0;1
"230625 Itaitinga";0;1;1;1;0;0;4;0;0;7
"230630 Itapagé";0;0;0;3;0;0;0;0;0;3
"230640 Itapipoca";0;2;1;3;0;2;9;1;1;19
"230650 Itapiúna";0;1;0;1;0;0;0;0;0;2
"230655 Itarema";0;0;2;0;0;0;0;0;0;2
"230660 Itatira";0;0;0;1;0;0;2;0;0;3
"230690 Jaguaribe";0;0;0;1;0;0;0;0;0;1
"230700 Jaguaruana";0;0;1;1;0;0;0;0;0;2
"230725 Jijoca de Jericoacoara";0;1;0;0;0;0;1;0;0;2
"230730 Juazeiro do Norte";2;3;1;3;1;7;3;2;15;37
"230760 Limoeiro do Norte";0;0;0;1;0;1;1;0;0;3
"230763 Madalena";1;0;0;1;0;0;0;0;0;2
"230765 Maracanaú";3;4;2;9;4;15;16;1;5;59
"230770 Maranguape";0;0;0;2;1;1;2;1;1;8
"230780 Marco";0;1;0;0;0;0;3;0;0;4
"230800 Massapê";1;0;0;0;0;0;1;0;0;2
"230810 Mauriti";0;0;0;1;0;0;0;0;0;1
"230820 Meruoca";0;0;0;0;0;0;1;0;0;1
"230837 Miraíma";0;0;1;1;0;0;0;0;0;2
"230840 Missão Velha";0;0;0;1;0;0;0;0;0;1
"230850 Mombaça";0;0;0;0;0;0;1;0;0;1
"230860 Monsenhor Tabosa";0;0;0;0;0;0;1;0;0;1
"230870 Morada Nova";0;0;0;0;0;1;0;0;0;1
"230930 Nova Russas";0;1;0;0;0;0;2;0;0;3
"230940 Novo Oriente";0;0;0;0;0;1;0;0;0;1
"230950 Orós";0;0;0;1;0;0;0;0;0;1
"230960 Pacajus";1;2;1;4;0;0;6;0;1;15
"230970 Pacatuba";0;1;0;0;1;1;0;0;0;3
"231020 Paracuru";0;0;0;1;0;1;0;0;0;2
"231025 Paraipaba";0;0;0;0;0;1;1;0;0;2
"231030 Parambu";1;0;1;1;1;0;0;0;0;4
"231040 Paramoti";0;0;0;0;0;0;0;0;1;1
"231060 Penaforte";0;0;1;1;0;0;0;0;0;2
"231070 Pentecoste";1;0;0;0;0;0;2;0;0;3
"231085 Pindoretama";0;0;0;1;0;1;0;0;0;2
"231110 Porteiras";0;0;0;1;0;0;0;0;0;1
"231126 Quiterianópolis";0;0;0;0;0;0;0;0;1;1
"231130 Quixadá";0;1;0;3;1;1;4;0;2;12
"231140 Quixeramobim";0;0;0;1;1;0;1;0;0;3
"231150 Quixeré";0;1;0;0;0;0;0;0;0;1
"231160 Redenção";0;0;0;0;1;0;1;0;0;2
"231170 Reriutaba";0;0;0;0;0;0;1;0;0;1
"231180 Russas";0;0;0;5;3;5;6;2;1;22
"231230 São Benedito";0;0;0;1;0;0;2;0;0;3
"231240 São Gonçalo do Amarante";1;1;0;2;0;0;1;1;0;6
"231270 Senador Pompeu";0;1;0;0;0;0;0;1;0;2
"231290 Sobral";5;10;2;21;6;8;64;9;20;145
"231310 Tabuleiro do Norte";0;0;0;0;0;1;0;0;0;1
"231325 Tarrafas";0;0;0;1;0;0;0;0;0;1
"231330 Tauá";0;0;0;0;1;0;0;0;1;2
"231340 Tianguá";1;0;0;0;0;1;1;0;0;3
"231350 Trairi";0;1;1;0;0;0;0;0;0;2
"231360 Ubajara";0;0;0;0;0;0;0;0;1;1
"231370 Umari";0;0;0;0;0;0;1;0;0;1
"231380 Uruburetama";0;0;1;0;0;0;1;0;0;2
"231390 Uruoca";0;0;0;0;0;0;0;0;1;1
"231395 Varjota";0;1;0;0;0;0;0;0;0;1
"231410 Viçosa do Ceará";1;0;0;1;0;0;0;0;0;2
"Total";52;88;42;256;84;168;382;62;138;1272
