 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2024
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"230015 Acarape";0;0;0;1;0;0;1
"230020 Acaraú";0;0;0;3;0;0;3
"230030 Acopiara";0;0;0;1;0;0;1
"230070 Alto Santo";0;0;0;1;0;0;1
"230100 Aquiraz";4;0;0;18;0;0;22
"230110 Aracati";3;2;0;9;0;0;14
"230120 Aracoiaba";0;1;0;0;0;0;1
"230125 Ararendá";0;0;0;1;0;0;1
"230130 Araripe";0;1;0;1;0;0;2
"230185 Banabuiú";0;0;0;1;0;0;1
"230190 Barbalha";0;0;0;4;0;0;4
"230195 Barreira";0;0;0;1;0;0;1
"230205 Barroquinha";0;0;0;1;0;0;1
"230210 Baturité";0;0;0;6;0;0;6
"230220 Beberibe";1;0;0;0;0;0;1
"230230 Bela Cruz";1;0;0;0;0;0;1
"230240 Boa Viagem";1;0;0;3;0;0;4
"230250 Brejo Santo";1;0;0;12;0;0;13
"230270 Campos Sales";0;0;0;1;0;0;1
"230280 Canindé";0;0;0;1;0;0;1
"230290 Capistrano";0;0;0;1;0;0;1
"230310 Cariré";0;1;0;0;0;0;1
"230320 Caririaçu";1;0;0;0;0;0;1
"230330 Cariús";0;0;0;1;0;0;1
"230350 Cascavel";1;0;0;10;0;0;11
"230365 Catunda";0;0;0;2;0;0;2
"230370 Caucaia";9;1;0;59;0;0;69
"230380 Cedro";0;0;0;1;0;0;1
"230390 Chaval";0;0;1;0;0;0;1
"230400 Coreaú";0;0;0;1;0;0;1
"230410 Crateús";0;0;0;1;0;0;1
"230420 Crato";7;1;0;14;0;0;22
"230425 Cruz";0;0;0;1;0;0;1
"230427 Ererê";0;0;0;1;0;0;1
"230428 Eusébio";0;0;0;5;0;0;5
"230440 Fortaleza";143;27;6;812;3;4;995
"230445 Fortim";0;0;0;0;0;1;1
"230470 Granja";0;0;0;1;0;0;1
"230495 Guaiúba";0;0;0;1;0;0;1
"230500 Guaraciaba do Norte";0;0;0;3;0;0;3
"230520 Hidrolândia";0;0;0;1;0;0;1
"230523 Horizonte";0;0;0;1;0;0;1
"230540 Icó";0;0;0;2;0;0;2
"230550 Iguatu";5;1;1;13;0;0;20
"230560 Independência";0;0;0;1;0;0;1
"230580 Ipu";0;0;0;3;0;0;3
"230590 Ipueiras";0;0;0;2;0;0;2
"230625 Itaitinga";0;0;0;7;0;0;7
"230630 Itapagé";0;0;0;1;0;0;1
"230640 Itapipoca";6;0;0;19;0;0;25
"230650 Itapiúna";0;0;0;1;0;0;1
"230670 Jaguaretama";0;0;0;1;0;0;1
"230690 Jaguaribe";0;0;0;3;0;0;3
"230730 Juazeiro do Norte";5;5;0;30;0;1;41
"230760 Limoeiro do Norte";1;0;0;6;0;0;7
"230765 Maracanaú";13;1;0;81;1;0;96
"230770 Maranguape";0;0;0;1;0;0;1
"230790 Martinópole";0;0;0;2;0;0;2
"230800 Massapê";0;0;0;2;0;0;2
"230835 Milhã";0;0;0;1;0;0;1
"230840 Missão Velha";0;0;0;1;0;0;1
"230850 Mombaça";1;0;0;0;0;0;1
"230870 Morada Nova";0;0;0;1;0;0;1
"230880 Moraújo";1;0;0;2;0;0;3
"230910 Mulungu";0;0;0;1;0;0;1
"230930 Nova Russas";0;0;0;1;0;0;1
"230940 Novo Oriente";0;0;0;1;0;0;1
"230950 Orós";0;1;0;1;0;0;2
"230960 Pacajus";2;1;0;10;0;0;13
"230970 Pacatuba";1;0;0;3;0;0;4
"230980 Pacoti";0;0;0;1;0;0;1
"230990 Pacujá";0;0;0;1;0;0;1
"231020 Paracuru";0;0;0;4;0;0;4
"231025 Paraipaba";1;0;0;1;0;0;2
"231050 Pedra Branca";0;0;0;3;0;0;3
"231060 Penaforte";0;0;0;1;0;0;1
"231085 Pindoretama";0;0;0;2;0;0;2
"231110 Porteiras";0;0;0;2;0;0;2
"231123 Potiretama";0;0;0;1;0;0;1
"231126 Quiterianópolis";1;0;0;0;0;0;1
"231130 Quixadá";1;1;0;7;0;0;9
"231135 Quixelô";0;0;0;1;0;0;1
"231140 Quixeramobim";0;0;0;1;0;0;1
"231160 Redenção";1;0;0;1;0;0;2
"231180 Russas";0;0;0;14;0;0;14
"231220 Santa Quitéria";0;0;0;1;0;0;1
"231230 São Benedito";0;0;0;2;0;0;2
"231240 São Gonçalo do Amarante";1;0;0;5;0;0;6
"231260 São Luís do Curu";0;0;0;1;0;0;1
"231270 Senador Pompeu";0;0;0;2;0;0;2
"231290 Sobral";27;4;1;156;0;0;188
"231300 Solonópole";0;0;0;1;0;0;1
"231320 Tamboril";0;0;0;1;0;0;1
"231330 Tauá";1;0;0;0;0;0;1
"231335 Tejuçuoca";1;0;0;0;0;0;1
"231340 Tianguá";0;0;0;2;0;0;2
"231350 Trairi";0;0;0;1;0;0;1
"231355 Tururu";1;0;0;1;0;0;2
"231380 Uruburetama";0;0;0;2;0;0;2
"231410 Viçosa do Ceará";0;0;0;2;0;0;2
"Total";242;48;9;1395;4;6;1704
