 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2024
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2024
"Município (Res)";"Masculino";"Feminino";"Total"
"230015 Acarape";0;1;1
"230020 Acaraú";1;2;3
"230030 Acopiara";0;1;1
"230070 Alto Santo";0;1;1
"230100 Aquiraz";17;5;22
"230110 Aracati";7;7;14
"230120 Aracoiaba";0;1;1
"230125 Ararendá";1;0;1
"230130 Araripe";2;0;2
"230185 Banabuiú";1;0;1
"230190 Barbalha";3;1;4
"230195 Barreira";0;1;1
"230205 Barroquinha";1;0;1
"230210 Baturité";6;0;6
"230220 Beberibe";1;0;1
"230230 Bela Cruz";1;0;1
"230240 Boa Viagem";1;3;4
"230250 Brejo Santo";9;4;13
"230270 Campos Sales";1;0;1
"230280 Canindé";0;1;1
"230290 Capistrano";1;0;1
"230310 Cariré";0;1;1
"230320 Caririaçu";1;0;1
"230330 Cariús";0;1;1
"230350 Cascavel";11;0;11
"230365 Catunda";2;0;2
"230370 Caucaia";52;17;69
"230380 Cedro";1;0;1
"230390 Chaval";1;0;1
"230400 Coreaú";1;0;1
"230410 Crateús";1;0;1
"230420 Crato";15;7;22
"230425 Cruz";1;0;1
"230427 Ererê";1;0;1
"230428 Eusébio";2;3;5
"230440 Fortaleza";751;244;995
"230445 Fortim";1;0;1
"230470 Granja";1;0;1
"230495 Guaiúba";0;1;1
"230500 Guaraciaba do Norte";3;0;3
"230520 Hidrolândia";1;0;1
"230523 Horizonte";1;0;1
"230540 Icó";2;0;2
"230550 Iguatu";14;6;20
"230560 Independência";1;0;1
"230580 Ipu";2;1;3
"230590 Ipueiras";2;0;2
"230625 Itaitinga";7;0;7
"230630 Itapagé";0;1;1
"230640 Itapipoca";22;3;25
"230650 Itapiúna";1;0;1
"230670 Jaguaretama";0;1;1
"230690 Jaguaribe";3;0;3
"230730 Juazeiro do Norte";30;11;41
"230760 Limoeiro do Norte";4;3;7
"230765 Maracanaú";74;22;96
"230770 Maranguape";0;1;1
"230790 Martinópole";2;0;2
"230800 Massapê";0;2;2
"230835 Milhã";1;0;1
"230840 Missão Velha";1;0;1
"230850 Mombaça";1;0;1
"230870 Morada Nova";1;0;1
"230880 Moraújo";2;1;3
"230910 Mulungu";1;0;1
"230930 Nova Russas";0;1;1
"230940 Novo Oriente";0;1;1
"230950 Orós";1;1;2
"230960 Pacajus";11;2;13
"230970 Pacatuba";3;1;4
"230980 Pacoti";1;0;1
"230990 Pacujá";1;0;1
"231020 Paracuru";2;2;4
"231025 Paraipaba";2;0;2
"231050 Pedra Branca";2;1;3
"231060 Penaforte";1;0;1
"231085 Pindoretama";1;1;2
"231110 Porteiras";2;0;2
"231123 Potiretama";1;0;1
"231126 Quiterianópolis";0;1;1
"231130 Quixadá";8;1;9
"231135 Quixelô";1;0;1
"231140 Quixeramobim";1;0;1
"231160 Redenção";2;0;2
"231180 Russas";11;3;14
"231220 Santa Quitéria";1;0;1
"231230 São Benedito";1;1;2
"231240 São Gonçalo do Amarante";2;4;6
"231260 São Luís do Curu";1;0;1
"231270 Senador Pompeu";1;1;2
"231290 Sobral";144;44;188
"231300 Solonópole";0;1;1
"231320 Tamboril";1;0;1
"231330 Tauá";0;1;1
"231335 Tejuçuoca";1;0;1
"231340 Tianguá";1;1;2
"231350 Trairi";1;0;1
"231355 Tururu";2;0;2
"231380 Uruburetama";1;1;2
"231410 Viçosa do Ceará";2;0;2
"Total";1281;423;1704
