 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2025
UF Residência: Ceará
Região Res.: Região Nordeste
UF Notificação: Ceará
Região Not.: Região Nordeste
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"230075 Amontada";4;0;4
"230100 Aquiraz";22;7;29
"230110 Aracati";5;2;7
"230120 Aracoiaba";2;0;2
"230130 Araripe";1;0;1
"230190 Barbalha";3;0;3
"230195 Barreira";2;0;2
"230210 Baturité";6;3;9
"230220 Beberibe";1;0;1
"230230 Bela Cruz";0;1;1
"230240 Boa Viagem";1;1;2
"230250 Brejo Santo";5;4;9
"230260 Camocim";3;0;3
"230280 Canindé";1;2;3
"230330 Cariús";0;1;1
"230350 Cascavel";7;0;7
"230370 Caucaia";41;14;55
"230380 Cedro";1;0;1
"230410 Crateús";5;0;5
"230420 Crato";11;7;18
"230426 Deputado Irapuan Pinheiro";2;1;3
"230428 Eusébio";5;1;6
"230435 Forquilha";1;0;1
"230440 Fortaleza";514;170;684
"230445 Fortim";1;0;1
"230465 Graça";1;0;1
"230470 Granja";2;1;3
"230480 Granjeiro";1;0;1
"230500 Guaraciaba do Norte";1;0;1
"230523 Horizonte";8;1;9
"230526 Ibaretama";1;0;1
"230535 Icapuí";1;0;1
"230540 Icó";2;0;2
"230550 Iguatu";13;7;20
"230625 Itaitinga";5;1;6
"230630 Itapagé";1;0;1
"230640 Itapipoca";11;6;17
"230660 Itatira";1;0;1
"230700 Jaguaruana";2;1;3
"230710 Jardim";1;0;1
"230725 Jijoca de Jericoacoara";2;0;2
"230730 Juazeiro do Norte";33;6;39
"230740 Jucás";4;0;4
"230760 Limoeiro do Norte";4;1;5
"230765 Maracanaú";35;13;48
"230770 Maranguape";4;0;4
"230780 Marco";1;0;1
"230790 Martinópole";1;0;1
"230800 Massapê";3;0;3
"230837 Miraíma";1;0;1
"230850 Mombaça";2;0;2
"230860 Monsenhor Tabosa";1;0;1
"230900 Mucambo";2;0;2
"230920 Nova Olinda";0;1;1
"230960 Pacajus";9;1;10
"230970 Pacatuba";6;2;8
"230980 Pacoti";2;0;2
"231020 Paracuru";3;0;3
"231025 Paraipaba";2;0;2
"231030 Parambu";1;0;1
"231050 Pedra Branca";4;0;4
"231060 Penaforte";1;0;1
"231070 Pentecoste";1;0;1
"231080 Pereiro";1;0;1
"231085 Pindoretama";2;0;2
"231090 Piquet Carneiro";0;1;1
"231100 Poranga";0;1;1
"231130 Quixadá";9;2;11
"231135 Quixelô";2;0;2
"231140 Quixeramobim";4;2;6
"231150 Quixeré";2;0;2
"231180 Russas";2;3;5
"231190 Saboeiro";1;1;2
"231230 São Benedito";3;0;3
"231240 São Gonçalo do Amarante";6;6;12
"231260 São Luís do Curu";1;0;1
"231280 Senador Sá";1;0;1
"231290 Sobral";136;36;172
"231330 Tauá";6;2;8
"231340 Tianguá";0;2;2
"231350 Trairi";1;0;1
"231360 Ubajara";3;0;3
"231375 Umirim";2;0;2
"231400 Várzea Alegre";1;0;1
"Total";1000;311;1311
