 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
Ano Diagnóstico: 2016
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2016
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"210005 Açailândia";0;2;0;0;1;8;6;1;0;1;2;21
"210020 Alcântara";0;0;0;0;1;1;0;0;0;0;0;2
"210043 Alto Alegre do Maranhão";0;0;0;0;0;6;1;0;0;0;0;7
"210055 Amapá do Maranhão";0;0;0;0;2;0;0;0;0;0;0;2
"210060 Amarante do Maranhão";0;0;0;0;0;1;1;0;0;0;0;2
"210083 Apicum-Açu";0;0;0;0;0;1;2;0;0;0;0;3
"210100 Arari";0;0;0;0;0;0;1;0;0;0;0;1
"210120 Bacabal";0;0;0;1;23;19;11;4;4;0;0;62
"210130 Bacuri";0;0;0;0;1;0;1;1;1;1;0;5
"210140 Balsas";0;0;0;0;1;1;2;1;3;0;0;8
"210160 Barra do Corda";0;0;0;0;1;3;3;1;0;0;0;8
"210170 Barreirinhas";0;0;0;0;1;4;0;1;0;0;0;6
"210190 Bequimão";0;0;0;0;0;2;1;0;1;0;0;4
"210200 Bom Jardim";0;0;0;1;0;0;2;0;0;0;0;3
"210207 Bom Lugar";0;0;0;0;0;1;0;0;0;0;0;1
"210210 Brejo";0;0;0;0;0;1;0;0;0;0;0;1
"210230 Buriti Bravo";0;0;0;0;0;0;0;1;0;0;0;1
"210232 Buriticupu";0;0;0;0;0;1;2;0;0;0;0;3
"210235 Buritirana";0;0;0;0;0;1;0;0;0;0;0;1
"210255 Campestre do Maranhão";0;1;0;0;1;0;1;0;0;0;0;3
"210260 Cândido Mendes";0;0;0;0;2;2;0;1;1;0;0;6
"210270 Cantanhede";0;0;0;0;2;1;0;0;0;0;0;3
"210275 Capinzal do Norte";0;0;0;0;1;0;0;0;0;0;0;1
"210290 Carutapera";0;0;0;0;1;1;0;0;0;0;0;2
"210300 Caxias";0;0;0;1;16;20;14;7;4;1;0;63
"210310 Cedral";0;0;0;1;0;1;1;0;0;0;0;3
"210315 Centro do Guilherme";0;0;0;0;0;1;0;0;0;1;0;2
"210320 Chapadinha";0;0;0;0;2;1;0;1;0;0;0;4
"210330 Codó";0;0;0;0;11;19;10;4;6;0;0;50
"210340 Coelho Neto";0;0;0;0;0;1;1;0;0;0;0;2
"210350 Colinas";0;0;0;0;1;1;0;0;0;0;0;2
"210360 Coroatá";0;0;0;0;6;5;1;1;1;0;0;14
"210370 Cururupu";0;1;0;0;1;0;0;1;0;0;0;3
"210380 Dom Pedro";0;0;0;0;0;1;0;0;0;0;0;1
"210390 Duque Bacelar";0;0;0;0;1;1;0;1;0;0;0;3
"210405 Estreito";0;0;0;0;0;2;0;1;0;0;0;3
"210409 Formosa da Serra Negra";0;0;0;0;0;0;2;0;0;0;0;2
"210410 Fortaleza dos Nogueiras";0;0;0;0;0;1;0;0;0;0;0;1
"210420 Fortuna";0;0;0;0;0;1;1;0;0;0;0;2
"210440 Gonçalves Dias";0;0;0;0;0;1;0;0;0;0;0;1
"210460 Governador Eugênio Barros";0;0;0;0;0;1;1;0;0;0;0;2
"210465 Governador Newton Bello";0;0;0;0;0;0;0;1;0;0;0;1
"210467 Governador Nunes Freire";0;0;0;0;2;3;2;1;1;0;0;9
"210480 Grajaú";0;0;0;0;3;0;0;0;0;0;0;3
"210490 Guimarães";0;0;0;0;0;1;0;0;0;0;0;1
"210500 Humberto de Campos";0;0;0;0;0;1;0;1;0;0;0;2
"210510 Icatu";0;0;0;0;0;2;0;0;1;0;0;3
"210515 Igarapé do Meio";0;0;0;0;0;1;0;0;0;0;0;1
"210520 Igarapé Grande";0;0;0;0;0;1;0;1;0;1;0;3
"210530 Imperatriz";0;0;0;2;15;27;25;14;0;1;1;85
"210535 Itaipava do Grajaú";0;0;0;0;0;1;1;0;0;0;0;2
"210540 Itapecuru Mirim";0;0;0;0;6;4;1;1;1;0;0;13
"210542 Itinga do Maranhão";0;0;0;0;0;1;1;0;0;0;0;2
"210545 Jatobá";0;0;0;0;1;2;0;0;0;0;0;3
"210550 João Lisboa";0;0;0;0;1;1;0;0;0;0;0;2
"210560 Joselândia";0;0;0;0;0;0;1;0;0;0;0;1
"210570 Lago da Pedra";0;0;0;0;0;1;1;0;1;0;0;3
"210580 Lago do Junco";0;0;0;0;0;1;1;0;0;0;0;2
"210590 Lago Verde";0;0;0;0;0;0;1;0;0;0;0;1
"210598 Lajeado Novo";0;0;0;0;1;0;1;0;0;0;0;2
"210650 Matinha";0;0;0;0;1;1;1;0;0;0;0;3
"210660 Matões";0;0;0;1;0;0;0;0;0;0;0;1
"210663 Matões do Norte";0;0;0;0;0;0;0;0;0;1;0;1
"210670 Mirador";0;0;0;0;1;1;1;0;0;0;0;3
"210675 Miranda do Norte";0;0;0;0;2;0;1;1;0;0;0;4
"210680 Mirinzal";0;0;0;0;0;3;0;0;0;0;0;3
"210690 Monção";0;0;0;0;0;0;0;0;1;0;0;1
"210735 Nova Olinda do Maranhão";0;0;0;0;0;1;0;0;0;0;0;1
"210740 Olho d'Água das Cunhãs";0;0;0;0;1;0;0;0;0;0;0;1
"210750 Paço do Lumiar";0;0;0;2;7;7;3;0;0;0;0;19
"210760 Palmeirândia";0;0;0;0;0;0;0;1;0;0;0;1
"210770 Paraibano";0;0;0;0;1;1;0;0;0;0;0;2
"210790 Passagem Franca";0;1;0;0;2;0;0;0;0;0;0;3
"210800 Pastos Bons";0;0;0;0;1;0;0;0;0;0;0;1
"210805 Paulino Neves";0;0;0;0;0;0;1;0;0;0;0;1
"210820 Pedreiras";0;1;0;0;1;8;1;3;0;0;0;14
"210825 Pedro do Rosário";0;0;0;1;0;0;0;0;1;0;0;2
"210830 Penalva";0;0;0;0;0;1;1;0;0;0;0;2
"210840 Peri Mirim";0;0;0;0;0;1;1;0;0;0;0;2
"210850 Pindaré-Mirim";0;0;0;0;0;2;0;0;0;0;0;2
"210860 Pinheiro";0;0;0;1;3;6;10;0;0;0;1;21
"210870 Pio XII";0;0;0;0;2;1;1;0;0;1;0;5
"210880 Pirapemas";0;1;0;0;0;0;3;0;0;0;0;4
"210905 Porto Rico do Maranhão";0;0;0;0;2;1;0;0;0;0;0;3
"210910 Presidente Dutra";0;2;0;0;1;3;2;0;0;0;0;8
"210927 Presidente Sarney";0;0;0;0;0;0;0;0;1;0;0;1
"210940 Primeira Cruz";0;0;0;0;0;0;0;1;0;0;0;1
"210945 Raposa";0;0;0;0;1;1;0;1;0;0;0;3
"210950 Riachão";0;0;0;0;0;0;1;0;1;0;0;2
"210960 Rosário";0;0;0;0;1;5;0;1;0;0;0;7
"210980 Santa Helena";1;0;0;1;1;0;1;0;1;0;1;6
"210990 Santa Inês";1;0;0;0;4;14;4;3;1;0;0;27
"211000 Santa Luzia";0;0;1;0;0;3;1;1;0;0;0;6
"211003 Santa Luzia do Paruá";0;0;0;0;1;0;0;0;0;0;0;1
"211010 Santa Quitéria do Maranhão";0;0;0;0;0;0;1;0;0;0;0;1
"211020 Santa Rita";0;0;0;0;2;0;1;0;0;0;0;3
"211027 Santo Amaro do Maranhão";0;0;0;0;0;1;0;0;0;0;0;1
"211030 Santo Antônio dos Lopes";0;0;0;0;0;0;2;0;0;0;0;2
"211060 São Bernardo";0;0;0;0;0;1;0;0;0;0;0;1
"211070 São Domingos do Maranhão";0;0;0;0;2;0;2;0;2;0;0;6
"211090 São Francisco do Maranhão";0;0;0;0;0;0;1;0;0;0;0;1
"211105 São João do Paraíso";0;0;0;0;0;0;1;0;0;0;0;1
"211107 São João do Soter";0;0;0;0;0;0;1;1;0;0;0;2
"211120 São José de Ribamar";0;0;0;2;8;12;11;2;3;1;0;39
"211125 São José dos Basílios";0;0;0;0;0;1;0;0;0;0;0;1
"211130 São Luís";4;7;1;12;161;197;133;55;15;5;1;591
"211150 São Mateus do Maranhão";0;0;0;0;0;4;3;0;0;0;0;7
"211153 São Pedro da Água Branca";0;0;0;0;0;0;1;0;0;0;0;1
"211170 São Vicente Ferrer";0;0;0;0;0;0;1;0;0;0;0;1
"211172 Satubinha";0;0;0;0;1;0;0;0;0;0;0;1
"211176 Senador La Rocque";0;0;0;1;0;0;0;0;0;0;0;1
"211178 Serrano do Maranhão";0;0;0;0;0;1;0;2;0;0;0;3
"211210 Timbiras";0;0;1;0;1;1;1;0;1;0;0;5
"211220 Timon";0;0;0;0;10;6;4;1;1;1;0;23
"211223 Trizidela do Vale";0;0;0;0;1;2;1;1;0;0;0;5
"211240 Turiaçu";0;0;0;0;0;1;1;0;0;0;0;2
"211250 Tutóia";0;0;0;0;2;0;0;0;0;1;0;3
"211260 Urbano Santos";0;0;0;0;0;0;0;1;0;0;0;1
"211270 Vargem Grande";0;0;0;0;0;3;0;0;0;0;0;3
"211280 Viana";0;0;0;0;2;2;0;0;0;0;0;4
"211285 Vila Nova dos Martírios";0;0;0;0;1;1;0;1;0;0;0;3
"211400 Zé Doca";0;0;0;0;1;2;1;0;1;0;0;5
"Total";6;16;3;27;330;453;299;122;54;16;6;1332
