 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2017
UF Residência: Maranhão
Região Res.: Região Nordeste
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"210005 Açailândia";1;1;0;13;0;0;15
"210020 Alcântara";0;0;0;2;0;0;2
"210030 Aldeias Altas";0;0;0;1;0;0;1
"210043 Alto Alegre do Maranhão";0;0;1;3;0;0;4
"210047 Alto Alegre do Pindaré";0;0;0;2;0;0;2
"210070 Anajatuba";0;0;0;2;0;0;2
"210080 Anapurus";1;0;0;1;0;0;2
"210083 Apicum-Açu";0;1;0;3;0;0;4
"210095 Arame";0;1;0;2;0;0;3
"210120 Bacabal";4;7;0;36;1;6;54
"210125 Bacabeira";2;0;0;6;0;0;8
"210130 Bacuri";0;0;0;1;0;0;1
"210140 Balsas";0;1;0;17;0;1;19
"210150 Barão de Grajaú";0;0;0;1;0;0;1
"210160 Barra do Corda";4;0;0;3;0;0;7
"210170 Barreirinhas";1;0;0;5;0;0;6
"210193 Bernardo do Mearim";0;0;0;1;0;0;1
"210200 Bom Jardim";1;0;0;1;0;0;2
"210203 Bom Jesus das Selvas";0;0;0;1;0;0;1
"210220 Buriti";1;1;0;2;0;0;4
"210230 Buriti Bravo";0;0;0;3;0;0;3
"210232 Buriticupu";0;0;0;3;0;0;3
"210235 Buritirana";0;0;0;3;0;0;3
"210260 Cândido Mendes";1;0;0;1;0;0;2
"210270 Cantanhede";1;0;0;1;0;0;2
"210280 Carolina";0;0;0;2;0;0;2
"210290 Carutapera";0;0;0;2;0;0;2
"210300 Caxias";2;4;0;29;0;0;35
"210310 Cedral";0;0;0;1;0;0;1
"210312 Central do Maranhão";1;0;0;0;0;0;1
"210315 Centro do Guilherme";0;1;0;1;0;0;2
"210317 Centro Novo do Maranhão";0;0;0;1;0;0;1
"210320 Chapadinha";0;1;0;5;0;0;6
"210325 Cidelândia";0;0;0;1;0;0;1
"210330 Codó";3;4;0;24;0;0;31
"210340 Coelho Neto";1;0;0;3;0;0;4
"210350 Colinas";0;1;0;5;0;0;6
"210355 Conceição do Lago-Açu";1;0;0;0;0;0;1
"210360 Coroatá";2;1;0;11;0;0;14
"210370 Cururupu";0;0;0;3;0;0;3
"210375 Davinópolis";0;0;0;1;0;0;1
"210380 Dom Pedro";0;0;0;1;0;0;1
"210390 Duque Bacelar";0;0;0;1;0;0;1
"210405 Estreito";0;0;0;2;0;0;2
"210409 Formosa da Serra Negra";1;0;0;0;0;0;1
"210420 Fortuna";0;0;0;4;0;0;4
"210430 Godofredo Viana";0;0;0;1;0;0;1
"210440 Gonçalves Dias";0;0;0;1;0;0;1
"210450 Governador Archer";0;0;0;1;0;0;1
"210455 Governador Edison Lobão";0;0;0;3;0;0;3
"210460 Governador Eugênio Barros";0;0;0;3;0;0;3
"210465 Governador Newton Bello";0;0;0;1;0;0;1
"210467 Governador Nunes Freire";1;0;0;2;0;0;3
"210480 Grajaú";1;0;0;1;0;0;2
"210490 Guimarães";0;1;0;0;0;0;1
"210500 Humberto de Campos";0;0;0;3;0;0;3
"210510 Icatu";0;0;0;1;0;0;1
"210515 Igarapé do Meio";0;0;0;1;0;0;1
"210520 Igarapé Grande";0;0;0;3;0;0;3
"210530 Imperatriz";18;3;1;93;2;1;118
"210535 Itaipava do Grajaú";0;1;0;0;0;0;1
"210540 Itapecuru Mirim";1;3;0;3;0;0;7
"210550 João Lisboa";0;0;0;1;0;0;1
"210560 Joselândia";0;0;0;1;0;0;1
"210565 Junco do Maranhão";1;0;0;0;0;0;1
"210570 Lago da Pedra";0;1;0;2;0;0;3
"210590 Lago Verde";1;0;0;1;0;0;2
"210598 Lajeado Novo";1;0;0;0;0;0;1
"210620 Luís Domingues";1;0;0;0;0;0;1
"210632 Maracaçumé";0;0;0;1;0;0;1
"210637 Maranhãozinho";1;0;0;0;0;0;1
