 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2017
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2017
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"210005 Açailândia";9;6;0;15
"210020 Alcântara";1;1;0;2
"210030 Aldeias Altas";0;1;0;1
"210043 Alto Alegre do Maranhão";3;1;0;4
"210047 Alto Alegre do Pindaré";0;2;0;2
"210070 Anajatuba";1;1;0;2
"210080 Anapurus";2;0;0;2
"210083 Apicum-Açu";2;2;0;4
"210095 Arame";1;2;0;3
"210120 Bacabal";35;19;0;54
"210125 Bacabeira";7;1;0;8
"210130 Bacuri";0;1;0;1
"210140 Balsas";14;5;0;19
"210150 Barão de Grajaú";1;0;0;1
"210160 Barra do Corda";6;1;0;7
"210170 Barreirinhas";5;1;0;6
"210193 Bernardo do Mearim";1;0;0;1
"210200 Bom Jardim";1;1;0;2
"210203 Bom Jesus das Selvas";1;0;0;1
"210220 Buriti";2;2;0;4
"210230 Buriti Bravo";2;1;0;3
"210232 Buriticupu";2;1;0;3
"210235 Buritirana";3;0;0;3
"210260 Cândido Mendes";2;0;0;2
"210270 Cantanhede";1;1;0;2
"210280 Carolina";2;0;0;2
"210290 Carutapera";1;1;0;2
"210300 Caxias";26;9;0;35
"210310 Cedral";1;0;0;1
"210312 Central do Maranhão";1;0;0;1
"210315 Centro do Guilherme";1;1;0;2
"210317 Centro Novo do Maranhão";1;0;0;1
"210320 Chapadinha";4;2;0;6
"210325 Cidelândia";1;0;0;1
"210330 Codó";19;12;0;31
"210340 Coelho Neto";4;0;0;4
"210350 Colinas";3;3;0;6
"210355 Conceição do Lago-Açu";1;0;0;1
"210360 Coroatá";10;4;0;14
"210370 Cururupu";3;0;0;3
"210375 Davinópolis";1;0;0;1
"210380 Dom Pedro";0;1;0;1
"210390 Duque Bacelar";1;0;0;1
"210405 Estreito";1;1;0;2
"210409 Formosa da Serra Negra";1;0;0;1
"210420 Fortuna";2;2;0;4
"210430 Godofredo Viana";0;1;0;1
"210440 Gonçalves Dias";1;0;0;1
"210450 Governador Archer";0;1;0;1
"210455 Governador Edison Lobão";2;1;0;3
"210460 Governador Eugênio Barros";3;0;0;3
"210465 Governador Newton Bello";1;0;0;1
"210467 Governador Nunes Freire";1;2;0;3
"210480 Grajaú";0;2;0;2
"210490 Guimarães";1;0;0;1
"210500 Humberto de Campos";2;1;0;3
"210510 Icatu";0;1;0;1
"210515 Igarapé do Meio";0;1;0;1
"210520 Igarapé Grande";2;1;0;3
"210530 Imperatriz";69;49;0;118
"210535 Itaipava do Grajaú";1;0;0;1
"210540 Itapecuru Mirim";3;4;0;7
"210550 João Lisboa";1;0;0;1
"210560 Joselândia";1;0;0;1
"210565 Junco do Maranhão";1;0;0;1
"210570 Lago da Pedra";2;1;0;3
"210590 Lago Verde";2;0;0;2
"210598 Lajeado Novo";0;1;0;1
"210620 Luís Domingues";0;1;0;1
"210632 Maracaçumé";1;0;0;1
"210637 Maranhãozinho";0;1;0;1
"210640 Mata Roma";2;1;0;3
"210650 Matinha";1;1;0;2
"210663 Matões do Norte";1;0;0;1
"210670 Mirador";1;0;0;1
"210680 Mirinzal";2;0;0;2
"210690 Monção";2;1;0;3
"210735 Nova Olinda do Maranhão";1;1;0;2
"210740 Olho d'Água das Cunhãs";1;0;0;1
"210745 Olinda Nova do Maranhão";1;1;0;2
"210750 Paço do Lumiar";25;9;0;34
"210760 Palmeirândia";0;1;0;1
"210770 Paraibano";2;1;0;3
"210780 Parnarama";1;0;0;1
"210790 Passagem Franca";1;0;0;1
"210800 Pastos Bons";2;1;0;3
"210805 Paulino Neves";1;0;0;1
"210810 Paulo Ramos";2;0;0;2
"210820 Pedreiras";12;7;0;19
"210825 Pedro do Rosário";1;1;0;2
"210830 Penalva";1;3;0;4
"210840 Peri Mirim";0;2;0;2
"210845 Peritoró";5;0;0;5
"210850 Pindaré-Mirim";2;1;0;3
"210860 Pinheiro";12;11;0;23
"210870 Pio XII";0;1;0;1
"210880 Pirapemas";3;2;0;5
"210890 Poção de Pedras";2;0;0;2
"210900 Porto Franco";2;2;0;4
"210910 Presidente Dutra";2;1;0;3
"210923 Presidente Médici";1;0;0;1
"210930 Presidente Vargas";0;1;0;1
"210940 Primeira Cruz";1;0;0;1
"210945 Raposa";3;4;0;7
"210955 Ribamar Fiquene";0;1;0;1
"210960 Rosário";0;1;0;1
"210980 Santa Helena";3;1;0;4
"210990 Santa Inês";24;12;0;36
"211000 Santa Luzia";3;1;0;4
"211003 Santa Luzia do Paruá";2;0;0;2
"211010 Santa Quitéria do Maranhão";1;0;0;1
"211020 Santa Rita";1;2;0;3
"211030 Santo Antônio dos Lopes";1;0;0;1
"211040 São Benedito do Rio Preto";1;0;0;1
"211050 São Bento";4;3;0;7
"211060 São Bernardo";1;0;0;1
"211065 São Domingos do Azeitão";0;1;0;1
"211070 São Domingos do Maranhão";3;2;0;5
"211090 São Francisco do Maranhão";1;0;0;1
"211110 São João dos Patos";2;0;0;2
"211120 São José de Ribamar";36;14;0;50
"211130 São Luís";458;212;1;671
"211150 São Mateus do Maranhão";9;3;0;12
"211174 Senador Alexandre Costa";0;1;0;1
"211176 Senador La Rocque";1;1;0;2
"211178 Serrano do Maranhão";1;0;0;1
"211180 Sítio Novo";0;1;0;1
"211220 Timon";13;3;0;16
"211223 Trizidela do Vale";2;3;0;5
"211230 Tuntum";1;0;0;1
"211240 Turiaçu";3;0;0;3
"211245 Turilândia";4;2;0;6
"211250 Tutóia";0;4;0;4
"211260 Urbano Santos";2;1;0;3
"211270 Vargem Grande";1;0;0;1
"211280 Viana";3;3;0;6
"211290 Vitória do Mearim";0;2;0;2
"211300 Vitorino Freire";1;2;0;3
"211400 Zé Doca";1;0;0;1
"Total";956;483;1;1440
