 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
Ano Diagnóstico: 2018
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2018
"Município (Res)";"2018";"Total"
"210005 Açailândia";19;19
"210010 Afonso Cunha";1;1
"210015 Água Doce do Maranhão";1;1
"210020 Alcântara";1;1
"210030 Aldeias Altas";3;3
"210040 Altamira do Maranhão";2;2
"210043 Alto Alegre do Maranhão";4;4
"210047 Alto Alegre do Pindaré";5;5
"210050 Alto Parnaíba";1;1
"210060 Amarante do Maranhão";1;1
"210070 Anajatuba";2;2
"210083 Apicum-Açu";2;2
"210087 Araguanã";1;1
"210095 Arame";1;1
"210100 Arari";2;2
"210120 Bacabal";62;62
"210125 Bacabeira";1;1
"210130 Bacuri";2;2
"210135 Bacurituba";1;1
"210140 Balsas";20;20
"210160 Barra do Corda";9;9
"210170 Barreirinhas";1;1
"210190 Bequimão";1;1
"210200 Bom Jardim";2;2
"210203 Bom Jesus das Selvas";1;1
"210220 Buriti";1;1
"210230 Buriti Bravo";2;2
"210232 Buriticupu";5;5
"210255 Campestre do Maranhão";1;1
"210280 Carolina";2;2
"210290 Carutapera";5;5
"210300 Caxias";42;42
"210310 Cedral";2;2
"210320 Chapadinha";3;3
"210330 Codó";47;47
"210340 Coelho Neto";9;9
"210350 Colinas";2;2
"210360 Coroatá";15;15
"210370 Cururupu";7;7
"210380 Dom Pedro";2;2
"210390 Duque Bacelar";1;1
"210400 Esperantinópolis";2;2
"210405 Estreito";3;3
"210409 Formosa da Serra Negra";2;2
"210420 Fortuna";1;1
"210440 Gonçalves Dias";1;1
"210455 Governador Edison Lobão";2;2
"210460 Governador Eugênio Barros";1;1
"210465 Governador Newton Bello";1;1
"210467 Governador Nunes Freire";4;4
"210480 Grajaú";5;5
"210490 Guimarães";1;1
"210510 Icatu";1;1
"210520 Igarapé Grande";1;1
"210530 Imperatriz";116;116
"210540 Itapecuru Mirim";6;6
"210542 Itinga do Maranhão";1;1
"210547 Jenipapo dos Vieiras";1;1
"210550 João Lisboa";1;1
"210560 Joselândia";1;1
"210570 Lago da Pedra";1;1
"210632 Maracaçumé";2;2
"210650 Matinha";2;2
"210667 Milagres do Maranhão";1;1
"210675 Miranda do Norte";4;4
"210750 Paço do Lumiar";19;19
"210780 Parnarama";1;1
"210790 Passagem Franca";1;1
"210800 Pastos Bons";3;3
"210810 Paulo Ramos";1;1
"210820 Pedreiras";24;24
"210830 Penalva";2;2
"210840 Peri Mirim";1;1
"210845 Peritoró";3;3
"210850 Pindaré-Mirim";3;3
"210860 Pinheiro";32;32
"210870 Pio XII";6;6
"210880 Pirapemas";2;2
"210900 Porto Franco";1;1
"210910 Presidente Dutra";2;2
"210927 Presidente Sarney";1;1
"210940 Primeira Cruz";3;3
"210945 Raposa";7;7
"210950 Riachão";1;1
"210955 Ribamar Fiquene";1;1
"210960 Rosário";7;7
"210970 Sambaíba";1;1
"210980 Santa Helena";5;5
"210990 Santa Inês";28;28
"211000 Santa Luzia";9;9
"211010 Santa Quitéria do Maranhão";1;1
"211020 Santa Rita";1;1
"211030 Santo Antônio dos Lopes";1;1
"211040 São Benedito do Rio Preto";1;1
"211050 São Bento";1;1
"211060 São Bernardo";1;1
"211065 São Domingos do Azeitão";1;1
"211070 São Domingos do Maranhão";2;2
"211107 São João do Soter";1;1
"211110 São João dos Patos";1;1
"211120 São José de Ribamar";28;28
"211130 São Luís";641;641
"211140 São Luís Gonzaga do Maranhão";2;2
"211150 São Mateus do Maranhão";3;3
"211153 São Pedro da Água Branca";1;1
"211160 São Raimundo das Mangabeiras";1;1
"211163 São Raimundo do Doca Bezerra";1;1
"211170 São Vicente Ferrer";2;2
"211176 Senador La Rocque";2;2
"211180 Sítio Novo";2;2
"211210 Timbiras";3;3
"211220 Timon";17;17
"211223 Trizidela do Vale";1;1
"211227 Tufilândia";2;2
"211230 Tuntum";3;3
"211240 Turiaçu";2;2
"211245 Turilândia";4;4
"211250 Tutóia";4;4
"211260 Urbano Santos";1;1
"211270 Vargem Grande";4;4
"211280 Viana";5;5
"211285 Vila Nova dos Martírios";1;1
"211290 Vitória do Mearim";6;6
"211300 Vitorino Freire";5;5
"211400 Zé Doca";1;1
"Total";1370;1370
