 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2018
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"210005 Açailândia";4;1;0;14;0;0;19
"210010 Afonso Cunha";0;0;0;1;0;0;1
"210015 Água Doce do Maranhão";0;0;0;1;0;0;1
"210020 Alcântara";0;1;0;0;0;0;1
"210030 Aldeias Altas";1;0;0;2;0;0;3
"210040 Altamira do Maranhão";1;0;0;1;0;0;2
"210043 Alto Alegre do Maranhão";2;0;0;2;0;0;4
"210047 Alto Alegre do Pindaré";0;1;0;4;0;0;5
"210050 Alto Parnaíba";0;0;0;1;0;0;1
"210060 Amarante do Maranhão";0;0;0;1;0;0;1
"210070 Anajatuba";1;0;0;1;0;0;2
"210083 Apicum-Açu";0;0;0;2;0;0;2
"210087 Araguanã";0;0;0;1;0;0;1
"210095 Arame";0;1;0;0;0;0;1
"210100 Arari";0;0;0;2;0;0;2
"210120 Bacabal";6;7;2;44;0;3;62
"210125 Bacabeira";0;0;0;1;0;0;1
"210130 Bacuri";0;0;0;2;0;0;2
"210135 Bacurituba";0;0;0;1;0;0;1
"210140 Balsas";6;1;0;12;0;1;20
"210160 Barra do Corda";3;0;0;6;0;0;9
"210170 Barreirinhas";1;0;0;0;0;0;1
"210190 Bequimão";0;0;0;1;0;0;1
"210200 Bom Jardim";0;0;0;2;0;0;2
"210203 Bom Jesus das Selvas";0;0;0;1;0;0;1
"210220 Buriti";0;0;0;1;0;0;1
"210230 Buriti Bravo";1;0;0;1;0;0;2
"210232 Buriticupu";1;0;0;4;0;0;5
"210255 Campestre do Maranhão";0;0;0;1;0;0;1
"210280 Carolina";0;0;0;2;0;0;2
"210290 Carutapera";0;0;0;5;0;0;5
"210300 Caxias";2;5;0;35;0;0;42
"210310 Cedral";0;0;0;2;0;0;2
"210320 Chapadinha";0;0;0;3;0;0;3
"210330 Codó";7;4;0;35;1;0;47
"210340 Coelho Neto";1;1;0;7;0;0;9
"210350 Colinas";0;0;0;2;0;0;2
"210360 Coroatá";2;0;0;13;0;0;15
"210370 Cururupu";0;3;1;3;0;0;7
