 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Ano Diagnóstico: 2020
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2020
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"210005 Açailândia";2;3;1;2;0;1;0;0;0;9
"210010 Afonso Cunha";0;0;1;0;0;0;0;0;0;1
"210015 Água Doce do Maranhão";0;0;0;0;0;0;1;0;0;1
"210020 Alcântara";0;0;0;0;0;0;1;0;0;1
"210030 Aldeias Altas";0;0;1;0;0;0;0;0;0;1
"210043 Alto Alegre do Maranhão";0;1;0;0;0;0;0;0;0;1
"210047 Alto Alegre do Pindaré";0;1;0;0;0;0;0;0;0;1
"210060 Amarante do Maranhão";0;0;0;0;1;0;0;0;0;1
"210083 Apicum-Açu";0;0;0;0;0;1;1;0;0;2
"210090 Araioses";1;0;0;0;0;0;0;0;0;1
"210120 Bacabal";4;6;5;11;3;1;1;0;0;31
"210130 Bacuri";0;0;0;0;0;0;1;0;0;1
"210140 Balsas";0;3;1;1;0;1;1;0;0;7
"210160 Barra do Corda";0;2;0;0;1;0;0;1;0;4
"210170 Barreirinhas";1;0;0;0;1;0;1;0;0;3
"210190 Bequimão";0;0;1;2;0;0;1;0;0;4
"210203 Bom Jesus das Selvas";0;2;0;0;0;0;0;0;0;2
"210210 Brejo";0;0;0;1;0;1;1;0;0;3
"210220 Buriti";0;0;0;0;0;1;0;0;0;1
"210232 Buriticupu";0;0;1;1;0;0;0;0;0;2
"210240 Cajapió";0;1;0;0;0;0;0;0;0;1
"210260 Cândido Mendes";0;0;0;0;2;0;1;0;0;3
"210300 Caxias";1;7;2;5;1;3;3;0;1;23
"210320 Chapadinha";1;1;1;0;0;0;0;0;0;3
"210325 Cidelândia";0;0;0;0;0;1;0;0;0;1
"210330 Codó";1;2;0;5;2;2;4;0;0;16
"210340 Coelho Neto";0;1;0;0;1;0;0;0;0;2
"210350 Colinas";0;1;0;0;0;1;0;0;0;2
"210355 Conceição do Lago-Açu";0;1;0;0;0;0;0;0;0;1
"210360 Coroatá";1;2;0;1;1;0;3;0;1;9
"210370 Cururupu";1;0;0;0;0;1;1;0;0;3
"210375 Davinópolis";0;0;0;0;1;0;0;0;0;1
"210380 Dom Pedro";0;0;0;0;0;0;0;1;0;1
"210405 Estreito";1;0;0;1;0;0;0;0;0;2
"210420 Fortuna";0;0;0;1;0;0;0;0;0;1
"210440 Gonçalves Dias";0;0;1;0;0;0;0;0;1;2
"210450 Governador Archer";0;1;0;0;0;0;0;0;0;1
"210460 Governador Eugênio Barros";0;0;0;0;0;0;1;0;0;1
"210480 Grajaú";0;1;0;2;0;1;1;0;1;6
"210500 Humberto de Campos";0;0;0;0;0;1;0;0;0;1
"210530 Imperatriz";7;8;2;7;3;8;13;2;6;56
"210540 Itapecuru Mirim";0;3;1;0;1;1;0;0;0;6
"210542 Itinga do Maranhão";0;1;0;0;0;0;2;0;0;3
"210550 João Lisboa";1;0;0;0;0;0;0;0;0;1
"210565 Junco do Maranhão";0;1;0;0;0;0;0;0;0;1
"210600 Lima Campos";1;0;0;0;0;0;0;0;0;1
"210620 Luís Domingues";0;1;0;0;0;0;0;0;0;1
"210632 Maracaçumé";0;2;0;0;0;0;0;0;0;2
"210650 Matinha";0;1;0;0;0;0;0;0;0;1
"210680 Mirinzal";0;1;0;0;0;0;0;0;0;1
"210690 Monção";1;0;0;0;0;0;0;0;0;1
"210750 Paço do Lumiar";0;0;0;0;1;1;1;0;0;3
"210760 Palmeirândia";0;0;0;1;0;0;0;0;0;1
"210770 Paraibano";0;0;0;0;0;0;1;0;0;1
"210790 Passagem Franca";0;0;0;0;0;1;0;0;0;1
"210805 Paulino Neves";0;0;0;0;0;0;0;1;0;1
"210820 Pedreiras";0;0;0;1;0;0;1;0;0;2
"210850 Pindaré-Mirim";0;0;0;2;1;0;1;0;0;4
"210860 Pinheiro";1;5;1;3;1;1;5;1;3;21
"210870 Pio XII";0;1;0;1;0;0;0;0;0;2
"210880 Pirapemas";0;0;0;0;0;0;0;0;1;1
"210890 Poção de Pedras";0;0;0;1;0;0;0;0;0;1
"210905 Porto Rico do Maranhão";0;0;0;1;1;0;0;0;0;2
"210910 Presidente Dutra";1;0;0;0;0;0;0;0;0;1
"210920 Presidente Juscelino";0;0;0;0;1;0;0;0;0;1
"210927 Presidente Sarney";0;0;0;1;0;0;0;0;0;1
"210930 Presidente Vargas";0;1;0;0;0;0;0;0;0;1
"210945 Raposa";0;0;0;1;0;0;1;0;0;2
"210950 Riachão";0;0;0;1;0;0;0;0;0;1
"210980 Santa Helena";0;1;0;1;0;1;0;0;0;3
"210990 Santa Inês";0;2;1;3;3;2;3;0;0;14
"211000 Santa Luzia";0;3;0;0;0;0;1;0;0;4
"211003 Santa Luzia do Paruá";0;1;0;0;0;0;0;0;0;1
"211027 Santo Amaro do Maranhão";0;0;0;0;0;0;1;0;0;1
"211040 São Benedito do Rio Preto";0;0;0;1;0;0;0;0;0;1
"211050 São Bento";0;1;0;0;0;0;0;0;0;1
"211060 São Bernardo";0;2;0;0;0;1;2;0;0;5
"211070 São Domingos do Maranhão";0;0;0;1;0;0;0;0;0;1
"211120 São José de Ribamar";0;4;0;6;2;4;5;1;1;23
"211130 São Luís";10;49;27;64;32;38;131;25;46;422
"211150 São Mateus do Maranhão";1;1;0;0;0;0;0;0;0;2
"211153 São Pedro da Água Branca";0;1;0;1;0;0;0;0;0;2
"211160 São Raimundo das Mangabeiras";0;0;1;0;0;0;0;0;0;1
"211176 Senador La Rocque";0;1;0;0;0;0;0;0;0;1
"211180 Sítio Novo";0;0;0;1;0;0;0;0;0;1
"211220 Timon";2;3;2;4;0;6;8;1;3;29
"211223 Trizidela do Vale";0;0;0;1;0;0;0;0;0;1
"211230 Tuntum";0;0;0;0;0;0;1;0;0;1
"211240 Turiaçu";0;0;0;1;0;0;0;0;0;1
"211245 Turilândia";0;1;0;0;0;0;0;0;0;1
"211250 Tutóia";0;0;0;2;1;0;0;0;0;3
"211260 Urbano Santos";0;1;0;0;0;0;0;0;0;1
