 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
Ano Diagnóstico: 2020
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Período:2020
"Município (Res)";"Masculino";"Feminino";"Total"
"210005 Açailândia";9;1;10
"210010 Afonso Cunha";0;1;1
"210015 Água Doce do Maranhão";1;0;1
"210020 Alcântara";0;1;1
"210030 Aldeias Altas";1;0;1
"210043 Alto Alegre do Maranhão";1;0;1
"210047 Alto Alegre do Pindaré";1;0;1
"210060 Amarante do Maranhão";1;0;1
"210083 Apicum-Açu";1;3;4
"210090 Araioses";1;0;1
"210120 Bacabal";17;16;33
"210130 Bacuri";1;0;1
"210140 Balsas";6;3;9
"210160 Barra do Corda";2;2;4
"210170 Barreirinhas";3;0;3
"210190 Bequimão";3;1;4
"210193 Bernardo do Mearim";1;0;1
"210203 Bom Jesus das Selvas";2;1;3
"210210 Brejo";2;1;3
"210220 Buriti";1;0;1
"210232 Buriticupu";1;1;2
"210240 Cajapió";1;0;1
"210260 Cândido Mendes";1;2;3
"210300 Caxias";17;8;25
"210320 Chapadinha";2;1;3
"210325 Cidelândia";0;1;1
"210330 Codó";15;5;20
"210340 Coelho Neto";3;3;6
"210350 Colinas";1;1;2
"210355 Conceição do Lago-Açu";1;0;1
"210360 Coroatá";8;2;10
"210370 Cururupu";2;1;3
"210375 Davinópolis";1;1;2
"210380 Dom Pedro";1;0;1
"210405 Estreito";1;1;2
"210420 Fortuna";0;1;1
"210440 Gonçalves Dias";2;0;2
"210450 Governador Archer";1;0;1
"210455 Governador Edison Lobão";0;1;1
"210460 Governador Eugênio Barros";0;1;1
"210480 Grajaú";3;3;6
"210500 Humberto de Campos";1;0;1
"210530 Imperatriz";44;16;60
"210540 Itapecuru Mirim";3;3;6
"210542 Itinga do Maranhão";3;0;3
"210550 João Lisboa";1;0;1
"210565 Junco do Maranhão";0;1;1
"210598 Lajeado Novo";0;1;1
"210600 Lima Campos";0;1;1
"210620 Luís Domingues";0;1;1
"210632 Maracaçumé";2;0;2
"210650 Matinha";1;0;1
"210660 Matões";2;0;2
"210680 Mirinzal";0;1;1
"210690 Monção";1;0;1
"210750 Paço do Lumiar";4;0;4
"210760 Palmeirândia";0;1;1
"210770 Paraibano";0;1;1
"210790 Passagem Franca";1;0;1
"210805 Paulino Neves";1;0;1
"210820 Pedreiras";3;0;3
"210850 Pindaré-Mirim";2;2;4
"210860 Pinheiro";13;9;22
"210870 Pio XII";2;0;2
"210880 Pirapemas";1;0;1
"210890 Poção de Pedras";1;0;1
"210905 Porto Rico do Maranhão";1;1;2
"210910 Presidente Dutra";1;0;1
"210920 Presidente Juscelino";0;1;1
"210927 Presidente Sarney";0;2;2
"210930 Presidente Vargas";1;0;1
"210945 Raposa";2;1;3
"210950 Riachão";1;0;1
"210980 Santa Helena";1;2;3
"210990 Santa Inês";10;4;14
"211000 Santa Luzia";3;2;5
"211003 Santa Luzia do Paruá";2;1;3
"211010 Santa Quitéria do Maranhão";2;0;2
"211020 Santa Rita";0;1;1
"211027 Santo Amaro do Maranhão";1;0;1
"211040 São Benedito do Rio Preto";1;0;1
"211050 São Bento";2;0;2
"211060 São Bernardo";5;0;5
"211070 São Domingos do Maranhão";1;0;1
"211120 São José de Ribamar";19;9;28
"211130 São Luís";304;138;442
"211150 São Mateus do Maranhão";1;2;3
"211153 São Pedro da Água Branca";1;1;2
"211160 São Raimundo das Mangabeiras";0;1;1
"211176 Senador La Rocque";0;1;1
"211180 Sítio Novo";0;1;1
"211220 Timon";22;9;31
"211223 Trizidela do Vale";0;1;1
"211230 Tuntum";1;0;1
"211240 Turiaçu";1;0;1
"211245 Turilândia";1;0;1
"211250 Tutóia";2;1;3
"211260 Urbano Santos";0;1;1
"211280 Viana";2;0;2
"211290 Vitória do Mearim";1;0;1
"211400 Zé Doca";1;2;3
"Total";591;282;873
