 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
Ano Diagnóstico: 2021
UF Residência: Maranhão
Região Res.: Região Nordeste
UF Notificação: Maranhão
Região Not.: Região Nordeste
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"210005 Açailândia";3;0;0;8;0;0;11
"210015 Água Doce do Maranhão";0;0;0;1;0;0;1
"210020 Alcântara";1;0;0;3;0;0;4
"210030 Aldeias Altas";0;0;0;1;0;0;1
"210043 Alto Alegre do Maranhão";1;0;0;2;0;0;3
"210047 Alto Alegre do Pindaré";0;1;0;1;0;0;2
"210060 Amarante do Maranhão";0;0;0;2;0;0;2
"210087 Araguanã";1;0;0;0;0;0;1
"210090 Araioses";0;0;0;4;0;0;4
"210095 Arame";0;0;0;1;0;0;1
"210110 Axixá";0;0;0;1;0;0;1
"210120 Bacabal";6;6;2;36;0;1;51
"210125 Bacabeira";1;0;0;2;0;0;3
"210140 Balsas";1;0;0;6;0;0;7
"210160 Barra do Corda";1;0;0;2;0;0;3
"210170 Barreirinhas";1;0;1;2;0;0;4
"210200 Bom Jardim";0;0;0;0;1;0;1
"210203 Bom Jesus das Selvas";0;0;0;1;0;0;1
"210232 Buriticupu";0;0;0;1;0;0;1
"210255 Campestre do Maranhão";0;0;0;1;0;0;1
"210260 Cândido Mendes";0;0;0;3;0;0;3
"210275 Capinzal do Norte";0;0;0;1;0;0;1
"210290 Carutapera";0;0;0;1;0;0;1
"210300 Caxias";7;1;0;34;0;0;42
"210325 Cidelândia";0;0;0;1;0;0;1
"210330 Codó";1;2;0;22;0;0;25
"210340 Coelho Neto";0;0;0;4;0;0;4
"210350 Colinas";0;0;0;1;0;0;1
"210360 Coroatá";5;2;0;10;0;0;17
"210370 Cururupu";0;3;0;5;0;0;8
"210380 Dom Pedro";0;0;0;1;0;0;1
"210390 Duque Bacelar";0;0;0;1;0;0;1
"210400 Esperantinópolis";1;0;1;1;0;0;3
"210405 Estreito";0;0;0;4;0;0;4
"210420 Fortuna";0;1;0;0;0;0;1
"210440 Gonçalves Dias";0;0;0;1;0;0;1
"210460 Governador Eugênio Barros";0;0;0;1;0;0;1
"210465 Governador Newton Bello";0;0;0;1;0;0;1
"210467 Governador Nunes Freire";0;0;0;2;0;0;2
"210480 Grajaú";0;2;0;1;1;0;4
"210500 Humberto de Campos";0;0;0;1;0;0;1
"210510 Icatu";1;0;0;0;0;0;1
"210520 Igarapé Grande";0;0;0;1;0;0;1
"210530 Imperatriz";13;3;1;65;0;0;82
"210540 Itapecuru Mirim";0;0;0;11;0;0;11
"210542 Itinga do Maranhão";1;0;0;3;0;0;4
"210550 João Lisboa";1;0;0;1;0;0;2
"210570 Lago da Pedra";0;0;0;1;0;0;1
"210594 Lago dos Rodrigues";0;0;0;1;0;0;1
"210592 Lagoa do Mato";0;0;0;1;0;0;1
"210620 Luís Domingues";0;0;0;2;0;0;2
"210650 Matinha";0;0;0;1;0;0;1
"210660 Matões";0;0;0;2;0;0;2
"210690 Monção";0;0;0;1;0;0;1
"210745 Olinda Nova do Maranhão";0;0;1;0;0;0;1
"210750 Paço do Lumiar";1;0;0;4;0;0;5
"210770 Paraibano";0;0;0;2;0;0;2
"210780 Parnarama";0;0;0;2;0;0;2
"210790 Passagem Franca";0;0;0;1;0;0;1
"210810 Paulo Ramos";0;0;0;2;0;0;2
"210820 Pedreiras";1;0;0;1;0;0;2
"210825 Pedro do Rosário";0;0;0;1;0;0;1
"210830 Penalva";1;1;0;3;0;0;5
"210845 Peritoró";0;0;0;1;0;0;1
"210850 Pindaré-Mirim";0;0;0;1;0;0;1
"210860 Pinheiro";2;5;0;32;0;1;40
"210870 Pio XII";2;0;0;2;0;0;4
"210880 Pirapemas";0;0;0;2;0;0;2
"210890 Poção de Pedras";0;0;0;1;0;0;1
"210900 Porto Franco";1;3;0;1;0;0;5
"210905 Porto Rico do Maranhão";0;1;0;0;0;0;1
"210910 Presidente Dutra";1;1;0;6;0;0;8
"210920 Presidente Juscelino";0;0;0;1;0;0;1
"210923 Presidente Médici";0;0;0;1;0;0;1
"210945 Raposa";0;0;0;1;0;0;1
"210955 Ribamar Fiquene";0;0;0;1;0;0;1
"210960 Rosário";0;0;0;4;0;0;4
"210990 Santa Inês";3;2;0;32;0;0;37
"211000 Santa Luzia";2;1;0;2;0;0;5
"211003 Santa Luzia do Paruá";0;0;0;3;0;0;3
"211010 Santa Quitéria do Maranhão";0;0;0;1;0;0;1
"211020 Santa Rita";0;0;0;1;0;0;1
"211027 Santo Amaro do Maranhão";0;0;0;1;0;0;1
"211040 São Benedito do Rio Preto";1;0;0;1;0;0;2
"211050 São Bento";0;0;0;2;0;0;2
"211060 São Bernardo";0;0;0;3;0;0;3
"211070 São Domingos do Maranhão";0;0;0;1;0;0;1
"211100 São João Batista";0;0;0;2;0;0;2
"211110 São João dos Patos";1;0;0;1;0;0;2
"211120 São José de Ribamar";4;1;0;23;0;0;28
